,unassigned,Bladder_9,Bladder_4,Bladder_1,Bladder_12,Bladder_3,Bladder_5,Bladder_2,Bladder_7,Bladder_8,Bladder_13,Bladder_6,Bladder_11,Bladder_14,Bladder_10,Bladder_15,Bladder_16
2200002D01Rik,0,1.73871577683029,1.76137276546573,0,0,1.56478394046129,0,0,0,0,0,1.57658546591517,0,0,1.50904030851343,0,0
8430408G22Rik,0,1.21771659730975,1.1390170061089,0,0,1.80860822689626,0,0,0,0.834252397803713,0,0,0,0,1.06578755602251,0,0
Abca8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abi3bp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaa1b,0,1.06788479859029,1.16461603030598,0,0,1.77189681002506,0,0,0,0,0,0,0,0,1.05960101877129,0,0
Ackr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,1.83921204567017,0,5.64652332692708,0,0,0,0,0,0,0,4.4618835332157
Actg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actn1,0,0,0,0,0,0,0,0,1.86270084941582,0,0,0,0,0,0,0,0
Adamdec1,0,0,0,0,0,0,1.08478336296632,0,0,0,0,0,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45550049628517
Adamts2,0,0,0,0.728988194320034,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adh1,0.67132016245732,2.10546379493385,1.99934335496491,1.54866652414032,0,1.28579603762732,0,1.33636777128558,0,0,0,1.90579011492153,0,0,1.71413598715469,0,0
Adk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aebp1,0,0,0,1.34053950693367,0,0,0,0,0,0,0,0,0,0,0,0,0
Akap12,0,0,0,0,0,0,0,1.34594434182098,0,0,0,0,0,0,0,0,0
Akr1b3,0,2.39172042172104,2.20909470324991,0,0,0.82828323480883,0,0,0,0,0,2.0435786362628,0,0,0,0,0
Aldh1a2,0,0,0,0,0,0,0.990390096712954,0,0,0,0,0,0,0,0,0,0
Aldh2,0,0,0,1.29113981543378,0,0,1.43305016405099,1.71606233104277,0,0,0,0,0,0,0,0,0
Aldh3a1,0,0.428217230180248,0.444963160376071,0,0,1.37416154970574,0,0,0,0,0,0,0,0,0,0,0
Alox5ap,0,0,0,0,1.47276697966923,0,0,0,0,0,1.63726099564196,0,0,0,0,0,0
Angptl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,1.04565936640013,1.16705764432878,1.05682447251184,1.93276935179177,1.34026122324041,1.06173196876575,1.95198827614575,2.60868345785714,0,1.31408951264838,0,0,0,0.951990598868705,0,0,0
Anxa5,0,0.269283125035437,0,1.61946864837349,0.680128239979533,0,1.76717356102775,1.56687566883389,0,1.07292069479052,1.05214071612663,0,0.373812415017518,1.46712073740136,0,0,1.01088757703281
Apoc1,0,0.527675906526029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,0,0,0,0,2.52855193355916,2.84411242621806,0,5.63006581378528,1.12572411237781,0,0,0
Aqp1,0,0,0,0,0,0,0,0,0,3.30559099384433,0,0,0,1.04528380429988,0,0,0
Aqp3,0,1.78225658030557,1.84160707858174,0,0,1.96037462043844,0,0,0,0,0,1.65192386288556,0,0,1.77156402455153,0,0
Arap1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc1a,0,1.52019534588366,1.34760516513376,0,0,0.936144177998812,0,0,0,0,0,0,0,0,0,0,0
Asz1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atf3,0,0,0,0,1.34591193084228,1.58394177043131,0,0,1.67320752732028,1.7734419856755,1.0912372739179,0,0,0,0,0,2.5123141903234
Atf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atox1,1.23986979666438,1.92742203140372,1.8013782557345,0,2.06990721581256,1.55926950914965,0.384848767928603,0,0,1.59319356578581,1.17709682516126,1.97804777309348,0,1.77019278123385,1.41317060141619,0,0
Atp1a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987161353210537,0,2.39828337229445,0
Axl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2m,2.09136264694189,1.40655707344438,1.26788056007014,2.96645277109146,3.56030510674327,0.769709560225551,2.67993006102673,2.81200292063876,1.54948416023926,4.13433834580114,4.81662987424899,1.23771007921032,4.04672360430768,4.40882284819524,1.34268757647684,4.36395006923677,3.46966992418425
B3gnt9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcam,0,0,0,0,0,0.585805987284761,0,0,1.8807732078045,1.37294484314451,0,0,0,1.20998521020649,0,0,0
Bglap2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bgn,0,0,0,2.66734982342554,0,0,2.53344887003511,1.76799265360947,1.59858447901698,0,0,0,0,0,0,0,2.05046827128452
Bicc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bmp4,0,0,0,0,0,0,0.853243768043291,1.03108428089806,0,0,0,0,0,0,0,0,0
Bmp5,0,0,0,0,0,0,1.15645074157312,0,0,0,0,0,0,0,0,0,0
Bst2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46712073740136,0,0,0
Btg2,0,0.248919479333575,0,0,1.32554106437159,1.30810010885681,0,0,2.15125519384812,0.643757867917683,0,0,0,0,0,0,1.59247768791607
C1qa,0,0,0,0,0,0,0,0,0,0,1.70537353085265,0,3.87510597821832,0,0,0,0
C1qb,0,0,0,0,0,0,0,0,0,0,2.75524001569283,0,4.05269820332867,0,0,0,0
C1qc,0,0,0,0,0,0,0,0,0,0,1.84020668734361,0,4.4394525612382,0,0,0,0
C1qtnf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1ra,0,0,0,1.36928979870935,0,0,0,1.33281405348267,0,0,0,0,0,0,0,0,0
C1s1,0,0,0,1.68394259392334,0,0,1.38416853507835,1.78852956177537,0,0,0,0,0,0,0,0,1.16188470954449
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cald1,0,0,0,0,0,0,1.18858059413677,0,2.09863510341156,0,0,0,0,0,0,0,2.23648838386751
Calm1,2.05169881519821,2.41448356259605,2.39612815813646,1.70184347006428,2.67304980208644,2.32227781204626,1.80099756682481,1.85839744764305,2.34000955899554,2.81890313446852,2.65986394782952,2.17986078071988,1.61291242652799,3.6773469728637,1.72082029534016,2.57506054186275,2.72871687984394
Calu,0,0,0,0.865018148141579,0,0,1.19953910332439,0,0,0,0,0,0,0,0,0,0
Car3,0,0,0,0,0,0,4.83481158976324,0,0,0,0,0,0,0,0,0,0
Cav1,0,0,0,0,0,0,0.807065601102292,0,2.17477325886294,1.93512492719447,0,0,0,2.56847855577899,0,0,1.79700914951126
Cbr2,0,0.897389130027773,0.844001815658475,0,0,1.49759598358527,0,0,0,0,0,0,2.40816845248739,0,0,0,0
Ccdc80,0,0,0,0.473390670729952,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl3,0,0,0,0,0,0,0,0,0,0,0.529382407965826,0,0,0,0,0,0
Ccl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42819535754718,0
Ccl6,0,0,0,0,0.777892802603664,0,0,0,0,0,2.02720968819466,0,1.88972068180509,0,0,0,0
Ccl8,0,0,0,0,0,0,0,0,0,0,0,0,1.93505488902557,0,0,0,0
Ccl9,0,0,0,0,0,0,0,0,0,0,1.05070906272574,0,1.84743797396677,0,0,0,0
Cd200,0,0,0,0,0,0,0,0,0,1.93278640331688,0,0,0,1.91298229081986,0,0,0
Cd248,0,0,0,1.10934124377023,0,0,0,1.48393272949396,0,0,0,0,0,0,0,0,0
Cd302,0,0,0,1.0801383882981,0,0,1.02698548112991,0,0,0,0,0,0,0,0,0,0
Cd34,0,0,0,1.9197282592165,0,0,0,1.72017367712591,0,1.38838417259168,0,0,0,2.06908397912621,0,0,0
Cd52,0,0,0,0,2.82355585539235,0,0,0,0,0,2.79465790799043,0,0,0,0,2.29118786975984,0
Cd55,0,0.250683052348706,0,1.24240676584105,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd74,0,0,0,0,6.35791638243855,0,0,0,0,0,5.88401347504483,0,3.77452652517382,0,0,0,0
Cd81,0,0.244163068203857,0,1.20594774626009,0,0,1.17033430958615,1.26839655370482,0,0,0,0,0,1.82814773259603,0,0,1.16188470954449
Cebpd,0,0,0,0,0,0,0,0,0,1.22636351920802,0,0,0,0,0,0,0
Cfh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59946108739998
Cfp,0,0,0,0,1.14251065125839,0,0,0,0,0,0,0,2.38249280437661,0,0,0,0
Chodl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ckb,0,0,0,0,1.32554106437159,0,0,0,2.03372050679232,0,0,0,0,0,0,0,1.22586331513017
Cldn4,0,1.41279606379642,1.32082406246555,0,0,1.76644623281681,0,0,0,0,0,0,0,0,1.12677613089996,0,0
Clec2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clec3b,0,0,0,2.82822074208116,0,0,0,2.0520067196521,0,0,0,0,0,0,0,0,0
Clu,0,0.96813777019771,0.727561862332284,0,0,0,0,0,0,2.3328496968237,0,0,0,1.06415887104214,0,0,0
Cmtm3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cnn1,0,0,0,0,0,0,0,0,1.70993622668178,0,0,0,0,0,0,0,0
Cnn2,0,0,0,0,0,0,1.21922930730716,0,0,0,0,0,0,0,0,0,0
Col12a1,0,0,0,0,0,0,0.974946182085486,0,0,0,0,0,0,0,0,0,0
Col14a1,0,0,0,1.84140685383867,0,0,0,1.08317648381574,0,0,0,0,0,0,0,0,0
Col15a1,0,0,0,0.915134538277194,0,0,0,0,0,0,0,0,0,0,0,0,0
Col1a1,0.358717057281182,0,0,3.9347317334755,0,0,4.73979465909004,3.11225554557978,0,0,0,0,0,0,0,0,1.44207188670626
Col1a2,1.23986979666438,0.327189820825213,0,4.61168267918777,0,0,5.45608527297039,3.86393344446964,1.59858447901698,0,0,0,0,0,0,0,2.23648838386751
Col3a1,0.878609664452913,0.272129234671653,0,4.53994067159517,0,0,4.94601151668237,3.62545949226113,0,0,0,0,0,0,0,0,3.49556490633435
Col4a1,0,0,0,0,0,0,1.67223975913209,0,0,0,0,0,0,1.252747779273,0,0,0
Col4a2,0,0,0,0,0,0,1.50571130296313,0,1.274270327917,0,0,0,0,1.33370233971357,0,0,0
Col5a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col5a2,0,0,0,0.857444182970207,0,0,1.28784169199246,0,0,0,0,0,0,0,0,0,0
Col6a1,0,0,0,1.96279912906059,0,0,1.89677571861749,1.3518525425501,0,0,0,0,0,0,0,0,0
Col6a2,0,0,0,1.75011683613172,0,0,1.73373419347738,1.18532173073456,0,0,0,0,0,0,0,0,1.45550049628517
Col6a3,0,0,0,0,0,0,0.944373810634862,0,0,0,0,0,0,0,0,0,0
Col8a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colec12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coro1a,0,0,0,0,2.08915571437587,0,0,0,0,0,1.69284040157957,0,0,0,0,1.81257317489545,0
Cox6b1,1.12643048366734,1.91803537919045,1.88266673349952,0.639651742081872,1.67709356653638,1.76599233496025,1.08054067296928,0.918095339400759,1.48991489618726,1.36663723303366,1.50127407626869,1.82959879033146,0,1.38983725569626,1.26946402364025,1.31307349288243,1.59247768791607
Cox8a,1.43372785328021,2.11784758809021,2.10401887223537,0.968017211454243,1.49407972822144,1.7956306249108,1.24961991979731,1.06557926986135,2.08175715360786,0.980952956259049,1.77404271269944,2.12644742330325,0,1.06829244965065,1.19577909906749,1.41564407981505,0
Cpq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cpxm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crip1,0.937693186600044,0.335594906311811,0.458798898555414,2.15599715028566,3.28066148820717,0,2.0799014085491,2.06597467039857,4.84623971082037,1.51746115738534,1.95450334313928,0,1.98875574273576,1.77827847723222,0,2.05642909843661,3.98640589925159
Crispld2,0,0,0,1.661668309294,0,0,1.43183217101092,0,1.37621097012634,0,0,0,0,0,0,0,0
Cryab,0,0,0,0,0,0,0,0,1.34896725838598,0,0,0,0,0,0,0,0
Csf1r,0,0,0,0,0,0,0,0,0,0,1.0912372739179,0,2.52871399169602,0,0,0,0
Csrp1,0,0,0,0,0,0,0.84067664662319,0,1.57446097002675,0,0,0,0,0,0,0,0
Csrp2,0,0.265069587386485,0,0,0,0,1.47506024717377,1.19087276146728,1.274270327917,0,0,0,0,0,0,0,0
Cst3,1.70083786757721,0.804708609661587,0.763699996674946,2.75795152118928,3.88936383387288,0.604321336923942,2.59689937006879,2.32782248718771,2.00991811400263,2.241187196253,3.03169515843757,0,3.81761492017957,2.67859827703626,0,0,2.72871687984394
Cstb,0,1.36254615425096,1.35058937915857,0,0,1.32752371539633,0,0,0,0,0.793346844519304,0.774911523780001,0,0,0,0,0
Ctla2a,0,0,0,0,0,0,0,0,0,1.89406272325389,0,0,0,1.16368762443348,0,0,0
Ctsd,1.31611037262599,2.08796066202919,2.07371045957185,1.15486843208266,0,1.69870831939823,1.20547234228231,1.09981782777546,0,0.71535665911511,0.793346844519304,1.81453490864988,1.42025533029436,1.20998521020649,1.91097064802364,1.49571471210548,0
Ctse,0,1.44230516567009,1.39146816404145,0,0,1.03814194018725,0,0,0,0,0,0,0,0,1.08933079425834,0,0
Ctsh,0,1.54564946161087,1.28442673405858,0,1.17058182954726,0.53094202060212,0,0,0,0,1.47157498715408,0,0.373812415017518,0,1.19829550485625,0,0
