,unassigned
1810022K09Rik,0
1810058I24Rik,0
2010107E04Rik,1.09731971142832
2010204K13Rik,0
2200002D01Rik,0
2410006H16Rik,0
8430408G22Rik,0
Acaa2,0
Actg1,1.2738652172924
Afp,0
Akr1a1,0.636353201327476
Aldoa,1.54393777423562
Anxa2,0
Anxa5,0
Apoa1,0
Apoc1,0
Apoe,1.17826903131342
Aprt,0
Aqp8,0
Arf1,0.634783846003707
Arf4,0
Arl6ip1,0
Arpc1b,0
Arpc2,0.382879948736641
Arpp19,0
Atf3,0
Atf4,0.831312704135202
Atox1,0
Atp1a1,0
Atp1b1,0
Atp5a1,1.29234331392859
Atp5b,1.79202308794538
Atp5c1,0.919890353177577
Atp5d,0.917850246751463
Atp5e,0
Atp5f1,1.03214348385739
Atp5g1,0.893378233319626
Atp5h,0.857802399191046
Atp5j,1.37887190077351
Atp5j2,1.00038128547207
Atp5k,0.909238220524911
Atp5o,0.86331027349451
Atp6v0b,0
Atp6v0e,0
Atpif1,1.57493164887176
Atxn10,0.379157827186662
B2m,0
Bace2,0
Banf1,0.843565898431146
Bex1,0.720672378512507
Bex3,1.03867817306744
Bex4,0
Birc5,0
Blvrb,0
Bnip3,0
Bsg,1.49349446675618
Bst2,0
Btf3,0.970586066839742
Btg2,0
C1qbp,0
Cacybp,0
Calm1,1.72035036459642
Calm2,1.01840847080419
Calr,0
Calu,0
Capzb,0.577505038495561
Car4,0
Ccnb1,0
Ccnd2,0
Cct3,0
Cct4,0.680221084719975
Cct5,0
Cct6a,0
Cct7,0.801520888792477
Cct8,0
Cd24a,0
Cd59a,0
Cd63,1.85155584946642
Cd81,0
Cd9,1.4457804588485
Cdc20,0
Cdc42,0.600817247489229
Cdk4,0
Cdkn1a,0
Cdkn1c,0
Cenpa,0
Cfl1,1.85833671024016
Chchd10,1.17712764597407
Cited1,0
Ckb,0
Cldn6,0
Cldn7,0
Clic1,0.750424511643486
Clu,0.900079380534722
Cmtm7,0
Cnbp,0.947686594713589
Cnn2,0
Col4a1,0.487726742267133
Col4a2,1.28182148281888
Cope,0
Cops9,0
Cotl1,0
Cox5a,1.63995088408803
Cox5b,0.906975399535936
Cox6a1,1.53701609037909
Cox6b1,1.46337385021894
Cox6b2,0
Cox6c,1.81011404916539
Cox7a2,1.33552924478298
Cox7b,1.24062496519911
Cox7c,1.78056819197327
Cox8a,1.59976616263378
Crip1,0
Cryab,0
Csrp1,0
Csrp2,0
Cst3,0.698950815871092
Ctgf,0
Ctsa,0
Ctsb,0
Ctsd,0
Ctsh,0
Ctsl,2.43288869069139
Ctsz,0
Cyb5r3,0
Cyc1,0
Cyct,0
Cystm1,0
Dab2,0
Dad1,0.464194475261465
Dap,0
Dbi,0.766999083613087
Dctpp1,0
Ddah2,0
Ddost,0
Degs1,0
Dnmt3l,0
Dpcr1,0
Dppa3,0
Dppa5a,2.05852156385848
Dpy30,0
Dusp9,0
Dut,0
Dynll1,0.988582955438426
Eef1a1,2.20103432134433
Eef1b2,1.72697425809514
Eef1d,0
Eef1g,1.38319758388631
Eef2,1.60398931428017
Egfl7,0
Eif2s2,1.79300454390079
Eif3g,0
Eif3k,0.94159876474361
Eif3m,0
Eif4a1,1.40690774024986
Eif4ebp1,0.671917555019794
Eif5a,1.46674936168562
Emb,0
Emc6,0
Emp2,0
Eno1,1.27959049543013
Erp29,0
Ezr,0
F11r,0
F3,0
Fabp3,1.2738652172924
Fgb,0
Fhl2,0
Fkbp1a,0
Fkbp3,0.73801846369764
Fkbp4,0
Fkbp9,0
Flrt3,0
Foxa2,0
Foxq1,0
Fth1,1.70271108440876
Fxyd3,0
Gabarap,0
Galk1,0
Gas5,0.956065972908769
Gata4,0
Gkn1,0.599653347443894
Gkn2,0
Glipr1,0
Glipr2,0
Glrx3,0
Glul,0
Gm10736,0.86922222741246
Gm23935,0
Gm8730,0
Gnas,0
Gng5,0
Gpx1,0.840005175737371
Gpx3,0
Gpx4,1.41814566353467
Gsta4,0
Gstm1,0
Gsto1,0
Gstp2,0
H1f0,0
H2afz,0.654567839529017
H3f3b,2.17369405388119
Hat1,0
Hbegf,0
Hcfc1r1,0
Hes1,0
Hist1h2bc,0
Hmgn1,1.31709965958789
Hmgn2,0
Hmox1,0
Hnrnpc,0.622339647033223
Hnrnpk,0.645937496370701
Hs3st1,0
Hsp90aa1,1.34042813996323
Hsp90ab1,1.87266762526713
Hsp90b1,0
Hspa5,0
Hspb1,1.94036239807578
Hspd1,0
Hspe1,1.20474645197257
Id2,0
Id3,0
Idh2,0
Ier2,0
Ier3,0
Ifi30,0
Ifitm1,0
Ifitm2,0
Ifitm3,0.728932788618313
Ift20,0
Igf2,0
Igfbp2,0
Impdh2,0
Itm2b,0.573230138371302
Ivns1abp,0
Kdelr1,0
Kdelr2,0
Kdelr3,0
Krt18,1.03379866849455
Krt19,0
Krt8,0.638106302193813
Krtcap2,0.710461637733901
Lama1,0
Lamb1,0
Lamp1,0
Laptm4a,0
Ldha,1.71331597247438
Ldhb,0
Lefty1,0
Lgals1,0
Lgals3,0
Lgals3bp,0
Lgals9,0
Lgmn,0
Lrpap1,0
Maged1,0
Map1lc3b,0
Marcksl1,0
Mdk,0
Mdm2,0
Mfge8,0.611829666027778
Mif,1.99659973022056
Minos1,0.826662630216385
Mkrn1,0
Mrpl15,0
Mrps24,0
mt-Cytb,2.37049603903389
mt-Nd2,1.77853543661039
mt-Nd3,0
mt-Nd4,2.05128414350966
mt-Nd5,0.573019546473872
mt-Rnr2,0.740271700891493
Mt1,1.7155368029987
Mt2,1.53701609037909
Myl12a,0.805318647628017
Myl3,0
Myl6,0.908422053651507
Myl7,0
Myl9,0
Nap1l1,0
Ncl,0
Ndufa11,0
Ndufa13,0.443728985355956
Ndufa2,0.672112351242941
Ndufa3,0.609018333823129
Ndufa4,1.32125840609407
Ndufa5,0
Ndufa6,0.768279502210233
Ndufa7,1.23182932903174
Ndufb6,0.715751803281631
Ndufb9,1.02313743673074
Ndufc1,0.669291546989851
Ndufs6,0.660217397565801
Ndufs7,0
Nedd8,0
Nhp2,0.909601002699453
Nme1,0
Nop10,0
Npc2,0
Npm1,1.83887199003274
Npm3,0
Nupr1,0
Oaz1,1.30828163860832
P3h4,0
P4ha1,0
