,unassigned
1110008F13Rik,0
1810022K09Rik,0.737162302649996
1810037I17Rik,0
1810058I24Rik,0
2010107E04Rik,1.32413472824523
2010204K13Rik,0
2200002D01Rik,0
2410006H16Rik,0
2410015M20Rik,0
2700060E02Rik,0
3830417A13Rik,0
AA467197,0
Actb,1.35196719195012
Actg1,0.807152457793326
Adh5,0
Akr1a1,0.772249081977565
Aldoa,1.50242926559631
Anapc11,0
Anxa1,0
Anxa2,1.53839623469333
Anxa3,0
Anxa5,0
Ap1s1,0
Ap2s1,0
Apoc1,0
Apoe,0
Aprt,1.21563256615676
Arf1,0
Arhgdia,0
Arl6ip1,0
Arpc1b,0.677302555955306
Arpc2,0.695726557753116
Arpc3,0
Arpc5,0
Arpp19,0.806991094655655
Ass1,0
Atox1,1.24830829927956
Atp5a1,0.978950307717058
Atp5b,1.48410716715399
Atp5c1,0.96708741447913
Atp5d,1.16156388275986
Atp5e,0.517304382132069
Atp5f1,1.23799692795508
Atp5g1,1.30978555776319
Atp5g3,0
Atp5h,1.06655178722053
Atp5j,1.39075717821645
Atp5j2,1.1496685779894
Atp5k,1.02375546788826
Atp5o,1.14431578044569
Atp6v0b,0
Atp6v0e,0
Atp6v1e1,0
Atp6v1f,0.863904333744761
Atp6v1g1,0
Atpif1,1.34912762635526
Atxn10,0.967438975641107
Avpi1,0
B2m,0
Banf1,0
Bax,0
Bcap31,0
Bex1,1.63927958680182
Bex3,1.60521455170995
Bex4,0
Birc5,0
Blvrb,0
Bnip3,0
Bola2,0
Bsg,1.53339538012691
Bst2,0.669943062160293
Btf3,1.19089865326784
Bud31,0
C1qbp,0
Calm1,1.57047927416293
Calm2,1.03820557086203
Calr,0
Capg,0
Capzb,0.768558197338183
Car4,0
Ccng1,0
Cct3,0
Cct4,0
Cct5,0
Cct7,0
Cct8,0.51104949906617
Cd164,0
Cd63,2.13591711912422
Cd81,0
Cd9,1.27302365037911
Cdc42,0.749012824171954
Cdk4,0
Cdkn1a,0
Cdkn1c,0
Cenpa,0
Chchd10,0.541504595443137
Chmp2a,0
Ckb,0.73236926279167
Cldn3,0
Cldn4,0
Cldn7,0
Clic1,0.829728021092538
Clta,0.76240634301946
Clu,0.507486949924753
Cnbp,0.810230453825992
Cnn2,0
Cops9,0
Cox14,0
Cox17,0
Cox5b,1.15825296911913
Cox6a1,1.56785871598683
Cox6b1,1.64217053116178
Cox6b2,0
Cox7a2,1.40743538351282
Cox7a2l,0
Cox7b,1.44467121489398
Cox7c,1.69465773151386
Cox8a,1.30040249241159
Crip1,1.57069812125416
Crip2,0.699439135236829
