,unassigned,Embryonic-Mesenchyme_6,Embryonic-Mesenchyme_9,Embryonic-Mesenchyme_15,Embryonic-Mesenchyme_21,Embryonic-Mesenchyme_3,Embryonic-Mesenchyme_2,Embryonic-Mesenchyme_11,Embryonic-Mesenchyme_8,Embryonic-Mesenchyme_17,Embryonic-Mesenchyme_1,Embryonic-Mesenchyme_23,Embryonic-Mesenchyme_13,Embryonic-Mesenchyme_5,Embryonic-Mesenchyme_10,Embryonic-Mesenchyme_22,Embryonic-Mesenchyme_4,Embryonic-Mesenchyme_25,Embryonic-Mesenchyme_24,Embryonic-Mesenchyme_16,Embryonic-Mesenchyme_7,Embryonic-Mesenchyme_14,Embryonic-Mesenchyme_12,Embryonic-Mesenchyme_20,Embryonic-Mesenchyme_19,Embryonic-Mesenchyme_18
1810058I24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651405081196747,0,0,0,0,0,0,0,0
2010107E04Rik,0,0,0,0.615320142501073,0.856279770184374,0.824662308143211,0.563835299471877,0,0.725632685546572,0.879431736146478,0,0.700435663100699,0,0,0,0.925228234950737,0,1.15310825146998,0,0,0.744244591869031,0.897308638222121,0,1.13074692065011,0,0
6330403K07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896316723147313,0
Acta2,0,0,0,0,0,0.991286122681093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13238609109534,0,0,0,0
Actb,0.880038114171571,0.49229979734975,1.22248637743328,2.42737472642091,0.672909617185941,1.50497661314779,2.54079527745189,1.73425598070229,0.823566096835207,1.9468973021822,1.78857191838721,1.92354517430053,2.00212998573845,1.66748600839937,1.82180986130959,1.02401427857233,1.9947532680013,1.7045466831439,1.74159075345149,1.52617741412437,1.88848114571624,1.1471060554581,2.06053467786106,2.0738898942203,2.11803671988575,1.37702931177777
Actc1,0,0,0,0,0,1.37562617186909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01040057983154,0,0,0,0
Actg1,0,0,0,0.883240957898404,0.393761697435728,0.492324234244682,0.893721778887677,0.543821377292072,0,0.879431736146478,0.814380122449046,0.293903629015126,1.05366780489377,0,1.27070746725103,0.669312762873353,1.20496726395867,0.725883157453699,0.912219117538495,0.721023153060988,0.872890382656891,0,1.20739720963082,1.36868376984302,0.794587873213568,0
Agtr2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01048133267452,0,0,0,0,0,0.951696530744706,0,0,0,0,0,0
Akr1a1,0,0,0.941139231155071,0.761778152585496,0,0.545252106080715,1.25405743425906,0.619421179424402,0,0.642153494084056,0.776241151000615,1.22419787667142,0,1.01048133267452,0,1.02401427857233,0,0.590086795376961,0,0.646854114569146,0.800730646586186,0.737256737156613,0.739410099060875,0.962327088956017,0,0
Alas2,0,0.97575462953626,0,0,0,0,0,0,0.866167108217166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anapc11,0,0,0,0,0.398217239019469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,0,0,0,0,0,0,0,0,0,0,0.339189657272155,0,1.1965830249665,0,0,0,0,0,0,0.979001694051246,0,0,0,0,0
Anxa5,0,0,0.532687674338492,0,0,0,0,0,0,0,0,0.339189657272155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0.474025267207076,0,0,3.36304319747852,0,0,0,0,0.279663117767615,0,0,0,0,0,0.736154315862417,0,0,0,0,0,0,0,0
Aprt,0,0,0,0.169059271708775,0.739610357709197,0,0,0,0,0.664176979471432,0,0,0,0,0,0,0,0.801163171173129,0.690737415364066,0,0,0,0,0,0,0
Arf1,0,0,0.57310228111608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63575217120392,0,0,0,0,0,0.664799723448724,0,0
Arf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73861113616683,0,0
Arhgdia,0,0,0,0,0.660373479777038,0,0,0,0,0.548281799030698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arl6ip1,0,0,0,0,0,0,0.6980631134296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215731441171836,0,0,0,0,0,0,0,0
Arpc1b,0,0,0,1.00964949572429,0,0,1.18539956535117,1.14345441475438,0,0.656414369156005,0,0,0,0,0,0,0,0.786271666535654,0.665401155328146,0,0,0,0,0,0,0
Arpc2,0,0,0,1.22013285235926,0.393761697435728,0,1.27954752647021,0,0,1.09307798594407,0,0,0,0,0,0,0,0.551644658818971,1.227108942537,0,0,0,0,0.638858116363738,0,0
Arpc3,0,0,0,0.711828941178383,0,0,0.916967736406228,0,0,0.592479356217904,0,0,0,0,0,0,0,0.254173577729826,0.690737415364066,0,0,0,0,0,0,0
Atox1,0,0,0,0,0.507121351102776,0,0,0,0,0,0,0.279663117767615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp5a1,0,0,0.752493350158235,0.859269316263008,1.00931488592856,0.914078606032498,0.76857335195083,0,0,0.988350530181482,0,0.279663117767615,0.801306340479761,0,0.975220866275081,0.983711508403052,0,1.18757964495757,0,0.925923562135226,0.87043315019215,0.838792448630798,0,0,0,0
Atp5b,0,0,0.921495982242321,1.29061349954713,1.31724597811239,1.27954908964806,0.942942002525883,1.08982858968961,0.981350734057833,1.25376886118787,0.923840815004051,0.98281887890433,1.07736576422549,0.998127759569337,1.20439010287142,1.39037679258499,1.15533718288938,1.12946301021188,0,1.43090872199123,1.02918701026909,1.20044792406943,1.03074616514666,1.24013899363154,0.794587873213568,1.0253446344382
Atp5c1,0,0,0,0.605239897392704,1.05224675672776,0.719209343493832,0,0,0,0.801150582812034,0,0,0,0,0,0.942942002525883,0,1.05217057644033,0,0,0.688456477126251,0,0.696964288367864,0.322927248168964,0,0
Atp5d,0,0,0,0.309897787237298,0.613640196682805,0.532873435825201,0,0,0,0.609032570905608,0,0.279663117767615,0,0,0,0,0,0,0,0,0,0.704187596965939,0,0,0,0
