,Embryonic-Stem-Cell_1,Embryonic-Stem-Cell_3,Embryonic-Stem-Cell_2,Embryonic-Stem-Cell_4,unassigned
1810022K09Rik,0.627695431770733,0.849198412695962,0.998624432878361,1.14886254702763,0
2010107E04Rik,1.10432178491426,0.972762618401339,1.10930158097987,1.23367908272748,1.22223487535125
2310036O22Rik,0,0,0,0,0
2410015M20Rik,0,0,0,0.285973844468994,1.22223487535125
2700060E02Rik,0,0.632258347595285,0.735865245413915,0,0
2810428I15Rik,0,0,0,0,0
Actb,1.25826469183319,0.950478922271884,0,1.19468349457015,0
Adh5,0.546499128483821,0.675745261079046,0.646107867152069,0,0
Adprh,0,0,0,0,0
Akr1a1,0,0,0,0,0
Aldoa,1.36565579587502,1.28182328603472,1.03820377333684,1.05129516184635,0
Anapc11,0,0,0,1.00779720544519,1.1597083265192
Anp32b,0,0.707072217165388,0,0.392207815914234,0
Apex1,0,0,0,0,0
Apoe,1.19593629139277,0.815285164802679,0.833159957793158,1.23367908272748,2.23338734094118
Aprt,1.34679897044651,1.18921310704192,1.31180487167231,0.67176573209954,1.1597083265192
Arhgdia,0,0,0,0,0
Arl6ip1,0,0,0,0,0
Arpp19,0,0,0,0,0
Ash2l,0,0.397276402765883,0,0,0
Asna1,0,0,0,0,1.1597083265192
Asns,0,0,0,0,0
Atox1,0.837862729591521,0.818141168197944,0.931361783365755,0.285973844468994,1.1597083265192
Atp5a1,1.26128523026428,1.17253273733775,0.975698165760104,1.2369922453058,1.22223487535125
Atp5b,1.31990646071147,1.33007212785475,1.19458523667148,1.22842123401084,1.22223487535125
Atp5c1,0.860854209786231,0.905390519436067,0.996773821109384,0,0
Atp5d,0.56608713248728,0.738843639015754,0.693082573317737,0,0
Atp5e,0,0,0,0,0
Atp5f1,1.137150379334,0.995544035579542,1.05420597332,1.2156657962,0
Atp5g1,1.19010491580305,1.18323010865376,1.33872337413938,1.29776540982162,1.22223487535125
Atp5g3,0.650178909739381,1.1317044356938,1.26330750141166,1.25797454693565,1.27869729134078
Atp5h,0.408163656164679,0.629608480403132,0.846554571820736,1.07453695329604,0
Atp5j,1.25426113507978,1.19308784193152,1.38385680039771,1.21196777981333,1.22223487535125
Atp5j2,1.34217160954317,1.15173786300783,1.29877425405941,1.09519664121502,1.1597083265192
Atp5k,1.18876773171366,1.07575991772873,1.1253205183895,1.11346545010096,1.22223487535125
Atp5o,1.16622588062814,1.00172471433924,1.08854854368945,1.09181820792102,0
Atp6v1f,0,0,0,0,0
Atpif1,1.66504106136397,1.6014950314897,1.70963714784776,1.88213558455518,1.79420585872181
Atxn10,0,0,0,0,0
Avpi1,0,0,0,0,0
Banf1,1.00697850507824,0.815285164802679,0.960060898918826,0,2.23338734094118
Bax,0,0,0,0,0
Bcas2,0,0,0,0,0
Bex1,1.2776588969118,1.00861631741827,1.18832270850092,1.11247789583999,1.1597083265192
Bex3,0,0.657692229349869,0.823915262041876,1.0243349668886,0
Birc5,0,0,0,0,0
Bola2,0,0.544168961944754,0,0,0
Brix1,0,0,0,0,0
Bsg,0,0,0,0,0
Btf3,0.785167561314607,0.773311123292921,0.927103303655241,1.06137042357682,1.22223487535125
Bud31,0,0,0,0,0
C1qbp,0.768598496259936,0.785167561314607,0.919747050703828,0,0
Cacybp,0.930026667682744,0.872844271927526,0.970427342865938,1.05506991653805,1.22223487535125
Calm1,0.934043947879198,0.805646607044243,0.870511840546483,0.67176573209954,0
Calm2,0,0,0.689023838733942,0.782171686186438,0
Calr,0,0,0,0,0
Cbx1,0,0,0,0,0
Ccdc124,0,0,0,0,0
Ccnb1,0,0,0,0,0
Cct2,0,0.672986980868112,0,0,1.22223487535125
Cct3,0.680487556885456,0.698966046819658,0.714750849407754,0,1.27869729134078
Cct4,0.698966046819658,0.854537396683756,0.780678006381131,0,1.22223487535125
Cct5,1.00735597045846,0.913023446963517,0.788949475461172,1.07435478117328,1.22223487535125
Cct6a,0,0.525394524489934,0,0,1.87426860185801
