,Fetal_Brain_12,Fetal_Brain_4,Fetal_Brain_18,Fetal_Brain_16,Fetal_Brain_17,Fetal_Brain_15,Fetal_Brain_5,Fetal_Brain_13,Fetal_Brain_8,Fetal_Brain_9,Fetal_Brain_14,Fetal_Brain_1,Fetal_Brain_10,unassigned,Fetal_Brain_2,Fetal_Brain_3,Fetal_Brain_6,Fetal_Brain_7,Fetal_Brain_11
1110004F10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810058I24Rik,0,0,0,0,0,0,0,0.589060044928879,0,0,0,0,0,0,0,0,0,0,0
2410015M20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900011O08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6330403K07Rik,0,0,0,1.00409891814364,0,0,0,0,0,0,0,0,0.73835574769293,0,0.876600986815337,0.724986498016222,0,0,0.955575661714825
Abracl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actb,0,0,1.31134037038449,0,0,1.5270238583017,0,0.989246705688112,0,0.786594134767543,0,0,1.03334660836223,0,1.27205478792216,1.41602775142574,1.15596421684627,1.0978912116057,1.30850315261324
Actg1,0,0,0.491545300961878,0.885965237267265,0,0.475921639128268,0,0,0,0,0,0,0,0,1.00658628980473,1.03148047071565,0.255749906181038,0,1.02456372639178
Adrm1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alas2,0,0,0,0,0,0,0,0,0,0,1.21498703216237,0,0,0.941147881441146,0,0,0,0,0
Aldoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anapc13,0,0,0,0,0.721855779155026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap1s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap2m1,0,0,0,0.796207745792936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ap3s1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,3.51513566628348,0,0,3.05678213485133,0,0,0,0,0,0,0,0,0,0,0,0,0
Arf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arl4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arl6ip1,0,0,0.494785418453734,0,0.822576636847657,0,0,0,1.01819488990255,0,0,0,0,0,0,0,1.03662253414147,0,0
Arpc1b,0,0,1.13046538513938,0,0,1.20718192605079,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc2,0,0,1.13951433400615,0.695415190105708,0,1.0273187085992,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc5,0,0,0.660913589376787,0,0,0.397068763292084,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc5l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpp19,0,0,0,0,0,0,0,0,0.736392316715081,0,0,0,0,0,0,0,0,0,0
Arxes2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atat1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp5l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
