,unassigned
1700013H16Rik,0
1810022K09Rik,0
1810058I24Rik,0
2010107E04Rik,1.08602790391513
2410006H16Rik,0
2410015M20Rik,0
2700060E02Rik,0
4930447C04Rik,0
Acaa2,0
Actb,0
Actg1,0
Akr1a1,0
Akr1cl,0
Alad,0
Alas2,0
Aldh1a1,0
Aldh2,0
Aldoa,0
Amhr2,0
Anapc11,0
Anapc13,0
Anp32b,0
Anxa2,0
Aprt,0
Arf5,0
Arl6ip1,0
Arpc1a,0
Arpc1b,0
Arpc2,0
Arpp19,0
Asns,0
Atf4,0
Atox1,0
Atp5a1,0
Atp5b,0.962185814806556
Atp5c1,0
Atp5d,0
Atp5e,0.328697107166421
Atp5f1,1.15736213702196
Atp5g1,1.23059289600167
Atp5g3,0
Atp5h,0
Atp5j,0.949548718527548
Atp5j2,1.26260787535779
Atp5k,0.643281136053986
Atp6v1f,0
Atxn7l3b,0
Banf1,0.556956511233973
BC100530,0
Bcap31,0
Bcas2,0
Bex2,0
Bex3,0
Birc5,0
Blvrb,0
Bmyc,0
Bola2,0
Bsg,0
Bst2,0
Btf3,0
C1qbp,0
Cacybp,0
Calm1,1.24055164544087
Calm2,0.934084155860741
Camp,0
Capns1,0
Car2,0
Casp6,0
Ccnb2,0
Ccnd2,0
Ccnd3,0
Cct2,0
Cct3,0
Cct4,0
Cct5,0
Cct6a,0
Cct7,0
Cct8,0.580892305262378
Cd24a,0
Cd63,0
Cd81,0
Cdc42,0
Cdk4,0
Cdkn1c,0
Cfl1,1.3241700334205
Chchd10,0
Cited1,0
Clic1,0
Clta,0
Clu,0
Cnbp,0.785970009474125
Cnn3,0
Cnpy2,0
Coprs,0
Cox14,0
Cox17,0
Cox20,0
Cox5a,1.4259611582817
Cox5b,0.650578264373366
Cox6b2,0
Cox7a2,1.20025086349983
Cox7a2l,0
Cox7b,0
Cox7c,1.69810098121198
Cox8a,0
Creg1,0
Csnk2b,0
Cst3,0
Cst8,0
Ctsb,0
Ctsl,0
Cyb5a,0
Cyba,0
Cyc1,0
Cyct,0
Dad1,0
Dazl,0
Dbi,0.608558390143427
Dctpp1,0
Ddx5,0
Dek,0
Dnaja1,0
Dnajc15,0
Dppa3,0
Dut,0
Dynll1,0.972674261348897
Dynlrb1,0
Edf1,0
Eef1a1,0.58035052001963
Eef1b2,1.20953076421205
Eef1d,0
Eef1g,1.15378468894518
Eef2,0
Eif1,0.948659308441709
Eif2s2,1.19735162028806
Eif3f,0
Eif3g,0
Eif3i,0
Eif3k,0.763145787229964
Eif3m,0
Eif4a1,0
Eif5,0
Eif5a,1.08760045712472
Eif5b,0
Emc6,0
Emp3,0
Eva1b,0
Fech,0
Fis1,0
Fkbp1a,0
Fkbp3,0.613855380614726
Fkbp6,0
