,Fetal_Intestine_10,Fetal_Intestine_7,Fetal_Intestine_15,unassigned,Fetal_Intestine_18,Fetal_Intestine_17,Fetal_Intestine_3,Fetal_Intestine_12,Fetal_Intestine_8,Fetal_Intestine_9,Fetal_Intestine_11,Fetal_Intestine_14,Fetal_Intestine_1,Fetal_Intestine_20,Fetal_Intestine_2,Fetal_Intestine_16,Fetal_Intestine_4,Fetal_Intestine_6,Fetal_Intestine_13,Fetal_Intestine_5,Fetal_Intestine_19
2700060E02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6330403K07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0.561823830674,0,0,0,0.199307408979089,0,0,0,0,0,0,0,1.09495662235615,0,0,3.45531992453876,0.91911722862599,0,0
Actb,0.757663233843052,0.841367079069822,0.795731739594104,0,1.00223912089998,0.557881927755618,1.4105302278488,1.00037946982861,1.91648807679033,1.92111851201556,1.01068181002175,1.20672973899199,1.24825331967699,1.06923021994685,1.25187161920224,1.36186240263315,1.06013669434802,1.69037002585022,1.3089348331155,1.16450027929806,1.36313532135694
Actg1,0,0.405851678263742,0,0,0,0.174996375580952,0,0.667161175595042,0.78321662879706,0.620189831868869,0.570284213585933,0,0,0,0,0.874427877410123,0,0,0,0,0.936105731404986
Actg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50166943040024,0,0,0
Actn1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamdec1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aif1,0,0,0,0,0,0,0,0,0.425481199951012,0.827076997516348,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,0.391331035523693,0.728313630958421,0,0,0,0.734150169462954,0.81428957883925,0.921687633018589,0.947894430174546,1.07571133795613,0.957103021218862,1.00813286267549,0.9235739933678,0.854733061598195,0.885596711650009,0.23310919777247,0.800643707038719,0.901117219936455,0.740604371637927,0.81701519598309,0.31454856718393
Alas2,1.13520181827568,0,0,1.15371028642421,0.598534124207719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldh1a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldh1a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldoa,0,0.769925436659334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anapc11,0,0,0,0,0,0.301855684170007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anapc13,0,0,0,0,0,0.658732925427119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anp32b,0,0,0,0,0.860965049562848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786887385616427,0
Anxa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,0,0,0,2.14085000144961,3.48322684644511,0,0,0,0,0,0,0,0,0,0,0
Aprt,0,0.599531909333945,0,0,0,0.174996375580952,0,0,0.675140878787708,0,1.01615991737841,0,0,0,0,0,0,0,0,0,0
Arf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdib,0,0,0,0,0,0,0,0,0.881499250303653,0,0,0,0,0,0,0.74063720426701,0,0,0,0,0
