,unassigned
1110038B12Rik,0
1810022K09Rik,0
1810037I17Rik,0
1810058I24Rik,0
2410006H16Rik,0
2700060E02Rik,0
6330403K07Rik,0
Abracl,0
Acta2,0
Actb,0.904644163084181
Actg1,0
Akr1a1,0.806194432434595
Alas2,0
Aldh1a2,0
Aldh2,0
Aldoa,0
Aldob,0
Anapc11,0
Anp32b,0
Anxa2,0
Anxa5,0
Anxa6,0
Ap2s1,0
Apex1,0
Apoe,0
Aprt,0
Arf4,0
Arf5,0
Arl4a,0
Arl6ip1,0
Arpc1b,0
Arpc2,0
Arpc3,0
Atf4,0
Atox1,0
Atp5b,1.14394911678564
Atp5g1,0.991772826407478
Atp6v1f,0
Atxn7l3b,0
B2m,0
Banf1,0
Bex1,0
Bex2,0
Bex3,0.746451855076897
Bex4,0
Birc5,0
Blvrb,0
Bnip3l,0
Bpgm,0
Brk1,0
Bsg,0
C1qb,0
C1qbp,0
C1qc,0
Calb1,0
Cald1,0
Calm1,1.30084514585993
Calm2,0.702904181509908
Calm3,0
Calml4,0
Calr,0
Capns1,0
Capzb,0
Car2,0
Car3,0
Cbx1,0
Ccdc34,0
Ccnb2,0
Ccnd2,0
Ccnd3,0
Cct3,0
Cct5,0
Cct6a,0
Cct7,0
Cct8,0
Cd24a,0.66465528587291
Cd63,0.690757713744905
Cd81,0
Cdc42,0
Cdk1,0
Cdkn1c,0
Cenpa,0
Cenpw,0
Cfdp1,0
Chchd1,0
Chchd10,0
Chmp2a,0
Cited1,0
Cks1b,0
Cldn11,0
Cldn7,0
Clic1,0
Clk1,0
Clta,0
Clu,0
Cmtm3,0
Cnn2,0
Cnpy2,0
Col1a1,0
Col1a2,0
Col3a1,0
Commd3,0
Cope,0
Cops9,0
Cotl1,0
Cox14,0
Cox20,0
Cox5a,1.04897841093232
Cox6b2,0
Cox7a2l,0
Crabp1,0
Crabp2,0
Crip1,0
Crym,0
Csrp2,0
Cst3,0
Ctsb,0
Ctsl,0
Ctss,0
Cxcl12,0
Cyb5a,0
Cyba,0
Cycs,0
Dad1,0
Dbi,0.849247653688179
Dcn,0
Dctpp1,0
Ddah2,0
Ddx5,0
Dlk1,0
Dnaja1,0
Dut,0
Dync1i2,0
Dynll1,1.27476801143932
Dynlrb1,0
Ecm1,0
Eef1a1,1.2953189904623
Eef1d,0
Eef2,0
Egr1,0
Eif2s2,0.824620054886538
Eif3e,0
Eif3f,0
Eif3m,0
Eif4a1,0
Eif4a3,0
Eif5,0
Eif5a,1.16568615489617
Elp2,0
Emp3,0
Eno1,0
Epcam,0
Erp29,0
Etfb,0
Eva1b,0
Fabp5,0
Fam213a,0
Fbln1,0
Fcer1g,0
Fech,0
Fhl2,0
Fis1,0
Fkbp1a,0
Fkbp3,0.920082461611331
Fkbp4,0
Fos,0
Fstl1,0
Fundc2,0
Fus,0
Fxyd2,0
Fxyd6,0
Gabarap,0
Gapdh,1.48954364254428
Gas5,1.25349497496638
Glrx5,0
Gm10736,0.828063516606788
Gm1673,0
Gm2000,0
Gm42418,0
Gm8430,0
Gnas,1.03233306319091
Gng11,0
Gpc3,0
Gpx1,0
Gpx3,0
Gpx8,0
Gsta4,0
Gypa,0
H19,0
H1f0,0
H2afv,0.471885182795065
H2afz,1.34118359489694
H3f3b,1.48994010148589
Hba-a1,1.76625682395771
Hba-a2,1.48694770875106
Hba-x,0
Hbb-bh1,0
Hbb-bt,1.62162171240673
Hbb-y,1.27529993177271
Hcfc1r1,0
Hes1,0
Hist1h2bc,0
Hist3h2ba,0
Hmgb1,0
Hmgb2,0
Hmgn1,1.36791544345044
Hmgn2,0
Hmgn3,0
Hnrnpa2b1,0
Hnrnpc,0.610633716341747
Hnrnpk,0.663279264740728
Hoxa10,0
Hsbp1,0
Hsp90aa1,0
Hsp90ab1,1.22899667735799
Hspa5,0
Hspa8,1.78709595967081
Hspd1,0
Hspe1,1.31887219425503
Id1,0
Id2,0
Id3,1.13141036257257
Idh2,0
Ier2,0
Ier3ip1,0
Ifitm1,0
Ifitm2,0
Ifitm3,0
Ift20,0
Igf2,0
Igfbp2,0
Igfbp4,0
Igfbp7,0
Itm2a,0
Itm2b,0
Ivns1abp,0
Kdelr1,0
Krt18,0
Krt8,0
Krtcap2,0
Lamtor2,0
Laptm4a,0
Laptm4b,0
Ldha,0.982452341015001
Ldhb,0
Lgals1,0
Lmo4,0
Lsm4,0
Lsm6,0
Lsp1,0
Lum,0
Ly6a,0
Ly6e,0
Lyz2,0
Maged1,0
Maged2,0
Magoh,0
Manf,0
Map1lc3a,0
Map1lc3b,0
Marcksl1,0.629798134116767
Mcm6,0
Mdh1,0
Mdk,1.0836334857151
Meg3,0
Mest,0
Mfap2,0
Mfap4,0
Mgp,0
Mgst1,0
Mif,1.64827877012411
Minos1,0.777418142772899
Mkrn1,0
Mmp14,0
Mmp2,0
Mpc2,0
Mrfap1,0
Mrpl33,0
Mrpl42,0
Mrpl52,0
Mrps6,0
mt-Cytb,3.15274793252754
mt-Nd3,0
mt-Nd5,0.650225435621113
mt-Rnr1,0
mt-Rnr2,0.871457817661171
Mt1,0
Mt2,0
Mxd4,0
Myl12a,0
Myl12b,0
Myl6,0
Myl9,0
Mylk,0
Naa38,0
Nap1l1,0
Nasp,0
Ncl,0
Ndn,0
