,unassigned,Fetal-Liver_1,Fetal-Liver_3,Fetal-Liver_8,Fetal-Liver_2,Fetal-Liver_11,Fetal-Liver_10,Fetal-Liver_7,Fetal-Liver_4,Fetal-Liver_5,Fetal-Liver_9,Fetal-Liver_6
1110008F13Rik,0.42420481897918,0.516168506483342,0.716855109143889,0,0.718957888937078,0,0,0,0.254396291874996,0,0,0
1810022K09Rik,0,0,0,0,0,0,0.7696555977826,0,0,0,0,0
1810037I17Rik,0,0,0,0,0,0,0,0,0,0,0,0
1810058I24Rik,0,0,0,0,0,0,0,0,0,0,0,0
Abcg2,0,0,0,0,0,0,0,0,0,0.949464941288788,0,0
Abracl,0,0,0,0,0,0.590288990341883,0,0,0,0,0,0
Acp1,0,0,0,0,0,0,0,0,0,0,0,0
Acp5,0,0,0,0,0,0,0,0,0,0.520907922804637,0,0
Actb,1.52610884098916,1.36158558887739,1.81613140298964,1.23863845390939,1.80894402746782,2.56805050909726,1.68511136695794,2.50059617942947,2.8301576383411,1.1323067156632,2.76108453544474,3.29352307975262
Actg1,0,0,0,0,0,1.24798301524789,0,0,1.09916575882311,0,1.11352398657818,0.926141221507483
Afp,0,0,0,5.40058241625378,0,0,0,0,0,0,0,0
Ak2,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,0,0,0,0,0,0,0,0,0.885947314860048,0,0,1.50830809518819
Alad,0.876342758387137,1.4140643320925,0,0,0,0,0,0,0,1.93842581081139,0,0
Alas2,0,0,0,0,0,0,0,0,0,1.5395240159227,0,0
Alb,0,0,0,4.36679285586179,0,0,0,0,0,0,0,0
Aldoa,0,0,0.902382155059633,0,0.706251023246357,0.939391874056522,0,0,1.13604649022214,0,1.21121103495722,0.792843529913004
Alox5ap,0,0,0,0,0,0,0,1.10787301953243,0.814088330578508,0,1.71193869090864,0
Anapc11,0,0,0,0,0,0.707083878329021,0,0,0,0,0,0
Anp32b,1.1015892175231,1.29347659713793,0.91260148403534,0,0.833710184129145,1.0745408897022,1.08470188669274,0,0,1.5395240159227,0,0
Anp32e,0,0,0,0,0,0,0,0,0,0,0,0
Anxa1,0,0,0,0,0,0,0,1.74745769991589,0,0,0.886460644174671,0
Ap3s1,0,0,0,0,0.803345459849118,0,0,0,0,0,0,0
Apex1,0,0,0,0,0,0,0,0,0,0,0,0
Apoa1,0,0,0,4.34172173955534,0,0,0,0,0,0,0,0
Apoa2,0,0,0,4.89693086846459,0,0,0,0,0,0,0,0
Apoe,0,0,0,3.15192862598655,0,0,0,0,0,0,0,2.23445144175614
Aprt,0,0,0,0.764722830728038,0.727397057262124,0,0,0,1.01543049633989,0,0.69388033499803,0
Arf5,0,0.677799595989506,0,0,0,0,0,0,0,1.2354755467201,0.362670774558933,0
Arhgdia,0,0,0,0,0,0,0,0,0.810317893630092,0,0,0
Arhgdib,0,0,1.09641502234769,0,1.8183340841256,0,1.13079624266954,1.82431070283936,1.58561054205952,0,1.23732755999969,0
Arl6ip1,0,0,0,0,0,0,0,0,0.760799297320002,0,0,0.987541931775562
Arpc1b,0,0,1.33038223582713,0,1.6441335288953,1.08586474822154,1.17682489159383,1.5714488046778,2.16442286619355,0,1.81369705558358,1.74562780480397
Arpc2,0.686845679814403,0,1.22323161613939,0,1.45418995129883,1.84027687565275,1.20084783345282,1.60954109880871,1.95028928004546,0,1.73335251374669,1.73627267930679
Arpc3,0,0.470955536160801,0.289295506077959,0,0.896215835044854,0.590288990341883,0.861211424264506,0,0.679569371610847,0,1.15187407068458,0
Arpc5,0,0,0,0,0,0.452789311133031,0,0,0.872052672678288,0,0.362670774558933,0.722943163734936
Asf1b,0,0,0,0,0,0,0,0,0,0,0,0
Asns,0,1.01876774876565,0,0,0,0,0,0,0,0,0,0
Atox1,0,0,0,0.809752970640857,0,0,0,0,0,0,0.273241643171331,0
Atp5d,0.760045387061091,0.779890758057381,0.656341939637894,0.703631436002586,0.532212256465008,0.769176364060987,0.919753433780286,0,0.757986440741789,0.769506625605954,0.665073919455446,0
Atp5e,0,0,0,0,0,0,0,0,0,0,0,0
Atp5g3,0,0.731842029816013,0,0,0,0,0.223065443083193,0,0,0,0,0
Atp5k,0.986005676328942,1.03423710423483,1.09315601018379,0.992416694405812,0.888599893236255,1.42436914663178,0,0,0.885947314860048,0.845965109321916,0,0.706906717995499
Atp6v0b,0,0,0,0,0,0,0,0,0,0,0,1.19107035499449
Atp6v1f,0,0,0,0,0,0,0,0,0,0,0,0.890638877812002
B2m,0,0,0,0.691442005902703,0,0,0,0,0,0,0.330328992379861,1.47012927560057
BC100530,0,0,0,0,2.06621612988442,0,0,5.9107544313562,0,0,0,0
Bcas2,0,0.56505309835879,0,0,0,0,0,0,0,0,0,0
Bex3,0,0,0,1.21794252299252,0,0.646916801160494,0,0,0,0,0,0
Bex4,0,0,0,1.23063447632702,0,0,0,0,0,0,0,0
Birc5,0.503992485122932,0.911391233512338,0.530100484448282,0,0,0.452789311133031,0.392509550146387,0,0.873761425071378,0.818801202628783,1.06207195144557,0
Blvrb,1.55748677227413,2.03777868818863,0,0,0,0.452789311133031,0,0,0,2.73063858789226,1.15125552459124,1.42677622302232
Bola2,0,0,0,0,0,0.769176364060987,0,0,0,0,0,0
Bola3,0,0,0,0,0,0,0,0,0,0.754291659495451,0,0
Brk1,0,0,0,0,0,0,0,0,0,0,0.665073919455446,0
Bsg,0.60631458770317,0.846768486631702,0,0,0,0.893063604342811,0,0,0,1.16644473539045,0,0
Btf3,0,0.742125727698169,0.828433083896291,0,0,0.796903234338788,0.879442444347413,0,0.254396291874996,0,0,0
Bub3,0,0,0,0,0,0,0.818949734373694,0,0,0,0,0
C1qb,0,0,0,0,0,0,0,0,0,0,0,2.4642800194807
C1qbp,1.19659778451357,1.08284301650573,1.04308683401355,0,0,0,0,0,0,0,0,0
C1qc,0,0,0,0,0,0,0,0,0,0,0,2.44067805138315
Cacybp,0.994059246538227,0.997714026798996,1.10402967433319,0,0,1.08586474822154,0.830148307756319,0,0,0,0,0
Calm2,0,0,1.09440131591785,1.29119486879018,1.00769417763611,1.21891995869548,1.33811219998471,0,0.899194793092837,0,1.00856258383575,0.887360871416072
Calm3,0,0,0,0,0,0.707083878329021,0,0,0,0,0.330328992379861,0
Calr,0,0,0.207986665973748,0,1.12864274736349,0,0,0,0,0,1.11995773563053,0.715406164244283
Camp,0,0,0,0,0,0,0,5.63018923642836,0,0,0,0
Capza2,0,0,0,0,0,0,0,0,0.736961680687554,0,0,1.15816269657068
Capzb,0,0,0.736499191688937,0,0.901216012064874,1.24798301524789,0.807426768610742,0,1.12536652815212,0,0.726222117177101,1.12629986589082
Car2,1.55967320885957,2.30035833888341,0,0,0,0.646916801160494,0,0,0,3.36065513269197,0,0
Ccna2,0,0,0,0,0,0,0,0,0,0,0,0
Ccnb1,0,0.522557481900042,0,0,0,0,0.857724400959541,0,0,1.06734434293753,0,0
Ccnb2,0,0,0,0,0,0,0,0,0,0,0,0
Ccnd3,0,0,0,0,0,0.590288990341883,1.1868628129706,0.573642298279589,0,1.52966120094979,1.15294394264928,0
Cct3,0,0,0,0,0,0,0.223065443083193,0,0,0,0,0
Cct4,0.667259431020772,0.641855425487776,0.711992694261555,0,0,0.646916801160494,0,0,0,0,0,0
Cct5,0.944400596042128,0.901216012064874,0.911635741245238,0,0,1.00798237792941,0.365623081873261,0,0,0,0,0
Cct6a,0.71410305454803,0.649010833352833,0.870143283297894,0,0,1.100202949205,0.923930082015346,0,0,0,0,0
Cct7,1.00798237792941,1.019652780907,0.982181511563613,0,0,0.939391874056522,0.977322312076447,0,0.637796652480587,0,0,0
Cct8,1.05832947683321,1.06734434293753,1.17316991065192,0,0.843564356293733,1.0919614967324,0.995290602809586,0,0.969050590999781,0,0,0
Cd24a,0,0.936412947629396,0,0,0,0,1.14440941458791,0,0,2.18053645842813,0,0
Cd47,0,0,0,0,0,0.939391874056522,0,0,0,0.578591012155919,1.01255235448836,0
Cd52,0,0,0,0,0,0,0,1.18313001507272,1.41465473218385,0,0,0
