,Fetal_Lung_7,unassigned,Fetal_Lung_1,Fetal_Lung_5,Fetal_Lung_2,Fetal_Lung_6,Fetal_Lung_9,Fetal_Lung_10,Fetal_Lung_11,Fetal_Lung_3,Fetal_Lung_13,Fetal_Lung_4,Fetal_Lung_8,Fetal_Lung_12
1810022K09Rik,0,0,0,0,0,0,0,0.666784942358714,0,0,0,0,0,0
1810058I24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,0.823697421590834,0,1.0621123323487,0.773017019259771,0.993052346562698,0.86955642965932,1.01357511392155,1.17217168330312,0.94343167129878,1.04093180424093,0.830139651039306,1.13059985142198,0.995386244991465,1.06051790046941
2410015M20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2700060E02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,2.36915196920419,0,0
Actb,0.729152802439786,0,1.09673767784837,0.76707058521285,1.1341559403964,0,1.0725902034769,0.547143688163647,1.71053132638556,0.991509383592113,0.896926580799491,1.32423883931343,1.73042436804541,1.11709360294322
Actg1,0,0,0,0,0,0,0,0,0,0,0.642169374987239,0.595979961397168,0.811866848124351,0
Actg2,0,0,0,0,0,0,0,0,0,0,0,0.921216082104118,0,0
Adh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922928400653571
Adh5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,0.612378994756346,0,0.418094327054227,0,0.807740745817873,0,0,0,1.10991963761462,0.513936701570252,1.00479150473685,0.828737535881148,0.924907575794594,0.877825169796608
Alas2,0,1.02129740199134,0,0.85309740958559,0,0.880810378334373,0,0,0,0,0,0,0,0
Anapc11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anapc13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankfy1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anp32b,0,0,0,0,0,0.559559290664641,0,0.61439318185723,0,0,0,0,0,0
Anxa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,0,0,0,3.19772765168996,0,0,0,1.3190626197425,0
Aprt,0,0,0,0,0,0,0.645667065573871,0.254262638877639,0,0,1.11654087921388,0,0.880215579617579,0
