,unassigned
0610012G03Rik,0
1810037I17Rik,0
1810058I24Rik,0
4930486L24Rik,0
6030408B16Rik,0
6330403K07Rik,0
8030411F24Rik,0
Aard,0
Abracl,0
Acaa2,0
Acsbg1,0
Acta2,0
Actb,0.53603886066294
Actg1,0
Adh1,0
Aebp1,0
Aes,0
Akr1a1,0
Akr1b8,0
Akr1cl,0
Alas2,0
Aldh1a1,0
Aldh1a7,0
Aldh2,0
Aldoa,0
Amer1,0
Amh,0
Amhr2,0
Anapc11,0
Anxa2,0
Anxa5,0
Anxa6,0
Apoc1,0
Apoe,0
Aprt,0
Arl1,0
Arl6ip1,0
Armcx2,0
Arpc1b,0
Arxes2,0
Atp1b2,0
Atp5b,1.16496460165699
Atp5g1,1.05662029376709
Atp6v0e,0
Atxn7l3b,0
B2m,0
Basp1,0
BC100530,0
Bcas2,0
Bex2,0
Bex3,0
Bgn,0
Birc5,0
Blvrb,0
Bmyc,0
Bok,0
Bola3,0
Bpgm,0
Bst2,0
Btg2,0
C1qtnf7,0
Cacybp,0
Cald1,0
Calm1,1.22209944122237
Calm2,0.994469642723501
Calr,0
Camk1,0
Camp,0
Capns1,0
Car2,0
Casp6,0
Ccdc34,0
Ccl17,0
Ccnb1,0
Ccnb2,0
Ccnd2,0
Ccnd3,0
Cct2,0
Cct3,0
Cct4,0
Cct5,0
Cct6a,0
Cct7,0
Cct8,0
Cd151,0
Cd24a,0
Cd52,0
Cd63,0.620706433345042
Cd81,0
Cdk1,0
Cdkn1c,0
Celf2,0
Cenpa,0
Chchd10,0.976141774988562
Chchd2,1.69554159171588
Cited1,0
Cks1b,0
Clca3a1,0
Clic1,0
Clps,0
Clu,0.535575276929186
Cmtm3,0
Cmtm7,0
Cnn2,0
Cnn3,0
Cnpy2,0
Col1a1,0
Col1a2,0
Col3a1,0
Col4a1,0
Col4a2,0
Col6a1,0
Col6a2,0
Copz2,0
Cotl1,0
Cox20,0
Cox5a,0.755253688137759
Cox7c,1.41031245815533
Cpe,0
Creg1,0
Csrp1,0
Cst3,0
Cst8,0
Cst9,0
Ctsb,0
Ctsl,0.999744102633712
Cxcl12,0
Cyb5a,0
Cyba,0
Cyp11a1,0
Cyp17a1,0
Cyr61,0
Dap,0
Dazl,0
Dbi,0.535760515903972
Dcn,0
Dctpp1,0
Ddah2,0
Defb19,0.611977433219595
Dhh,0
Dlk1,0
Dnaja1,0
Dppa3,0
Dppa5a,0
Dut,0
Ech1,0
Echs1,0
Eef1b2,1.10209837629038
Egr1,0
Eif3g,0
Eif5a,0.900164817677744
Emp1,0
Emp3,0
Ergic3,0
Erp29,0
Etd,0
Etnk2,0
Eva1b,0
Exoc3l2,0
Fabp5,0
Fam195a,0
Fcer1g,0
Fdps,0
Fdx1,0
Fdxr,0
Fech,0
Fkbp1a,0.637483664807107
Fkbp3,0.603497464263123
Fkbp7,0
Folr1,0
Fos,0
Fscn1,0
