,Fetal_Stomache_5,Fetal_Stomache_7,Fetal_Stomache_13,Fetal_Stomache_17,Fetal_Stomache_11,Fetal_Stomache_9,Fetal_Stomache_8,Fetal_Stomache_4,Fetal_Stomache_6,Fetal_Stomache_14,Fetal_Stomache_16,Fetal_Stomache_19,Fetal_Stomache_12,Fetal_Stomache_1,Fetal_Stomache_18,Fetal_Stomache_20,Fetal_Stomache_10,unassigned,Fetal_Stomache_2,Fetal_Stomache_3,Fetal_Stomache_21,Fetal_Stomache_15
1810022K09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810058I24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,0,0,0.779380780981205,0.74754681605502,0,0.614475526128081,0.938267791561156,0.741402590206902,0.95948506540129,0.730466162864117,0.761635707594239,0,0.97818279093319,0,0,0,0,0,0,0.708729482919681,0.415769561635558,0.601883544411795
2410015M20Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4739494377063
Actb,0,0,0,1.78114993153294,1.36520821530529,1.06687045855322,0.60596422956911,0.877253604034467,0.588338765390167,0.814974871629491,1.23073621016046,1.16490079756129,0,1.13808935920089,1.00525151505845,1.03417402111171,1.08148187943851,0,0.89206947257677,1.12683082086646,0.762131229056552,1.20721875245025
Actg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2554110859318
Agr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,0,0,0,0.820992491468686,0.937670838368458,0.769138464355921,0.626541311524295,0.748979528313086,0,0.644218671380291,0,0,0.621621818062535,0,0.912048688510684,0.606275194219832,0,0,0,0,0.415769561635558,0
Alad,0,0,0.908832839959334,0,0,0,0,0,0.535148621891477,0,0,0,0,0,0,0,0,0,0,0,0,0
Alas2,0,1.20035198502753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambp,0,0,0,0,0,0,0.805141783608716,0,0,0,0,0,0.984642409171232,0,0,0,0,0,0,0,1.75170792829225,0
Anapc11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anapc13,0,0,0,0,0,0,0,0,0,0,0,0,0.664031441179841,0,0,0,0,0,0,0,0,0
Anp32b,0,0,0.756716506935839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0.752827690468054,2.97442624568494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24078260956321,0
