,unassigned,Fetal_Kidney_1,Fetal_Kidney_7,Kidney_1,Kidney_8,Kidney_6,Kidney_20,Kidney_4,Kidney_3,Kidney_10,Kidney_2,Kidney_11,Kidney_7,Kidney_23,Kidney_17,Kidney_9,Kidney_5,Kidney_26,Kidney_21,Kidney_18,Kidney_14,Kidney_12,Kidney_16,Kidney_22,Kidney_13,Kidney_24,Kidney_19,Kidney_28,Kidney_25,Fetal_Kidney_2,Kidney_15,Fetal_Kidney_5,Kidney_27,Kidney_29,Fetal_Kidney_3
4833439L19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581143841094196,0,0,0,0,0
Aadat,0,0,0,0,3.16397126003124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhd14b,0,0,1.36970598548404,0,0.8684873935968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaa1b,0,0,0,1.266187782298,0,0,0,1.00014939098364,0,0,0,1.20244271236773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581143841094196,0,0,0,0,0.708349673845115
Acadm,0,0,0,0.942940441803741,2.57543541990322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07486147434639,0,0,0
Acsm2,0,0,0,0,0,1.01963294402535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581143841094196,0,0,0,0,0
Actb,0,0.503369562345662,0,0,0,0,1.34808809837542,1.96438022968329,0,1.34943336928824,0,0,0,0.878913255906626,0.754073911129908,0,0.650452721742196,0.773961833464669,0.786892904037118,2.28593474616752,1.34810470474508,1.08398302840908,0,1.82933012956693,1.35025396188915,2.64138802935424,1.41523913233251,0,2.19623922357738,0.757296135213056,1.3977777381808,0,1.13674140567104,1.4453717158875,0
Actg1,0,0.2735281017448,0,0,0,0,1.5120530868853,1.39348824265093,0,0,0,0,0.953059299062995,1.40065324078376,0.909761531212451,0,0.760105710093387,0,0,2.63905512086583,2.09597723680036,0,0,1.62921986038621,2.23760612236291,1.43890762000569,0.910001917767074,0,2.2071964427204,0,1.18100276510363,0,1.14418672152482,1.23124997591432,1.36747549265736
Acy3,0,0,1.36970598548404,0,1.51345514548371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347578326191202,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57022964881672,0,0
