,Liver_15,Liver_16,unassigned,Liver_6,Liver_1,Liver_2,Liver_19,Liver_9,Liver_7,Liver_3,Liver_5,Liver_14,Liver_10,Liver_4,Liver_13,Liver_17,Liver_12,Liver_8,Liver_20,Liver_11,Liver_18
1810011O10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,0,0,0,0,0,0,0,0.373176076796212,0,0,0,0,0,0,0,0.222442570998037,0,1.30427032499155,0,0.658597623659347,0
Acod1,0,0,0,0.772927187466894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actg1,0,0,0,0,0,0,1.68420661609618,0,0.68884025743423,1.16169253845879,0.455520431969667,0,0,0,0,0,0,0,1.24216961383715,0,0
Actr3,0,0.15995485232088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgre1,0,0,0,0,0,0.905457450968299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgrf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgrl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adh1,0,1.79302094874461,0,0,0,0,0,2.51296760143545,0,0,0,0,0,0,0,0,0,2.56892960927303,0,0,0
Ahsg,0,3.23966841163448,0,0,0,0,0,1.49833154649681,0,0,0,0,0,0,0,0,0,1.41382132142526,0,0.719127745844537,0
Aif1,0,0,0,0,0,0.773161675436966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,0,0.180705688060477,0,0,0,0.851231427030658,0,0.892619072557246,0.734009825577802,0,0,0,0,0,0,0,0,0.987694093024921,0,0.807751627037344,0
Akr1c6,0,0.7937441422704,0,0,0,0,0,1.53816800947349,0,0,0,0,0,0,0,0,0,1.81998718359359,0,0,0
Alb,0,5.34164743852509,1.04946835077092,1.14837098425036,0.992114525582321,0.861052644843209,0,2.7234883098592,0,0,0,0.480875959590058,0.985289691546223,1.3629564366525,0.850948357111946,0,0.999027139749047,1.94435860701061,0,2.28602908253902,2.33216180621349
Aldh2,0,1.03349830258017,0,0,0,0.757783808356795,0,1.7558761187842,0,0,0,0,0,0,0,0,0,1.40365945801975,0,0,0
Aldob,0,1.95987074454925,0,0,0,0,0,2.66686181042839,0,0,0,0,0,0,0,0,0,3.15659714442668,0,0.981337152636445,0
Ambp,0,1.8614449450303,0,0,0,0,1.24680098369171,0,0,0,0,0,0,0,0,0,0,0,0,1.73153539165795,0
Anxa2,0,0,0,0,0,0,1.84034248702574,0,0,0,0,0,0,0,0,0.888207002387945,0,0,0,0,0
Anxa5,0,0,0,0,0,0,1.29430279195454,0,0,0,0,0,0,0,0,0,0,0,0,2.54316078002501,0
Apoa1,0,3.87527259651301,0,0,0,0,0,1.48681449712346,0,0,0,0,0,0,0,0,0,1.99058765853353,0,0,0.555821565748642
Apoa2,0,3.54079379958535,0,0,0,0,0,2.85944783855528,0,0,0,0,0,0,0,0.798484613231532,0,3.50321936707204,0,0,0
Apoc1,0,3.05197867257063,1.10452422597021,0.891000374949578,0,1.50906156114258,0,2.96578581619576,0,0,0,0,0,1.34074134353928,0,1.36296427479646,0,3.67096222332922,0,2.37707214332479,0.557877236424277
Apoc3,0,3.14440877345628,0,0,0,0,0,2.47952911068407,0,0,0,0,0,0,0,0,0,3.04560453214974,0,0,0
Apoc4,0,1.04038323866629,0,0,0,0,0,0.91185104115253,0,0,0,0,0,0,0,0,0,1.31586443291094,0,0,0
App,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqp1,0,0,1.17917976987233,1.28449789946609,2.00439922083034,0,0,0,0,0,0.615690951731395,1.18540175030344,1.11113366983363,1.31294531119643,0.655141914732147,1.15547517669058,1.11472364877518,0,0.42385752837399,0,0.557877236424277
Arg1,0,1.08375025639732,0,0,0,0,0,1.28449629809042,0,0,0,0,0,0,0,0,0,1.28449629809042,0,0,0
Arpc1b,0,0,0,0,0,0.895222335363145,0,0,1.13519247764791,0.864985287460884,0.70444937394332,0,0,0,0.636062064365513,0,0.485808726902137,0,0.850870889266997,0,0
Arpc2,0,0,0.930543101599115,1.05265614287488,0,1.16986899035654,0,0,1.1219816866285,1.44438998654495,1.20285400898222,0,1.13039909766764,0,0.99130778595411,0,0,0,1.03694841222528,0,0
Arpc3,0,0,0,0.964347757010545,0,0.475179097111202,0,0,0.696946087751578,0.851230172169213,0,0,0.751133037063726,0,0.436656041070226,0,0,0,0.42385752837399,0,0
Ass1,0,1.28567076221912,0,0,0,0,0,1.77910877107159,0,0,0,0,0,0,0,0,0,1.45611102744783,0,0,0
Atf3,0,0,0,0,0.673428005781429,0.701666143450719,0,0,0.696946087751578,0,0,0,0,0,0,0,0,0,0,0.978975146719375,0.552767677145669
Atf4,0,0,0,0,0,0,0.718295921844267,0,0,0,0,0,0,0,0,0,0,0,0.939224471210502,0,0
Atox1,0,0.364680195540272,0,0,0,0,0.344251358552082,0.512380163671347,0,0.781211580498425,0,0,0,0,0,0,0,0.956736110602537,0,0,0
Atp1b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp5a1,0,0.563682959445527,0,0,0,0,0.718295921844267,1.10351503474406,0,0,0,0,0,0,0,0,0,1.06001626300718,0,0,0
Atp5b,0,0.989568560637814,0,0,0,0,0.698904793596699,1.14983262960181,0,0,0,0,0,0,0,0,0,1.10756344556952,0,0,0
