,Lung_18,Lung_12,Lung_1,Lung_3,Lung_28,Lung_31,unassigned,Lung_2,Lung_14,Lung_11,Lung_19,Lung_8,Lung_6,Lung_5,Lung_24,Lung_17,Lung_10,Lung_22,Lung_25,Lung_9,Lung_16,Lung_32,Lung_7,Lung_20,Lung_15,Lung_29,Lung_26,Lung_21,Lung_4,Lung_30,Lung_23,Lung_13,Lung_27
2410006H16Rik,0,0,0,0,0,0.60805724009363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace,0,0,0,0,0,0,0,0,0,0,0.976448233271777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acod1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33059408646026,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8710422228764,0,0
Actb,0.939112767161034,0.801287768069111,0.884011833994141,2.29468619565281,0.921085112054124,1.26773841415623,1.47618208785643,1.47296412071262,1.84866238443217,1.25092219678528,1.5359626796711,1.6033073795732,2.13752382702296,1.93881615097471,2.10710786095467,1.43550120087732,1.17181347368401,2.48137541089865,1.36846714868786,2.46992341122567,1.58793734558533,2.54683155721961,1.534205847203,1.33188619197333,2.1155215803098,3.21009501369194,2.11090317416976,2.01647588236124,1.36098948434642,1.41192525239447,1.31344258595975,1.84999102146497,0.85338750932353
Actg1,0.651247629286069,0,0.554791475363113,1.00650873697347,0,0.97398631481559,0,0,1.14867774462791,0,0,0.925295856962089,1.08846564763308,1.41164840548347,1.33382602964862,0.847213967911158,1.10604117467916,1.85132182505021,0.817492459733052,1.45497353753613,0.730146646772395,2.0718918575032,1.54214388440365,1.27301169484995,1.76309711995124,1.6398697993026,1.23033973896888,1.57298337179021,0,1.48352146680545,0.99484930469781,1.37052122325916,0.718029268938566
Actr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953062512269023,0,0.6872835982984,0,0.61920193126834,0,0,0,0.612677347754326,0,0,0,0,0,0,0
Adgre5,0,0,0,0,0,0,0,0,0,0,0.555556474512432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819592828901982,0
Adh1,0,0,0,0,0,0,0,0,0,1.3357732745468,0,0,0,0,0,0,0.864098845378017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ager,0,0,1.29581159674395,0,0,0,0.969662310732245,0,4.56890559548889,0,0,0,0,0,0,0,0,0,0.673379259706574,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71167344979167
Aldh1a1,1.47543393195716,1.34891218149922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alox5ap,0,0,0,0.83976130944881,0,0.663434814673817,0,0,0,0,0,0,0,1.30347512743904,0,0,0,1.13654258523273,0,1.12287171497066,0,0.828852168141856,0,0,0.957559600930702,0,0.671889917038382,1.16707509140357,0,1.37000788263255,0,1.08720256491305,0
Anxa1,0.994794625442593,0,0,0,0,0,0,0,0.721022985854056,0,0,0,0,0,0,0,0,0.953062512269023,0,0,0,0,0,0,0,0,0,1.57299115218902,0,0,0,0,0
Anxa2,1.22401253643799,0,0,1.50584693122751,0,0,0,0,1.32545767924289,0.508948232201927,0,0,0.858394086495688,1.00223170852665,0.736863093637004,0,0.825253016045802,1.10169982083016,0.769181750434078,1.13332152855358,0,0.936702428341513,0,1.27252689434994,0.84322236890116,1.20215469605342,1.28306652733747,0,0,0,0,0,0.719612168064445
Anxa5,0,0,0,0.654882509731441,0,0,0,0,1.49167847120163,0.959500419160486,0,0.683979571107874,0,0,0,0,0.858394086495688,0.599520500742813,0,0,0,0,0,0,0,0,0.884303387673966,0,0,0,0,0,0.821473170000433
Apoc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0.653406020684784,0,0,0,0.949940309961767,0,0,1.40872677168659,0,3.57747826495477,0,1.15916109199211,0,0,1.42123469117942,0,0,0,0,0,0,0,0,0,0,0,0,0.596951255986573,1.14900437006234,1.74890982698762,0
Aqp1,0,0,0,0,0,0,0,0,0,0,1.3616567752196,0,0,0,0,1.47296412071262,0,0,0,0,0,0,0,1.99651178418655,0,0,0,0,0,0,0,0,0
Aqp5,0,0,0,0,0,0,0,0,1.94396151095903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694753351905373
Arhgap45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdib,0,0,0,0,0,0.816792522825858,0,0,0,0,0,0,0,0,0.628333783429825,0,0,0,0,0,0,0,0,0,0,0,0,1.05030098332022,0,0,0,0,0
Arhgef1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc1b,0,0,0,1.15246670079162,0,1.11616379945273,0,0,0,0,0,1.18526487914138,1.28225631817594,1.55467219292482,1.04912123032149,0,0.594611510288986,1.14820596759372,0,1.25589785446022,0.939209292865713,1.01287284456235,1.00223170852665,0.892189313442771,1.18880538646641,1.48975637585158,0.87221597371958,1.1525492305509,0,0,0,1.58604829115762,0
Arpc2,0,0,0,0.986180559680441,0.58368953647987,1.16399318150277,0,0,0,0,0,1.01674834557754,1.11129840079228,1.39716939974873,1.09796610114923,0,0,1.3493549181788,0,1.47337990585589,1.09911211042359,1.36030786439008,0,0.819256207858028,1.27397328452231,1.46976134273493,0.86699054135252,1.13152203194861,0,0,0,1.38863445170781,0
Arpc3,0,0,0,0.532471785090626,0,0.555108746935253,0,0,0,0,0,0,0,0,0.323890256353633,0,0,1.13378033683108,0,0.694236858238343,0,0.718691056413024,0,0,0.764229223651894,0.787667824241656,0.259363992504494,0.937799196792897,0,0,0,0,0
Arpc5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457284778228226,0,0,0,0,0,0,0.645858433620102,0,0,0,1.03148174726361,0,0.308029331002763,0,0,0,0,0
Atf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.621885246487135,0,0,0,0,0,0,0,0,0,0,0
Atp1b1,0,0.81819021593755,0.863316411447791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255455033756447
AW112010,0,0,0,0,0,0,0,0,0,0,0,0,2.26186289218773,0,0.772434453459523,0,0,0,0,0,0,0,0,0,0,0.668954390530188,0,0,0,0,0,0,0
B2m,0.321215217094615,0.54289318530625,0.805784953852749,2.12036491957025,3.32169026004263,2.20025492357544,1.20685002041551,2.10770623949873,1.88623954613627,1.88809449036686,2.50609785071227,2.53515540594232,2.63664420015427,2.95238515393083,2.82417642831244,2.80875078829801,1.89890881882393,2.39241971036593,1.86716742113966,2.0948489968268,2.78358277326838,2.40821678161563,1.99698741185091,2.62032284565866,2.10352593121457,3.76917293395204,2.20392691912829,1.58064652104133,2.56108884945036,0.678464704139126,1.38456205641999,3.4094254036089,1.12382135927267
Bcl2a1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822884875536259,1.20215469605342,0,0,0,0,0,0,0
Bcl2a1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443813159063251,0,0,0,0,0,0,0.858394086495688,1.35024132677445,0,0,0,0,0,0,0
Bex2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bgn,0,0,0,0,0,0,0,0,0,1.7326773583644,0,0,0,0,0,0,1.47779680368244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btg2,0,0,0,0,0,0,0,0,0,0.41147249888543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22893951188467,0,0
C1qa,0,0,0,0,0,0,0,0,0,0,0,2.37361721421966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1qb,0,0,0,0,0,0,0,0,0,0,0,2.65748431493957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1qc,0,0,0,0,0,0,0,0,0,0,0,2.47132039460663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calm1,2.69591480870835,1.12377164592228,1.20947592972736,1.71677777775218,1.21734392813592,1.28584141542953,1.30594826920997,1.43740418752946,2.20025492357544,1.16788952918231,1.50248686942561,1.60371441833541,1.75597136429742,1.53070641065573,2.08116693398296,1.39288785117968,1.04990245976695,2.29205328492332,1.73393288253483,2.18693728050481,1.56742556503832,1.96935889792195,1.20842344003102,1.51608965971994,1.54510674443131,2.96103003182402,1.40547251612841,1.34635134141252,1.33447983668645,0,1.24979395088301,2.38234406973024,1.80807603149005
Camp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63632452581907,0,0,0,0,0
Capg,0,0,0,0.597547071746108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62816475616869,0,0,0,0,0,0
Capzb,0,0,0,0,0,1.00152254258733,0,0,0,0,0,0,0,0.727935530488115,0,0,0,0.664958711088122,0,0.56810333539556,0,0.489977709575298,0,0,0.397072113873794,0.680599053928013,0,0,0,0,0,0.992397418261593,0
Car4,0,0,0,0,0,0,0,0,0,0,1.93537175093549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Card19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cav1,0,0,0,0,0,0,0,0,1.21017705089737,0,0.743745068556209,0,0,0,0,1.38581434459162,0,0,0,0,0,0,0,1.74863213353401,0,0,0,0,0,0,0,0,0
Cbr2,4.2021247495356,4.51323510785549,3.17932184501538,0.725008558295348,0.996184821177618,0.405543029630114,2.08466032885015,1.24642212506965,1.14867774462791,0.858394086495688,1.29409890267463,1.085013627421,1.14491490992129,0,0.507530976866037,1.14491490992129,0.726103352243906,0,1.03583690721256,0,0.84223050491509,0.244083924827416,1.20842344003102,0,0,0.869617626364036,0.253148701871548,0.795516543610653,1.05981660622429,0,1.21971753703546,0.90690835168137,2.37067866728356
Ccl17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679382929569508,0,0,1.00938125061362,0,0,0,0,0,0,0,0
Ccl3,0,0,0,0,0,0.60805724009363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428939657141835,0,0,0,0,0,0,0,4.70959473946607,0,0,0
Ccl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592474546103647,0,0,0,0,0,0,0,5.54708541141391,0,0,0
