,unassigned,MammaryGland.Virgin_5,MammaryGland.Virgin_7,MammaryGland.Virgin_18,MammaryGland.Virgin_10,MammaryGland.Virgin_8,MammaryGland.Virgin_13,MammaryGland.Virgin_15,MammaryGland.Virgin_3,MammaryGland.Virgin_12,MammaryGland.Virgin_17,MammaryGland.Virgin_16,MammaryGland.Virgin_4,MammaryGland.Virgin_1,MammaryGland.Virgin_11,MammaryGland.Virgin_2,MammaryGland.Virgin_6,MammaryGland.Virgin_9,MammaryGland.Virgin_14
2410006H16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4930523C07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abca8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actr3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aebp1,0.995133663010959,0,0,0,0,0,0,0.823868337542254,0.693384845705734,0,0,0,0,0,0,0,0,0,0
Akr1c18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl4,0.781934144189106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa1,0,0,0,0,0.256880266120619,0,0,1.28106088642259,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0.850492759920035,0,0,0,0.774012280485637,0.885668197719785,0,1.16832188458411,0,0,0.998618190678673,0,0,0,0,0,0,0,1.1933188876501
Anxa3,0,0,0.864843094567244,0,0,0,0,1.31178949022892,0,0,0,0,0,0,0,0,0,0,0
Anxa5,1.43429320530291,0,0,0,0,0,0,0,1.14280012831118,0,0,0,0,0,0,0,0,0,0
Apod,1.32302469687411,0,0,0,0,0,0,0.562982779305172,0,0,0,0,0,0,0,0,0,0,0
Apoe,0.633614161993901,0,0,0,0,0,4.05180056441128,0,0,0,0,0,0,0,0,0,0,0,0
Aqp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqp5,0,0,0,0,1.11409166548795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Areg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgap45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdib,0,0.851012135444076,0,0,0,0.621619663438558,0.638798945817741,0,0,0,0,0,0.844310735114797,0,0,0.81792985225856,0,0.884541195232389,0.881913512677513
Arhgef1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atf3,0,0,0,0,0.928324514665394,0,0,0,0,0,1.27523032548309,0,0,0,0,0,0,0,0
Atp1b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW112010,0,0.527767323226926,1.47926272661391,0,1.53496736754742,0,0,0,0,0,0,0,0.87124417113495,0,0,0,0,0.869610943918403,2.06818441181656
Bcl2a1b,0,0,0.657885148984883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bgn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bin2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bst2,0,0,0,0,0,0,0,0,0,0,0,1.59968488165775,0,0,0,0,0,0,0
Btg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1qa,0,0,0,0,0,0,2.45106105527477,0,0,0,0,0,0,0,0,0,0,0,0
C1qb,0,0,0,0,0,0,2.77435383155239,0,0,0,0,0,0,0,0,0,0,0,0
C1qc,0,0,0,0,0,0,2.5236140791282,0,0,0,0,0,0,0,0,0,0,0,0
C1ra,0.525616283904675,0,0,0,0,0,0,0.482402318583457,0.596552964801239,0,0,0,0,0,0,0,0,0,0
C1s1,0,0,0,0,0,0,0,0.843289371576423,1.05041365581179,0,0,0,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,1.12163970478231,0,0,0,0,0,0,0,0,0,0,0
C4b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cald1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl4,0,0,0,0,0,0,0,0,0,0,0,1.13371708074275,0,0,0,0,0,0,0
Ccl5,0,0,3.62797496965603,0.473404783244389,0,0,0,0,0,0,0,0,1.57369297369282,0,0,0,0,0,3.46279242085301
Ccl6,0,0,0,0,0,1.37577180881741,1.74737198456543,0,0,0,0,0,0,0,0,0,0,0,0
