,Bone_Marrow_Mesenchyme_9,Bone_Marrow_Mesenchyme_5,Bone_Marrow_Mesenchyme_1,Bone_Marrow_Mesenchyme_4,Bone_Marrow_Mesenchyme_6,Bone_Marrow_Mesenchyme_18,Bone_Marrow_Mesenchyme_15,Bone_Marrow_Mesenchyme_10,Bone_Marrow_Mesenchyme_14,Bone_Marrow_Mesenchyme_7,Bone_Marrow_Mesenchyme_2,Bone_Marrow_Mesenchyme_11,Bone_Marrow_Mesenchyme_19,Bone_Marrow_Mesenchyme_13,Bone_Marrow_Mesenchyme_12,Bone_Marrow_Mesenchyme_8,Bone_Marrow_Mesenchyme_17,Bone_Marrow_Mesenchyme_3,Bone_Marrow_Mesenchyme_16,unassigned
1500015O10Rik,0,0,0,0,0,0,0,1.44457117733121,0,0,0,0,0,0,0,0,0,0,0.805400251557252,0
1810058I24Rik,0,0,0,0,0,1.19960090950057,0,0,0,0,0,0,0,0,0,0,0,0,0.811351055142743,0
2700038G22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3110079O15Rik,0,0,0,0,0,0,0,3.557717135587,0,0,0,0,0,0,0,0,0,0,4.11705046377656,0
Acan,0,0,0,0,0,0,0,1.76250862292285,0,0,0,0,0,0,0,0,0,0,1.76563114609957,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23237412171284,0,0,0
Actb,1.26349233100337,0,0.744195334155657,0,1.58161435247764,1.4266918450675,0.644170390010716,0.918292268948068,0.654826030739253,1.08359031275693,0,1.34584672097318,0.79304798722537,0.984058577613514,0.906348800694071,0,1.35669988207739,0.723512509975895,1.13757801502109,0
Actg1,0,0,0,0,0.984800800752293,1.2117374604901,0,0,0,0,0,0,0.668624335321452,0,0,0,0,0,0.811351055142743,0
Alox5ap,0.914037699824834,0,0,0,0,0,0,0,0,0,0,0,0.75652011777264,0,0,0,0,0,0,0
Alpl,0,0,0,0,0,0,0,0,0,0,0.468758883566663,0,0,0,0,0.761093346537404,0,0,1.22444379362239,0
Anp32b,0,0,0.882521596415806,0,0,0,0,0,0,0,0,0,0.648118868879755,0,0,0,0,1.058037202589,0,0
Anxa1,1.38686814406741,0,0,0,0.756909383199923,0,0,0,1.32033085954346,0,0,0,0.75652011777264,0,0,0,0,0,0,0
Anxa2,0,0,0,0,0,0,0,0.823532486976617,1.56598057542213,0,0,0.974410085168539,0,0,0,0,0,0,1.39797795039062,0
Anxa5,0,0,0,0,0,0,0,1.15774851095882,1.21917583290656,0,0,0,0,0,0,0.526223430987761,0,0,1.37136298153001,0
Apoe,0,0,0,0,0,0,1.49035729054091,0,0,0,0,0,0,1.76581931458287,0,0,0,0,0,0
App,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqp1,0,0,0.920910692142963,0,0,0,0,0,0,0,0,0.633267450588596,0,0,0,0,0,1.18819882637117,0,0
Arf4,0,0,0,0,0,0,0,0.881907586645454,0,0,0.887630448159212,0,0,0,0,1.20273844957054,0,0,0.807472819321496,0
Arhgdib,0,0,0,0,0,0,0,0,0,0,0,0,1.93240897551124,0,0,0,0,0,0,0
Arpc1b,1.2878088324486,0,0,0,0.910209127061547,0.186066598259881,0,0,0,0,0,0.957254765735791,1.38432217229265,0,0,0,0,0,0.903424138868335,0
Atf3,0,0,0,0,0,0,0,0.834344626608101,0,0,0,0,0,0,0,1.20911829359821,0,0,1.35319569165611,0
Atp1b3,0,0,0,0,0,0,0,0,0,0,0.89803392332364,0,0,0,0,0.98839183282539,0,0,1.21812481288644,0
Atp5a1,0.180844042234712,0,1.19531027777723,0,0,0.794700741009676,0.675046165830057,0,0.229047075000509,1.00723164526315,0,0,0.981993846747328,0.99837071814641,0,0,1.26399518936007,1.19152107757352,0,0
Atp5b,0.804903298848963,0,1.59335161831491,0.604712556164235,0,1.10075593239349,0,0.871934183291643,0.999119601457971,1.01669568006029,0.698796073603697,0,0.914973263643106,0.984690398107017,0,0.655443830793345,1.45436674090412,1.56665843104688,1.18226779740251,0
Atp5f1,0.856355066710517,0,1.17364901301682,1.03470160441367,0,0.934631569545558,0,0.229187974042279,0,0,0,0,0.950626425174939,0,0,0,0,1.20160667408631,0.778589041326494,0
Atp5g1,1.24137452660878,1.23982700914858,1.95418631082069,1.9581343076987,0.976379709573274,1.20740743733742,1.19042722438912,1.26051758731682,1.09224631044809,1.29565621548389,1.11450759849672,0.991134013929883,1.41798622362505,1.40985284612629,0.514089724607352,1.01669568006029,1.31880070800841,1.77033827960841,1.14856817558263,0
Atp5g3,0,0,0.998639593980128,0,0,0,0,0,0,0,0,0,0.615785067444621,0,0,0,0,0.932407499746746,0,0
Atpif1,1.77811400995056,1.99916938070465,2.75088868783712,2.979524838241,1.72597978598246,2.3823118107076,1.6434039352222,1.35561128978232,1.50861420425401,1.7862344482418,1.44206002127113,1.7215335676609,1.91162235981869,1.82082771650787,1.88098153473847,1.24163926423542,2.04995257548944,2.80858062144393,1.22444379362239,1.8140090076828
B2m,2.50546206925863,1.85201766975883,2.18754231178193,1.6840290352947,2.15112347436755,2.23506043773509,3.29265458784194,0.824647439646463,1.84439763953732,2.53800163465405,2.55280752205041,2.7537725078513,2.37404292842079,2.94288361231875,1.70342232142377,2.6450573853757,1.92721284419208,2.08125212739101,0.891980401087434,1.9280073395281
Bambi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bglap2,2.84311094106085,6.50784231483588,1.88656543222022,3.88684107090542,3.20990464048691,3.10767145981874,3.3384706702177,2.60420408698526,2.93812701222038,2.79167911551744,5.32262609610657,3.20486799311433,2.17679542765573,2.99275020635477,2.75261829127658,5.32262609610657,3.36859030389134,2.0471642744431,2.5625476494707,3.63678204884255
Bglap3,0,1.36112980813852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bgn,0,1.40269349504203,0,0,0,0,1.70053972998289,1.76956160014823,1.62584004970343,0,2.08467681320009,0,0,0.684708092519516,0,2.18443568707598,0,0,1.49900306545332,0
Birc5,0,0,0.603645103926456,0,0,0,0,0,0,0.497251310265721,0,0,0,0,0,0,0,1.20671748000337,0,0
Blvrb,0,0,1.76110753947602,1.59024326463808,0.715425213411088,0.626143389276815,0,0,0,0.679580717676229,0,0,0,1.25840441584067,0,0,0,2.35540699597147,0,0
Bmp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
