,unassigned,Muscle_9,Muscle_7,Muscle_2,Muscle_12,Muscle_3,Muscle_5,Muscle_1,Muscle_13,Muscle_4,Muscle_6,Muscle_8,Muscle_11,Muscle_15,Muscle_10,Muscle_14,Muscle_16,Muscle_17
AA467197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abca8a,0,0,0,0,0,0,0,0,0,0,0,0,1.09380297566877,0,0,0,0,0
Acod1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta1,0,0.335727734040212,0,0,0,0,0,0,0,0,0,5.38138279988297,0.914995162762933,5.61897046928188,0,1.214649297801,1.38752127305865,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519525158897386,0,0,0,0
Actn3,0,0,0,0,0,0,0,0,0,0,0,0.535596439239571,0,0,0,0,0,0
Adam8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgrf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27973273116865,0,0,0
Adh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alad,0,0.498864192806127,0,0,0,0,0,1.08724159508076,0,0,0,0,0,0,0,0,0,0
Alas2,1.93128128119015,0,0,0,0,0,0,1.69009147515671,0,0,0,0,0,0,0,0,0,0
Alox15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42631010310446
Alox5ap,0,0,0.695574743444212,1.16242338828725,0.582608162317762,1.21820249109527,0,0,0,1.16618779752564,0,0,0,0,0,1.10432119591733,0,0
Ankrd2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95471999779775,0,0,0,0
Anxa1,0,0,0.436834260467926,2.27264181278759,0,0,0,0,0,1.88430440701202,0,0,0,0,0,0,0,0
Anxa2,0,0,0,0,0.882099701622205,1.33005205551874,0,0,0,1.42551917880993,0,0,1.31646504828175,0,0,0,0,0.730618558589432
Anxa5,0,0,0,0,0.959238121985443,0.637165210264176,0,0,0,0,0,0,1.60328138514193,0,0,0,0,0
Apobec2,0,0,0,0,0,0,0,0,0,0,0,1.10527642796588,0,2.19716639208356,0,0,0,0
Apod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,3.86035160743602,0,0,0,0,0,1.08887420167657,0,0,0,0,0,0,0
Apol11b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqp1,0,0.91423663322489,0,0,0,0,0,1.30557087822842,0,0,0,0,0,0,2.79779814207235,0,0,0
Arhgdib,0,0,1.76019892067164,1.92326646229217,0,1.20272787593202,0.748952511155665,0,0.797673769326072,1.51530294928363,0,0,0,0,0,1.39563349840433,0,1.49738744917635
Arpc1b,0,0,1.36074858960217,1.19725540148416,1.45288148930509,1.75155432813296,0,0,0,1.53714772618022,0,0,1.26496988513644,0,0,1.21100044514088,1.48456460335994,0
Arpc2,0,0.354860645632748,1.19105083240525,1.19426870659181,1.28608961745193,1.50431467508024,0,0,0,1.27973273116865,0,0,0,0,0,1.28895424918078,1.27973273116865,0
Aspn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asprv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atcayos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp2a1,0,0,0,0,0,0,0,0,0,0,0,2.07079152308587,0,0,0,0,0,0
Atp5g1,0,1.56170949534323,0.662538090636272,0,0,0,0,0,0,0,0,2.62847007133055,0,2.13194377149958,0,0,0,0
Atpif1,0,2.10594786420802,1.10352179674161,0,0.855747568945201,0,0,2.2228644516217,0,0,0,0,0,0,0,0.533237196147664,0,0
Axl,0,0,0,0,0,0,0,0,0,0,0,0,0.906535954507533,0,0,0,0,0
