,unassigned,Neonatal-Calvaria_1,Neonatal-Calvaria_4,Neonatal-Calvaria_5,Neonatal-Calvaria_3,Neonatal-Calvaria_6,Neonatal-Calvaria_9,Neonatal-Calvaria_13,Neonatal-Calvaria_2,Neonatal-Calvaria_8,Neonatal-Calvaria_7,Neonatal-Calvaria_10,Neonatal-Calvaria_11,Neonatal-Calvaria_14,Neonatal-Calvaria_12
1500015O10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010005H15Rik,0,0,0,1.95372582200329,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410006H16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806563281415837
3110079O15Rik,1.29783109019021,1.87678013549985,0,1.94356519096014,1.9549292178399,0,0.308259719173007,0.593283495361731,2.33905840290507,0.977884597842345,1.97506112944708,1.81245807351992,0,0,0
4930523C07Rik,0,0,0,0,0.667174464530089,0,0,0,0,0,0,0,0,0,0
Acan,0,0.817114282740396,0,0,0,0,0,0,0.71720954963028,0,0.936909710285833,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12544882696258,0
Actb,1.13468807329751,1.58859127685483,1.24127087792395,2.06799678414442,2.26313510379365,1.21598996378376,1.3859056496742,1.58896932106312,1.21650567812837,1.94564972668129,1.89516560974789,1.24877736856205,1.12903988364107,1.4702953160534,0.859401491777438
Actg1,0,1.15375114160167,0,1.21650000925212,1.59810211704083,0.638974416522565,0.688079886115145,0,0,0.954237150230697,1.68351377415343,0,0.820667508864801,0.369345124533301,0.695137495850879
Actn4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369345124533301,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahnak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anp32b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,0,0.818790340585945,0,0.800732967570147,0,0.753984379111417,0,0,0.884698712146369,0.946878751363475,0,1.23716343013432,0.972815915404919,0
Anxa5,0,0,0.793316626783005,0,0,0,0,0,0,0,0.745011511136742,0,1.06652124364741,0.839191732683107,0
Apoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arl4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arl6ip5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc1b,0,0,0,0,0,0,0.526003187390457,0,0,0.923675631134775,0,0,0,0,0
Arpc2,0,0,0,0.919033626775865,0,0,0.263901263713341,0.763063602951995,0,1.05413544995844,0,0,0,0,0
Aspn,0,0,1.22940531290025,0,0,0,0,0,0,0,0,0,1.28876981236512,0,0
Atf3,0,0,0,0,1.20263121999816,0,0,0,0,0,0,0,0,0,0
Atf4,0,1.19890664512658,0,0.887518917226317,1.31943724967122,0.665220364340246,0,0.739446742043744,0,0.877401820057969,1.17438976600436,0.787070920853394,0,0,1.07915606374302
Atp1a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp2b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp5b,0,0,0,0,0,0.731401227995148,0,0.970904903323092,0,0,0,0,0,0,0
Atp5c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v0e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azin1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2m,0,0,0,0,0,0,1.27810805986448,0.593283495361731,0,1.18913985280289,0,0,0.918814800550651,0.8451080625756,0
Bag3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC100530,0,0,0,3.37414802519203,0,0,0,0,0,0,0,0,0,0,0
Bhlhe40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bnip3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bsg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btg2,0,0,0,0,1.22291660043386,0,0,0,0,0,0,0,0,0,0
Bud31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1qtnf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cald1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19157893562736,0
Calm1,0,1.054113367645,0.890170558780564,1.3634264509679,0.809658357538509,1.40632685149326,2.15683093481979,1.22593561344464,1.01706907397481,1.50323646219373,0.994985172290077,0.350813918290731,1.06950890739883,1.36465866257274,0.806563281415837
Calm2,0,0,0,0,0,0.640804643235526,0,0,0,0,0.995403830294905,0,0,0,0
Calr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camp,0,0,0,1.35213674718908,0,0,0,0,0,0,0,0,0,0,0
Capns1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccnd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.886328530830775,0
Ccnd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccnl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd24a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd9,0,0.647519880936563,0,0,0.678415919126117,0,0,0,0,0,0.866062316965852,0,0,0,0
Cdkn1a,0,1.26574713535692,0,0.882917532509208,0.987920311680517,0,1.16175549599129,0,0,0.83691237821159,0.808347267495174,0,0,0,0.920113030141984
Cdkn1c,0,0,0.849007334309097,0,0,0,0,0,0,0,0.85142748067088,0,1.33582975356391,0,1.57719298575714
