,unassigned,Neonatal-Heart_1,Neonatal-Heart_2,Neonatal-Heart_4,Neonatal-Heart_15,Neonatal-Heart_17,Neonatal-Heart_3,Neonatal-Heart_8,Neonatal-Heart_6,Neonatal-Heart_13,Neonatal-Heart_11,Neonatal-Heart_18,Neonatal-Heart_14,Neonatal-Heart_5,Neonatal-Heart_12,Neonatal-Heart_9,Neonatal-Heart_16,Neonatal-Heart_7,Neonatal-Heart_10
1810058I24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,0.832638597892889,1.36916616362964,0,0,0,0,0.397609705605734,1.37850756417808,0,0.455237836354273,0.801040296813432,0,0.567690869373098,0,1.29563936279447,0.817999495401041,0,0.803296315653274,0
2410006H16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaa2,0,0,0,0,0,0,0,0.559637264039168,0,0,0,0,0,0,0.656785333536059,0,0,0,0
Acadl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0.791595405072543,0.907842735240643,0,0,0.631680308334795,0,0,0,3.48984288851633,0,0,0,0,0,0,0,0,3.62622877838988,0.8742506284022
Actb,1.19792382279874,0.462124814214096,1.14827563328966,1.19275564694941,1.90093096819974,0.948329800072818,1.00572022677651,0.507017903534355,1.90231292119594,1.70008129541627,1.52192162127324,1.21773378845241,1.06537358047616,1.33311950166574,0,2.07105559734012,1.3804800652876,1.7738574248618,1.54844687090289
Actc1,1.46072983512383,2.86348799774159,1.17440949566651,1.05587892107202,0.645677376918283,0.949690004100901,0.976915888984522,3.33903951190227,1.09950614957909,1.14827434191496,0.720333504707984,0,0.563985069100062,1.18636127442078,2.44218143078526,1.22929044709599,1.49636823819403,1.25663459379725,1.30291131580603
Actg1,0,0,0,0,0.864022503646385,0.694065067433633,0,0,0.891944973332566,0.918148725435948,0.543124299640912,0.785604684651291,0,0,0,0,0,0,0
Actn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,1.10824684566317,0,0,0,0,0,0,0
Adamts2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahsg,0,0,0,0,0,0,0,0,0,0,0,0,1.0061007836813,0,0,0,0,0,0
Akr1a1,0,0,0,0,0,0.952696572908189,0.674224529004454,0,0,0,0.431877126612187,0,0.758377280593528,0,0,1.02663857076567,0,0,0
Aldh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldoa,0,0,0,0,0,0,0,0.739469799533218,0,0,0,0,0,0,0,0,0,0,0
Anapc11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankrd1,0,0,0,0,0,0,0,1.15484571668334,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,0,0,0,0,1.24747954575359,0.638317818336492,0,0,0,0.641875712426684,0.895291322605243,0.369933416446684,0,0,0,0,0,0
Anxa5,0,0,0,0,0,0.810469471981189,0,0,0,0,0.431877126612187,0.51600779888988,0.278896890808595,0.969771758926,0,0.754738797942261,0,0,0
Apoe,1.36830410665549,1.29214675655447,1.37697751421455,0.857748923142349,1.10965390478801,1.0544425013457,2.16619353638968,0.761273517247565,1.17006949208924,1.68027084823417,0.912965682409798,0.51600779888988,0.590415450543615,1.38665586509647,1.04520398267481,4.30006292933024,1.34297300589178,1.05987740075971,1.2998162506047
Arhgdia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc1b,0,0,0,0.649846807099306,0.642412012970606,0.350269875834359,0,0,0,0.982024951779505,0,0.764070608248382,0,0,0,1.02261681223215,0,0,0
