,unassigned,Neonatal-Muscle_18,Neonatal-Muscle_20,Neonatal-Muscle_19,Neonatal-Muscle_21,Neonatal-Muscle_11,Neonatal-Muscle_5,Neonatal-Muscle_12,Neonatal-Muscle_3,Neonatal-Muscle_9,Neonatal-Muscle_24,Neonatal-Muscle_23,Neonatal-Muscle_26,Neonatal-Muscle_7,Neonatal-Muscle_27,Neonatal-Muscle_15,Neonatal-Muscle_2,Neonatal-Muscle_6,Neonatal-Muscle_1,Neonatal-Muscle_16,Neonatal-Muscle_17,Neonatal-Muscle_14,Neonatal-Muscle_22,Neonatal-Muscle_8,Neonatal-Muscle_10,Neonatal-Muscle_4,Neonatal-Muscle_13,Neonatal-Muscle_25
1500015O10Rik,0,0,0,0,0,0,0,0,0,0.780811324915094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010005H15Rik,0,0,0,0,0.795495652607662,0.565507968268888,3.18603347131809,0,3.66023758419798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410006H16Rik,0,0,0.598572093802039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3110079O15Rik,0,0,0,0,0,0,0,0,0,1.41185386497152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA467197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB124611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadl,0,0,0,0,0,0,0,0,0,0,0,0.454521204199775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93415110427503,0
Acod1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta1,0,0,0,0,0,0,0,0,0,0,0,0,5.51491664909279,0,0,0,0,0,0,0,0,1.9516601316732,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54345866907919,0,0,0,4.04597441482902,0,0,3.95739733507013,0,0,0,0,0,0,0
Actc1,0,0,0,0,0,0,0,0,0,0,0,0,2.05613342637738,3.36001493347163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actg1,0,0.446965977637998,0,0,0,1.19679702303993,1.88874463507449,0.644872350879051,0,0.907907066239315,0,0,0,0,0.633590190941939,0,0,0,0,0,0,0,0,0,0.668244709078107,0,0,1.04808180953566
Actg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25649560762437,0,0,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipoq,0,0,0,0,0,0,0,0,0,0,0,2.39538749117915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44148642640797,0
Adpgk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aebp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agtr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alas2,0,0,0,0,1.09436143356453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alox5ap,0,0.445496240399192,0,0,0,1.48927207730813,1.44630866236165,0.541652032058161,1.19518747907532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angptl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa1,0,0.589495550809556,0,0,0,0,1.40359641084831,0,1.33246461505598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,0,0,0,0,1.00736957589837,0,0.419374575665635,0,0.646667504122187,0,0,0,0,0,0,0,0,0.925076637248355,0.870497911404889,0.950115233783525,0.690616235587649,0,0,0.802520760074099,1.35644843211353,0.108820410921994,0
Apoc1,0,0,0,0,0,0,0,0,0,0,0,1.4807885203932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739541595217688,0
Apod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,1.29316686439317,0,3.68331454859081,0,0,0,3.68341742610221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04195746122773,0
Aqp1,0,0,0.145968123089162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36088425279953,0,0,0
Arg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdib,0,1.0055734856612,0,0.557488424782223,0,0,0.891291237106953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05830860452534,0,0,0.911528345096989,0,1.25996379318838,0,1.41614788499867,0,0
