,unassigned,Neonatal-Rib_4,Neonatal-Rib_8,Neonatal-Rib_15,Neonatal-Rib_7,Neonatal-Rib_11,Neonatal-Rib_19,Neonatal-Rib_10,Neonatal-Rib_18,Neonatal-Rib_16,Neonatal-Rib_2,Neonatal-Rib_6,Neonatal-Rib_13,Neonatal-Rib_22,Neonatal-Rib_9,Neonatal-Rib_3,Neonatal-Rib_21,Neonatal-Rib_25,Neonatal-Rib_12,Neonatal-Rib_14,Neonatal-Rib_5,Neonatal-Rib_24,Neonatal-Rib_20,Neonatal-Rib_1,Neonatal-Rib_17,Neonatal-Rib_23
1500015O10Rik,0,0.834381579965234,0.744750335599762,0,0,0,0.98340316690744,0,0,0,0,0.447529027614038,0,0,0,0.918136100132098,0,0,0,0,0,0,0,0,0,0
1520401A03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010005H15Rik,0,0,0,0,0,0,0,1.21117624280476,0,0,3.34866270434235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3110079O15Rik,1.63051846098887,1.98005765527617,2.91355900059865,0,0.539670041190436,0,2.32281820517664,0.663782797213128,0.514558479172401,0.611631484001335,0.847925373583165,1.57836898135006,0,0.615474900938999,0.805487951256252,2.21815890596261,0.747144381722232,0,0.64894422289062,0.61858512242939,1.55294189182349,0,0,2.22619794409573,0.545978739161251,1.3625753947139
4930523C07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acan,0,0,0.625168377441867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acod1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57381255713502,3.28389526988622,0,0,0
Actb,1.23025819686563,1.45246152696169,1.15372614119558,1.12352488664645,0,0.962640940040595,1.47633423427403,1.84960800326955,1.68621597743206,1.15940176804902,1.99249607592069,1.22864397757575,1.19283990155277,1.11033995867002,0.659771711472122,1.00914536510039,1.14302441734425,2.23945581695548,1.30605523182173,0.795599497432779,0.762277211381838,1.03728265730004,1.20394676374045,1.00375650405459,0.851608113724105,1.12165474813043
Actc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61467693688518,0,0,0,0
Actg1,1.03082025402285,1.46402059916876,1.295739085056,0.644009645014586,0,0,1.46736433730353,1.76101336374477,0.903562518740382,1.10258313358015,1.52674097052213,1.27990294775793,0.715498402125165,1.02125101376924,0.909116724040092,0.883199441663879,1.1209073537618,0.59170642740648,0,0.907736023358017,1.01775227745221,0,1.20959853117775,0,1.42496536885583,1.10175325923893
Adam8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
