,unassigned,Neonatal-Skin_5,Neonatal-Skin_1,Neonatal-Skin_3,Neonatal-Skin_18,Neonatal-Skin_12,Neonatal-Skin_19,Neonatal-Skin_22,Neonatal-Skin_11,Neonatal-Skin_4,Neonatal-Skin_7,Neonatal-Skin_23,Neonatal-Skin_10,Neonatal-Skin_16,Neonatal-Skin_2,Neonatal-Skin_9,Neonatal-Skin_13,Neonatal-Skin_6,Neonatal-Skin_17,Neonatal-Skin_20,Neonatal-Skin_8,Neonatal-Skin_21,Neonatal-Skin_24,Neonatal-Skin_14,Neonatal-Skin_15
1810058I24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,0,1.33456190053718,0,0.657797361950356,1.07427614547151,0,0,1.35221198291767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410006H16Rik,0,0.37970777978789,0,0,0.350641106876168,0.397643010359752,0,0.890139469848641,0.840670323422636,0.989216426320065,0,0,0,0,0.900874983569603,0.590695882877681,0,0,0,0,0,0,0,0,1.25291542631125
8430408G22Rik,0,0.860883083539856,0,0,0.597875468082579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acaa2,0,0.831739616174788,0,0,0.537974484328093,0,0,0.533462363029088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadl,0,1.32546724167344,0,0.533077970570248,0.59737464604355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadvl,0,1.07091391349172,0,0,0.511440103502665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aco2,0,1.09399723016474,0,0,0.885736699116953,0,0,0.533462363029088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acsl1,0,0,0,0.986776891722895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16621181330636
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52841709398607,0
Actb,1.16127214069668,0.409513911617345,1.21490984556443,0.92251078611619,0.495001082467733,1.13534086662796,2.16514117562811,0.297193746468345,1.09125689643308,0.610678932431028,1.03298831515997,1.37714430789672,1.47901880044271,1.22137088685501,0.892507008401219,1.43899986360171,0.604464541105669,1.26930965169818,1.3683953217935,1.86777614952401,1.53732027133253,1.42515996962129,1.85294794716893,1.47399779617178,0.849815761507912
Actg1,0,0,0,0.527770181867835,0,0.393399699508411,0.928622778546057,0,0,0,0.620763390389679,0.556875401728065,0.69924577963784,0,0,1.08781592604447,0,0,0.958538048326531,1.80300454004168,0.85448151973752,1.56370571163288,1.81050998886694,0.754192956728445,0
Adam33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adamts2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adipoq,0,0.819860332635572,0,2.08769768149358,0.606521696892622,0,0,0.569161145152835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agt,0,0,0,0.52707583424445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agtr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,0,0,0,0,0,0,1.19996001734252,0,0,0,0,0.765147610395009,0,0,0,0,0.54807901921015,0,0.88451230584275,1.2742421706033,0,0,0,0,0
Aldoa,0,1.35331841753187,0,0.709928422155558,1.21382893808786,0,0,0.33573460779772,0,0,0,0.209181383353852,0,0,0,0,0,1.18130036226333,0,0,0,0,0,0,0
Angptl4,0,0.5705386102343,0,0,0,0,0,0.297193746468345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,0,1.20154315645983,0,0,0,0.833695895053106,0,0,0.604464541105669,0,1.73713035219674,1.14767253445589,1.33534626780202,0.262761812078983,0,0.970598959624148,0,0,0,2.04138029082275,0,0,0,0.831724990218679
Anxa5,0,0,1.08867403693308,0,0,0,0.978782822970474,0,0,0,0,0,1.01596949921029,0,0.776954752956886,0,0.74757630730897,1.09298594536713,0,0.998742332891116,1.14432503965653,0,0,0,0
Apoc1,0,0.933458701437346,0,2.18135718214091,0.995588280786998,0,0,1.27803276433405,0,0,0,0,0,0,0,0,0,1.36418840789171,0,0,0,0,0.465238653906827,0,0
Apod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586960511727756,0,0,0,0
