,unassigned
1110004F10Rik,0
1500015O10Rik,0
1810037I17Rik,0
1810058I24Rik,0
2410006H16Rik,0
2700060E02Rik,0
6330403K07Rik,0
Abracl,0
Actb,0.918112244468188
Aif1,0
Akr1a1,0
Aldoc,0
Anapc11,0
Anapc13,0
Anp32e,0
Apod,0
Apoe,1.3283536240426
Arl6ip1,0
Arpc1b,0
Arpc2,0
Arpc3,0
Arpp19,0
Atox1,0
Atp1a2,0
Atp5a1,0
Atp5b,0
Atp5c1,0
Atp5d,0
Atp5f1,0
Atp5g1,0
Atp5g3,0
Atp5h,0
Atp5o,0.704430741950339
Atp6v0e,0
Atp6v1f,0
Atp6v1g1,0
Atxn7l3b,0
B2m,0
Banf1,0
Basp1,0
Bex2,0
Bex3,0
Birc5,0
Bola2,0
Brk1,0
Bsg,0
Btf3,0
C1qa,0
C1qb,0
C1qc,0
Calm1,1.51935136747601
Calm2,0.892194510934665
Calm3,0
Ccdc34,0
Ccl12,0
Ccl2,0
Ccl3,0
Ccl4,0
Ccl7,0
Ccnd2,0
Cct7,0
Cd24a,0
Cd52,0
Cd63,0.904221933890981
Cd68,0
Cd81,0
Cd9,0
Cdc42,0
Cdca3,0
Cdk4,0
Celf2,0
Cenpa,0
Cetn3,0
Cfap126,0
Chchd10,0
Chd3,0
Cirbp,0
Ckb,0
Cks1b,0
Cldn5,0
Clic1,0
Clta,0
Clu,0
Cnbp,0
Col1a2,0
Cops9,0
Cotl1,0
Cox20,0
Cox5a,0.836524598618748
Cox7b,0.862347017876728
Cox8a,0.828575253261137
Cpe,0
Crip2,0
Crybb1,0
Csf1r,0
Cst3,1.25107266945908
Ctla2a,0
Ctsb,0
Ctsd,0
Ctsl,0
Ctss,0
Ctsz,0
Cx3cr1,0
Cxcl12,0
Cyba,0
Cycs,0
Dad1,0
Dbi,1.81818087227722
Dcn,0
Dctn3,0
Dctpp1,0
Ddah1,0
Ddah2,0
Ddx5,0
Dnaja1,0
Dnajc19,0
Dpysl3,0
Dut,0
Dync1i2,0
Dynll1,0
Dynlrb1,0.497936862590823
Dynlrb2,0
Eef1a1,0
Eef1b2,0
Eef1g,0
Eef2,0
Egfl7,0
Egr1,0
Eif1b,0
