,Ovary_3,Ovary_11,Ovary_4,Ovary_6,Ovary_10,Ovary_12,Ovary_1,Ovary_13,Ovary_5,Ovary_8,unassigned,Ovary_7,Ovary_9,Ovary_2,Ovary_14
2010107E04Rik,1.40372558973343,0.741843024525485,0,1.0900603252172,1.18021212037932,0,0.955240586478431,0,0.98101483221587,0,0.575511912331976,0,0.994351536676191,1.08485954360657,0
Acsbg1,0.941723655864519,0,0,0,0.954996478247298,0,0,0,1.97896377468147,0,0,0,0,0,0
Acta2,0,0,1.72919985620173,0,0,0,0,0,0,0,0,0,0,0,0
Actb,1.32647121571493,1.93591324288444,1.84476752921101,1.73233672910663,1.706537332887,2.07008713148008,1.58327212393317,0.961618204943333,1.32506641638825,1.8215164733907,1.89181522112921,1.78105461041586,1.7107402423478,0,2.65865868707999
Actg1,1.92311759156223,1.90125590449528,1.40669944821243,1.61550336377641,2.36625500945268,1.27207821460813,1.08955909022305,1.79287266798519,0,1.8160530846534,1.22340479667559,1.78478051876098,1.79319437952281,1.68848556851158,0
Adamts1,0.461480659972377,1.02898845389508,0,0,0.540436499551398,0,0,0,0,0,0,0,0,0,0
Adh1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aebp1,0.759071954682956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aes,1.46579797324874,0,0,0,1.11950892294853,0,0,0,0,0,0,0,0,0,0
Akr1a1,1.39276872093336,0.851144790271882,0.153805612705956,0.690132132891279,1.33371077515392,1.54044467209415,0.846075794435262,0,1.17007055330403,0,1.00740512554526,0,0.726364430550679,0,1.75181820052393
Akr1c14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1cl,3.09938157413015,0.724117772778146,2.04174260004085,2.44216855676796,2.67210323608081,0.763183762331654,2.73655263638299,1.00688304414636,4.10438046620087,2.67223750613644,1.76483789247068,2.94709540651594,2.73701984832575,2.92556096651536,1.8160530846534
Aldh1a1,0,0,0,0,0,0,0,0,3.40322790079407,0,0,0,0,0,0
