,Peripheral_Blood_13,Peripheral_Blood_15,Peripheral_Blood_20,unassigned,Peripheral_Blood_8,Peripheral_Blood_7,Peripheral_Blood_1,Peripheral_Blood_9,Peripheral_Blood_3,Peripheral_Blood_2,Peripheral_Blood_14,Peripheral_Blood_10,Peripheral_Blood_6,Peripheral_Blood_4,Peripheral_Blood_19,Peripheral_Blood_5,Peripheral_Blood_11,Peripheral_Blood_12,Peripheral_Blood_16,Peripheral_Blood_17,Peripheral_Blood_18,Peripheral_Blood_21
A930005H10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA467197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800066069980022,0,0,0,0,0,0
Abi3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ablim1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace,0,0,0,0,0,0,0,0.964638969155219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acp5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgre4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgre5,0,0,1.06614264271137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akap13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alox5ap,0,0,1.42163714746415,0,0,1.2909098232509,0,0.921619239657411,1.27763796812102,0,0,0.506839722280943,0.764986558410124,1.20374075163791,0,1.06546665565968,0,0.740646644345802,0.878414571227099,0.617765816229291,0,0
Ankrd11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa1,0,0,0,0,0,0,0,0,0,0,0,0.32051633448163,1.89053199281928,1.29291956738953,0,2.16442754916757,0,0,0,0,0,0
Anxa2,0,0,0.803452914393692,0,0,1.25447484361636,0,0,1.03761462684699,0,0,0,0.475156644296957,1.31000320835904,0,0.732511460930437,0,0.971232477142178,0,0,0,0
Anxa6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,1.42130062925847,0,0,0,0,1.47499765758986,1.11482976221728,0,0,0,0,0,0,0,0,0,0,0,0,0
Arg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgef1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arhgef18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arl4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asprv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp1b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp2b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AW112010,0,0,0,0,2.44311168800689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bcl2a1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE692007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blnk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blvrb,0,0,0,0,0,0,0,0,0,0,1.57877519060344,0,0,0,0,0,0,0,0,0,0,0
Bpgm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41639708526439
Bst2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82073886192361,0,0,0
Btg1,0,0.866939390638724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btg2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C230096K16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
