,Placenta_1,Placenta_3,Placenta_9,unassigned,Placenta_27,Placenta_6,Placenta_5,Placenta_19,Placenta_23,Placenta_15,Placenta_10,Placenta_11,Placenta_7,Placenta_22,Placenta_13,Placenta_25,Placenta_4,Placenta_2,Placenta_14,Placenta_16,Placenta_8,Placenta_26,Placenta_28,Placenta_12,Placenta_21,Placenta_17,Placenta_18,Placenta_24,Placenta_20
1500009L16Rik,0,0,0,0,0,0,1.06366967229913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600012P17Rik,1.71468028630974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010204K13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20524514529766,0,0,0,0,0.86790864945783,0,0,0,0,0,0,0,0,0,0
3830417A13Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.942975706284759,0,0,0,0,0,0,0,0,0,0,0
4930486L24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63477284602205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA467197,0,0,0,0,0,0,0,1.29054292327897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acod1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,1.21746276527572,0,4.25116993005599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actg2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89078207952342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ada,0,0,0,0,0,0,0.775568878686434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08101470306684,0,0,0
Adgre5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30106692552122,0,0,0,0,0,0,0,0,0,0
Aif1,0,0,0.865394075782497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alas2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alox5ap,0,0.753055783641017,0,0,1.29890128334407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27353960546997,0,0,0,1.94768909382221,0,0,0,0
Anxa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.730841336419592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa2,0,1.64698760084191,0,0,1.12939453710537,0,1.77841863452501,1.31770299476563,0,0.582370784635115,0,1.23909893021932,1.68612815591694,0.999146447347411,0,1.60818874746709,0,0,0,0,0,0.803510240430972,0,1.21935615552626,1.1131808514068,0,0,0,0
Apoa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86427454426205,0,0,0,0,0,0,0,0,0,0
Apoa2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35872655680228,0,0,0,0,0,0,0,0,0,0
Apoa4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66373639021857,0,0,0,0,0,0,0,0,0,0
Apoc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00809461656941,0,0,0,0,0,0,0,0,0,0
Apoe,0,1.40383672958837,3.81033650700599,1.14410831955582,1.55400383357863,0,0,0,0.365884845666389,0,0,0,0,0,0,0,1.47810010048782,0,2.40328601834408,1.26279490705016,0,0,0,0,0.908512829972024,0,1.34599431770625,1.43736769227631,2.11145396861968
Apom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3292594828039,0,0,0,0,0,0,0,0,0,0
