,Prostate_1,Prostate_4,unassigned,Prostate_6,Prostate_3,Prostate_5,Prostate_2
1110008F13Rik,0,0,0,0,0,0,0
2010107E04Rik,0,0,0,0,0,0,0
2410015M20Rik,0,0,0,0,0,0,0
5330417C22Rik,0,0,0,0,0,0,0
Abo,0,0,0,0,0,0,0.613674380752214
Acaa2,0,0,0,0,0,0,0
Acrbp,0,0,0,0,0,0,0
Actb,0,0.888624164606244,0,0.802175864830043,1.011164918117,0,0
Actg1,0,0,0,0,0,0,0
Adh1,0,0,0,0,0,0,0
Adi1,0,0,0,0,0,0,0
Agr2,1.24195091095846,0.886614092746396,1.19110186870854,1.18087561546127,1.16941291319404,1.19482344760763,1.87061280521359
Akr1a1,0,0,0,0,0,0,0
Aldh1a1,0,0,0,0,0,0,0
Aldh2,0,0,0,0,0,0,0
Aldoa,0,0,0,0,0,0,0
Anapc13,0,0,0,0,0,0,0
Anxa1,0,0.788087111350698,0,0,0,0,0
Anxa4,0,0,0,0,0,0,0
Apod,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,0,0
Arf1,0,0,0,0,0,0,0
Arf4,0,0,0,0,0,0,0
Arpc1b,0,0,0,0,0,0,0
Arpc2,0,0,0,0,0,0,0
Arpc3,0,0,0,0,0,0,0
Arpp19,0,0,0,0,0,0,0
Asrgl1,0,0,0,0,0,0,0
Atf3,0,0,0,0,0,0,0
Atox1,0,0,0,0,0,0,0
Atp1b1,0,0,0,0,0,0,0
Atp5a1,0,0,0,0,0,0,0
Atp5b,0,0,0,0,0,0,0
Atp5c1,0,0,0,0,0,0,0
Atp5d,0,0,0,0,0,0,0
Atp5e,0,0,0,0,0,0,0
Atp5f1,0,0,0,0,0,0,0
Atp5g1,0,0,0,0,0,0,0
Atp5g3,0,0,0,0,0,0,0
Atp5h,0,0,0,0,0,0,0
Atp5j,0,0,0,0,0,0,0
Atp5j2,0,0,0,0,0,0,0
Atp5k,0,0,0,0,0,0,0
Atp5o,0,0,0,0,0,0,0
Atp6v0b,0,0,0,0,0,0,0
Atp6v1f,0,0,0,0,0,0,0
Atpif1,0,0,0,0,0,0,0
Azgp1,0.98471079016544,0,0,0.954059194184631,0.84963435270374,0,0.970026033055146
B2m,0.841685246909044,1.12712391046706,0,1.1751147830682,1.0217378826335,1.07627624636067,1.58481709002538
BC031181,0,0,0,0,0,0,0
Bcap31,0,0,0,0,0,0,0
Brk1,0,0,0,0,0,0,0
Bsg,0,0,0,0,0,0,0
Btg2,0,0,0,0,0,0,0
Cab39l,0,0,0,0,0,0,0
Calr,0,0,0,0,0,0,0.976882945414911
Canx,0,0,0,0,0,0,0
Capns1,0,0,0,0,0,0,0
Cbr1,0,0,0,0,0,0,0
Cbr2,1.34351477341534,1.94401038110717,1.21365845387376,1.20755545066895,1.10212604530437,1.13762225498596,0.90367493301503
Cd24a,0,0,0,0,0,0,0
Cd63,0,0.670665465223934,0,0,0,0,0
Cd74,0,0,0,0,2.73748495201863,0,0
Cdc42,0,0,0,0,0,0,0
Cdk2ap2,0,0,0,0,0,0,0
Ceacam1,0,0,0,0,0,0,0
Cfl1,0,0,0,0,0,0,0
Chchd10,0,0,0,0,0,0,0
Chchd2,0.726595758207361,1.01757424563088,0,0.763351817518631,0,0.8413141648989,0.866899746606593
Chmp2a,0,0,0,0,0,0,0
Cldn10,0,0,0,0,0,0,0
Cldn3,0,0,0,0,0,0,0
Cldn4,0,0,0,0,0,0,0
Clic1,0,0,0,0,0,0,0
Clta,0,0,0,0,0,0,0
Clu,0,1.35200302400586,0,0,0,0,0
Cnbp,0,0,0,0,0,0,0
Cnpy2,0,0,0,0,0,0,0
Coa3,0,0,0,0,0,0,0
Cope,0,0,0,0,0,0,0
Cops9,0,0,0,0,0,0,0
Copz2,0,0,0,0,0,0,0
Cox14,0,0,0,0,0,0,0
Cox20,0,0,0,0,0,0,0
Cox5a,0,0,0,0,0,0,0
Cox5b,0,0,0,0,0,0,0
Cox6a1,0,0.86869090238861,0,0,0,0,0
Cox6b1,0,0.37393253360897,0,0.654698667202519,0.959654814311527,0,0
Cox6c,0,0,0,0.654698667202519,0,0,0
Cox7a2,0,0,0,0,0,0,0
Cox7a2l,0,0,0,0,0,0,0
Cox7b,0,0,0,0,0,0,0
Cox7c,0,0,0,0,0,0,0
Cox8a,0,0,0,0,0,0,0
Crabp1,0,0,0,0,0,0,0
Creld2,0,0,0,0,0,0,0
Crip2,0,0,0,0,0,0,0
Cst3,0,0,0,0,0.84963435270374,0,0
Ctsd,0,0,0,0,0,0,0
Ctsl,0,0,0,0,0,0,0
Cyb5a,0,0,0,0,0,0,0
Cyp2f2,0,0,0,0,0,0,0
Cyr61,0,0,0,0,0,0,0
Cystm1,0.99471347784091,0.885050254049209,0.585848833397635,1.10275245003555,1.0217378826335,0.959188051508894,0.746182675135616
D8Ertd738e,0,0,0,0,0,0,0
Dad1,0,0.884248470527554,0,0,1.05374589651036,0,0.881099844876781
Dap,0,0,0,0,0,0,0
Dcaf12l1,0,0,0,0,0,0,0
Dcn,0,0,0,0,0,1.49002770366176,0
Dcxr,0,0,0,0,0,0,0
Ddost,0,0,0,0,0,0,0
Ddx5,0,0,0,0,0,0,0
Defb1,0,0,0,0,0,0,1.71464668400689
Dnajb1,0,0,0,0.904084500980786,0,0,0
Dnajc10,0,0,0,0,0,0,0
Dnajc3,0,0,0,0,0,0,0.808742899624457
Dusp1,0,0,0,0,0,0,0
Dynll1,0,0,0,0,0,0,0
Dynlrb1,0,0,0,0,0,0,0
Eci1,0,0,0,0,0,0,0
Edf1,0,0,0,0,0,0,0
Eef1a1,0,0,0,0,0,0,0
Eef1b2,0,0,0,0,0,0,0
Eef1d,0,0,0,0,0,0,0
Eef1g,0,0,0,0,0,0,0
Eef2,0,0,0,0,0,0,0
Egr1,0,0,0,0,0,0,0
Eif1,0,0.265824265589936,0,0,0,0,0
Eif2s2,0,0,0,0,0,0,0
Eif3f,0,0,0,0,0,0,0
Eif3g,0,0,0,0,0,0,0
Eif3h,0,0,0,0,0,0,0
Eif3i,0,0,0,0,0,0,0
Eif3k,0,0,0,0,0,0,0
Eif3m,0,0,0,0,0,0,0
