,Small-Intestine_9,unassigned,Small-Intestine_16,Small-Intestine_12,Small-Intestine_5,Small-Intestine_8,Small-Intestine_10,Small-Intestine_7,Small-Intestine_1,Small-Intestine_4,Small-Intestine_24,Small-Intestine_27,Small-Intestine_23,Small-Intestine_3,Small-Intestine_26,Small-Intestine_22,Small-Intestine_25,Small-Intestine_2,Small-Intestine_18,Small-Intestine_15,Small-Intestine_20,Small-Intestine_14,Small-Intestine_11,Small-Intestine_19,Small-Intestine_21,Small-Intestine_28,Small-Intestine_6,Small-Intestine_13,Small-Intestine_17
2010107E04Rik,0,0.907904592627468,0.150416109270608,0.875526325860668,1.52608242095137,0.5858403091977,0,1.23889640329104,0,0,0,0.299077234070547,0.71397098388646,1.35796830080511,0,1.16246934885667,0,0,0,0,0,0,0,0,0,0.966086967217141,0,0,0
2200002D01Rik,0,0,0,0,1.52796395485751,0,0,2.2036613171332,0,0,0,0,0,0,0,1.03949723035307,0,0,0,1.02920538034119,0,0,1.30195201725301,0,0,0,0,0,0
2210407C18Rik,0,0,0,0,1.19921689533338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2310057J18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abi3,0,0,0,0,0,0,0,0,0,0,0,0.800400672484459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace2,0,0,0,0,0,0,0,0.737422665903873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actb,0.395078945940264,1.21558784819082,0.660985307821628,1.92934357084622,1.93772207581883,1.377980002012,1.59226859833048,2.3184691015277,0,1.40633208854777,0.832728590912403,1.48897828532435,1.19921051447659,1.0376813728167,0.924778775337632,1.65605915312599,1.24299456633766,1.43007039389321,1.69960906173789,2.22441717896484,1.55006247141643,1.4966253809034,2.35271217489581,2.94002814538955,1.54711586289489,0.841996357424955,1.48165108011584,1.77817926098358,1.69694453596698
Actg1,0,0,0,1.03949723035307,0.420802986962542,0.567006134205325,1.47953800707061,0.584676177975968,0,1.45604288232254,1.41969848732476,1.15689834835367,1.00517317094968,0.744855747513989,0.607417716516028,0.622567341671946,0,1.36959439452643,1.45496399593951,0,1.51379238505266,0.836868583995094,0,1.54205783246901,0.859076227793255,1.35815756729851,0,0,0
Actn2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71017188351415,0,0,0,0,0,0,0,0,0
Adamdec1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26160217140596,0,1.6119335206469,0,0,0,0,0,0,0,0,0,0
Adh1,0,0,0,0,0.843718132103155,0,0,0,0,0,0,0,1.01109484940735,0,0,2.50104933780918,0,0,0,0,0,0,0,0,0,0,0,0,0
Adh6a,0,0,0,0,1.57058851803913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00063020500446,0,0,0,0,0,0,0,0,0
Agr2,0.980128046232656,0,0,0,0,3.45968608425172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44127779176717,0,0
Aldh1b1,0,0,0,0,0,0,0,0.720646463093647,0,0,0,0,0,1.30356755950535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldob,0,0,0,0,2.56860492155001,0,0,2.02480129660893,0,0,0,0,0,0.890688373436466,0,0,0,0,0,1.6542628909834,0,0,1.83238425351756,0,0,0,0,0,1.27102619954646
Alpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38546180809572,0,0,0,0,0,0,0,0,0
Ang4,4.11941970260088,0,0,0,0,0.538689047186338,0,0,0,0,0,0,0,0,0,0,0,0,1.21306408214526,0,0.504880355042916,0,0,0,0,1.05543834418483,2.11805393301779,0,0
Anpep,0,0,0,0,1.1413273017021,0,0,1.4981921984865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73773395444293,0,0,0,0,0,0
Anxa2,0,0,0,0,0.970743828751991,0.718597436469698,0,1.300703933168,0,0,0,0,0,0,1.17981578501594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoa1,0.532536426110718,0,0,0,3.18607191018942,0.295783239612473,0,3.51580792529885,0,0,0,0,0.562157614636001,0,0,0,0.33564295242882,0,0,3.92535003383166,0,0,3.82082481707,0,0,0,1.58569428169111,0,1.87104739851266
Apoa4,0,0,0,0,1.42438900423747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73597063380822,0,0,2.45957704345694,0,0,0,0,0,0
Apob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoc3,0,0,0,0,0.608746775619321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97854896140997,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0.560841301738926,0,0,0,0,0,0,0,0,0,0,0.603256759704446,0,0,0,0,0,0,0,0,0,0,3.17416990966993,0,5.24809566247804,0
Arg2,0,0,0,0,1.14578761401789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
