,unassigned,Spleen_10,Spleen_8,Spleen_11,Spleen_2,Spleen_1,Spleen_5,Spleen_4,Spleen_7,Spleen_9,Spleen_6,Spleen_3
2010107E04Rik,0,0.760963750687194,0.412379229988368,0,0,0,0,0,0,0.302760472545443,0,0
2410006H16Rik,0,0.203252817340049,0,0,0,0,0,0,0,0,0,0
Actb,1.27640689621187,0.637166807235243,0.73271000905508,1.48020532092431,1.19201137472487,1.22129754528536,1.14144012686882,1.19678449424365,1.61083647352916,1.15287322732939,1.43013217428506,1.21136638226944
Actg1,0.637462876798215,0.109118839560554,0,1.06464073430255,0,0,0.94721217719572,0.956126188559938,0.349601015777479,0,1.14416101078885,0.812349944073421
Actr3,0,0,0,0.894633354349036,0,0,0.591718833848452,0.68378092347998,0.688688581545246,0,0,0
Akr1a1,0,0.320539416168383,0,0,0,0,0,0,0.318731438399108,0,0,0
Aldoa,0,0.256057830573181,0,0.204810575415578,0,0,0,0,0,0,0,0
Anxa2,0,0,0,0.688255083509118,0,0,0.438151463930462,0,0,0,1.25745815060712,0
Apobec3,0,0.207042053859618,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,0,1.15853260578197,0,2.66862996566491,0,0,0
Arf1,0,0.385803376040514,0,0,0,0,0,0,0,0,0,0
Arhgap45,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdia,0,0,0,0,0,0,0,0,0,0,0,0
Arhgdib,0.972151613277308,0,0.552174779528805,1.64980441433238,0.97215225660699,1.02941551406836,0.881639886065187,0,0,0.26953407500061,0,1.13740693313901
Arhgef1,0,0,0,0,0,0,0,0,0,0,0,0
Arl6ip1,0,0.227873599411607,0,0,0,0,0,0,0,0,0,0
Arl6ip5,0,0.0637784735631905,0,0,0,0,0,0,0,0,0,0
Arpc1b,0.985538857778773,0,0,1.37832582450039,0.970222489702729,0.808556053380952,1.35715518788554,1.05040347211335,0.416020586196422,1.2196406338364,1.25745815060712,1.13189621751354
Arpc2,0,0.415824795876783,0,1.18599898537183,0,0,1.22380597443267,0.995221673458268,0.669512043420215,0,0,0.400325028018878
Arpc3,0,0.659120316946865,0,0.476454449451172,0,0,0.509623394269756,0,0.349601015777479,0.302760472545443,0,0
Arpc5,0,0.206928228056249,0.507555803116047,0.816898779646236,0,0,0.584505739144906,0,0.725368259354355,0,0.890613294935676,0
Arpc5l,0,0,0,0,0,0,0,0,0,0,0,0
Arpp19,0,0.235281229923095,0,0,0,0,0,0,0,0,0,0
Atox1,0,0.418753052420969,0,0.552450719278325,0,0,0.880373164868853,0.952143035615219,0.964967474090983,0,0,0
Atp1b3,0,0.172897313123745,0,0,0,0,0,0,0,0,0,0
Atp5a1,0,0.604166915285583,0.347789872741667,0,0,0,0,0,0,0.26953407500061,0,0
Atp5b,0,1.20532510749575,0.258547872381849,0,0,0,0,0.845783360849223,0,0.784801199772248,0,0
Atp5c1,0,0.559010861307347,0,0,0,0,0,0,0,0.302760472545443,0,0
Atp5d,0,0.676080564737461,0,0.398059809335154,0,0,0,0,0,0.354197331256563,0,0
Atp5e,0,0.612031040336081,0.552174779528805,0.656239635404289,0,0,0,0,0,0.354197331256563,0,0
Atp5f1,0,0.478989038581058,0.412379229988368,0,0,0,0,0,0,0,0,0
Atp5g1,0,1.17399042466354,0.347789872741667,0,0,0,0,0,0,0,0,0
Atp5h,0,0.738216080573573,0.589294496112812,0.398059809335154,0,0,0,0,0,0,0,0
Atp5j,0,0.612031040336081,0.552174779528805,0.795578213342646,0,0,0,0,0,0,0,0
Atp5j2,0,0.773168282435627,0.477727063150814,0,0,0,0,0,0,0,0,0
Atp5k,0,0.901824115973133,0.353061363454568,0,0,0,0,0,0,0,0,0
Atp5o,0,0.692600881168693,0,0.271643874035594,0,0,0,0,0,0,0,0
Atp6v0e,0,0.42618290133037,0.423795984967914,0.518126925984732,0,0,0,0,0,0.850994412329051,0,0
Atp6v1f,0,0.381296319362092,0,0,0,0,0,0,0,0.710320029203768,0,0
Atpif1,0,1.6353714406304,0,0,0,0,0,0,0,0,0,0
AW112010,0,0.165190402419663,0,0,0.936308751196718,0,0,0,1.3223752207834,0,0,2.46293964600183
Banf1,0,0.761768858922703,0,0,0,0,0,0,0,0,0,0
Bin2,0,0,0,0.364144824511744,0,0,0,0,0.276944659838828,0,0,0
Blvrb,0,1.3399842661343,0,0,0,0,0,0,0.989533134184866,0,0,0
Brk1,0,0.172897313123745,0,0,0,0,0,0,0,0,0,0
Btf3,0,0.997262594931676,0,0.353727635608532,0,0,0,0,0,0.32086973095087,0,0
Btg1,0,0,0,0,0,0,0,0,0,0,0,0
Calm1,1.26685717690328,0.674946479847666,0.68795221583822,1.05531525427476,1.25017684797404,1.27951713315777,1.22380597443267,1.24038997127167,1.31467525750448,0.989593079245688,0.901102238213882,1.21757340492035
Calm2,0,0.490112520120608,0,0.665149592000312,0,0,0,0,0,0,0,0
Camp,0,0,0,5.14354029078633,0,0,0,0,0,0,0,0
Capg,0,0,0.224250583800168,0.204810575415578,0,0,0,0,0,0,0,0
Capzb,0,0.203252817340049,0.412514727297459,0.244077707862166,0,0,0.922168413649507,0,0.74644506384887,0.76439113871031,0,0
Ccl5,0,0.280112047089823,0,0,0,0,0,0.675591001222037,0,0,0,3.40592264271374
Ccl6,0,0,0,0,0,0,1.24363402806049,0,0,0,2.17142097275936,0
Cd19,0,0,0,0,0,0,0,0,0,0,0,0
