,Stomach_4,unassigned,Stomach_7,Stomach_2,Stomach_3,Stomach_9,Stomach_10,Stomach_6,Stomach_8,Stomach_16,Stomach_17,Stomach_14,Stomach_1,Stomach_12,Stomach_13,Stomach_11,Stomach_5,Stomach_15
1810010D01Rik,0,0,0,0,0,0,3.34108634046789,0,0,0,0,0,0,0,0,0,0,0
2010107E04Rik,1.4139729776815,1.27597533135879,1.5746969224627,1.40812837459843,1.47897427100971,0,2.65076337605329,1.3027979501455,1.42285380558706,1.12617167894082,0.879647184406589,1.62869221221839,1.37422226353635,1.37357196283249,0,1.32721414007661,0,1.21911500047829
2200002D01Rik,0,0,1.01785022106329,0.698192213564158,0.75246492093711,0,0,0.652673936804341,0.584656212969355,0.284680372996965,0.80492116579551,0,0,0,0,0,0,0
2210407C18Rik,0.698358347369907,2.6693619471738,3.41026984530347,1.99437456342054,3.83988073112716,2.55018208002815,0.657349408032772,4.02202219240588,1.24755856326507,1.4709862125572,4.38307081492668,0,3.1363593121965,0.965890685207339,1.44134188961739,1.89703950681938,3.12623030783472,1.25283419824013
A4gnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actb,1.27587775509736,1.89538396573231,2.14531302370676,1.94156276045964,2.2319477751337,2.67084879817041,1.11861045391621,2.19168623734795,1.90554074777061,2.29019588041349,2.45478178829155,1.2486667232122,1.86199495149023,2.06025327695737,2.150439640428,1.93334828312826,2.05227206550472,2.17469081802138
Actg1,1.79331846728468,2.04223995337374,2.51838101361189,2.2415972441103,2.88818821090074,1.56600567228863,2.58828101745049,2.12943761072426,2.23812102382649,2.57366531754286,2.18200116241662,1.71345100611299,1.98353708964381,2.23680034774853,2.17833873377318,2.18200116241662,2.05227206550472,2.2867579653055
Adh1,0,0,0,0,0,0,0,0,0,3.28935270287479,0,0,0,0,0,0,0,0
Adh7,0,0,0,0.954650952416111,0.919429725563043,0,0,1.06311329493163,0.907584323426872,0,1.28774827358847,0,0.973063792150354,0,0,0,0,0
Agr2,3.98048529652109,2.31910534658392,3.22173652843773,2.62640194128245,2.23485811393604,1.7439917584977,0.667642358383103,1.98500288344546,2.77227846266049,1.79164447669709,1.71740741383108,4.92611948288882,2.33300100958357,0,0,3.69421034784,2.76689006017487,0
Agt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akr1a1,1.11543074848466,0,1.22638426127992,1.2633399816861,1.25999743317111,0,1.85971974411253,1.26797819886746,1.1944604784309,1.07643894022697,0.993947095140134,1.52943597998685,1.00423857326076,0,0,1.03291808059589,0,0
Akr1b8,0,0,0.837456172048132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldh3a1,0,0,0.478659487681048,1.38587731292506,1.49824383581872,0,0,1.39204541760065,0.399939700019933,0,1.42215255928909,0,1.41103906370705,0,0,0,0,0
Aldoa,0,0,1.25819845549072,0.973301937752842,1.04910438213653,0,1.2606288861074,1.24120790776353,0.787762914562747,1.17396628169209,1.40897610188358,0.423981762420024,0.950668952370809,1.07715449832246,0,1.00440638157034,0,0
Alox5ap,0,0,0,0,0,0,0,0,0,1.98195466265774,0,0,0,0,0,0,0,0
Ambp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa10,1.41902345206925,1.88802890244086,2.79189210245093,2.19960319487906,2.45683266721825,2.03652325124686,1.47040547141592,2.5887669882836,2.05278055387449,2.03258158649618,2.57486017126272,0,2.27553873154978,0.943832560927873,0,1.70289012650499,1.72879152709611,0
Anxa2,0,0,1.44026113030497,0,0.394852242405048,0,0,0,0,0,0,0.538883953834247,0,0,0,1.07021063136558,0,0
Apoa1,0,0,0,0,0,0,4.28449681917758,0,0,0,0,0,0,0,0,0,0,0
Apoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqp5,0,0,0,0,0,0,0,0,0,0,0,1.3543530701993,0,0,0,0,0,0
Areg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc2,0.660228814183456,0,1.29030135876656,1.30950880358479,1.48111606172153,0,0.552217681812607,1.24553716158832,1.22481593294092,1.38088552485319,1.3843872466905,0,1.10059146842925,0,0,1.22468555179175,0,0
Atf3,0,0,0,0,1.21235908924454,0,0,0,0,0,0,0,0,1.70202431236638,0,0,0,1.24382555087194
Atp1b1,1.10454860005836,0,0.652796640527094,0.827120985185697,0.833328366076515,0,1.42698618265885,0.796244184069076,0.920921416353385,1.4663897040943,0.783023673001551,1.24767821995174,0,1.23885091852166,0,0.53775895060658,0,0
Atp4a,0,0,0,0,0,0,4.05324473400883,0,0,0,0,0,0,0,0,0,0,0
Atp4b,0,0.438572828576557,0,0,0,0,5.1247698097492,0,0,0,0,0,0,0,0,0,2.26045057010593,0
Atp5a1,1.11647254438219,0.893259151485555,1.4633320932916,1.29716292320339,1.25023550514235,0,2.48979943922664,1.23599478711679,1.4576195307129,1.28198315231162,0.879647184406589,1.33421010802572,1.03149683149713,0,0,1.38389167025317,0,0
Atp5b,1.79045133911691,1.9802393645669,2.04751775744613,1.97277688386709,1.97036981990883,1.369253463005,3.27923078348624,1.96279668740575,2.06565693048307,1.79519180595399,1.96178754478392,1.79874440430809,1.7745490347328,1.50957590183349,0,2.25250096653114,2.01570142589267,0
Atp5c1,1.11448572476527,0,1.48030869581127,1.36038692323882,1.23451009591453,0,2.47254115985815,1.17129880096624,1.43714902852825,1.13345613609136,1.38670499417172,1.33421010802572,1.26962389974852,1.24487824933945,0,1.52897874700598,0,0
Atp5d,1.1690948954895,1.17788916330165,1.55443785921885,1.48206285152282,1.4248433073455,0,2.23850490841505,1.35547165770251,1.36846498571701,0.841563293075967,1.2935317463454,1.16301227344309,1.41865934450049,0,0,1.39203419359308,0,1.24382555087194
Atp5e,1.36202475862236,1.30366759280679,1.54473029071304,1.49335890734491,1.39000653356015,0,1.92536219321195,1.47413151712165,1.45271667931261,1.54980317006435,1.71740741383108,1.59077491186101,1.46656875164831,0.965890685207339,0,1.22468555179175,0,0
Atp5f1,0.970442574457566,0,1.29563120315781,1.23130309319143,1.21842253783282,0,2.34836426826414,1.19013538835467,1.53973021376536,0.883840896958765,1.3843872466905,1.33799515991832,1.24910802615876,0,0,1.38389167025317,0,0
Atp5g1,1.32340980288859,1.67249908924035,1.82311974800781,1.64108267032135,1.72204786342923,0,3.11497236406459,1.60555461588418,1.59652102622656,1.42723497158577,1.99573822842945,1.57297602386638,1.7133569758769,0,0,1.58793428585334,2.01189947884148,0
Atp5g3,1.01656394053547,0,1.18583377124246,1.01759622398937,1.1208157683955,0,2.33602083874889,1.14887421491536,1.05666216155261,1.05674349939122,0.870063356121737,1.16488025787875,0.896555397905105,0,0,1.1175182765571,0,0
Atp5h,1.42110719819276,1.46348312844473,1.51037363494859,1.43114515663866,1.47687966088754,0,2.86804648559029,1.38572417094805,1.53474144691729,1.25246727607224,1.46838056654022,1.13854972876845,1.43524067429964,1.37033035149929,0,1.51277235713232,2.01799059054995,0
Atp5j,1.4940331144465,1.6311926427664,1.86199495149023,1.7396061037977,1.74280501564582,0,3.00825646292632,1.76939357659122,1.79708174190536,1.3502158515143,1.77348579646605,1.99067889088565,1.62165875996918,1.37617714185456,0,2.11565826092111,1.81748607487671,0
Atp5j2,1.50139108415225,1.67523129373142,1.83993038682713,1.75272059726007,1.60986665662135,0,2.74545681348599,1.75079123410997,1.66962594815011,1.5658015201985,1.38847650931505,1.50672694629254,1.66092883990774,1.36581960005634,0,1.76323111649242,1.96897619478383,0
Atp5k,1.45445687593237,1.79084034196515,1.79358508758553,1.69582699236969,1.62861258623152,0,2.71194885742955,1.73121485245442,1.70156952564527,1.56351658806899,1.77227241733592,1.6467244845149,1.69564761485015,1.26144050743523,0,1.79416911771617,1.92535610765884,0
Atp5o,1.1223241930461,0.924485728876515,1.4603581251193,1.29471672382605,1.22443167884961,0,2.34205330333098,1.23612505589447,1.29169036364984,0.779040696365415,1.26688358333049,1.42174020993659,1.23911168878155,0,0,1.51117228739421,0,0
Atpif1,1.8541013298596,1.65360145787965,1.52224790392358,1.95430474796933,1.76745585080513,0,2.38234566478355,1.56861681221703,1.99765644813941,1.85382450555633,1.93918334716963,1.45595439446531,1.85945740974829,1.50957590183349,0,1.68898350084742,1.85189163302603,1.02375223404837
AW112010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2m,1.26852651349972,0,0,0,0.662501098402068,0,0,0,0,0,2.01837270350227,0.879599241688265,0,0.808336066545178,2.14778434230602,0,0,3.20882288999834
Bgn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21944585613146,0,0,0
Birc5,0,0,0,0,0,0,0,0,0.875251771211793,0,0,0,0,0,0,0,0,0
Bpifb1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bsg,1.46296466453724,0.970244738522779,1.43882284191258,1.67016847419019,1.38067970555028,1.369253463005,1.10667899236623,1.3424200862592,1.46457517273051,0.985654276031108,1.33664492811687,1.2343405521449,1.45961667920563,1.55231617194413,0,1.22468555179175,0,0
Btg2,0,0,0,0,0.964424363699147,0,0,0,0,0,0,0,0,0,1.26962389974852,0,0,0
C1qa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calm1,2.22668800595427,2.25052399547882,3.15778055284761,2.76966004711528,2.83852965110763,1.7439917584977,1.60557886051159,2.94029290921167,2.78129474047654,2.87342991160148,2.93015925712858,2.40790904508675,2.79781036838749,2.68906708908031,2.45072686731018,2.9388041115319,2.16024234443673,2.35698305093554
Car2,2.14944595912999,2.20006671806415,2.64117018913902,2.93775268714926,2.78033751337429,2.34819344288455,2.64594936850391,2.50918619099024,2.73672159153354,2.07064241043981,2.763599974439,1.33421010802572,2.51619032308539,0,0,2.62062479802953,0,0
Cbr1,0.45560451146696,0.762550609099932,1.62196976908962,1.86848041545286,1.84559543183439,0,0.91863941424767,1.69547390946332,1.50744658816612,1.53074361337009,2.03296282158605,0,1.72130178932999,0,0,1.54221964917357,0,0
Ccl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ccl7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd24a,2.78754429250293,1.35784416934515,1.25247830778531,1.71099955946125,1.57447918328693,0,2.65231811351381,1.13667564340898,1.54536087509959,4.00068795214369,1.3843872466905,2.396983551151,1.34002592521663,1.44062118855419,0,1.42848739359497,0.933910975403323,0
Cd44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64728488792332
Cd63,1.76271727272176,1.2073947248951,1.75414450487902,1.64729052514285,1.75782833258007,0,0.547867453864073,1.79723080337489,1.44770844196365,1.37332165751221,1.42215255928909,1.66958558608796,1.75336736094133,2.05465886544403,2.54750612790804,1.58793428585334,0,0
Cd74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3503499099401
Cd83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cdkn1a,0,0,0,0,0,0,0,0.427475294023636,0,0.56983387121636,0,0,0,0,0,0,0,0
Cdkn1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cela1,0,0,0,0,0,0,0,0,0,0,0,2.93346252769935,0,0,0,1.26579097566527,0,0
Cfi,1.39516644549341,0,0,0,0,0,0,0,0,0,0,0.167232870236051,0,0,0,0,0,0
Cfl1,1.11605303128688,0,1.38141950042562,1.36455606719283,1.4812689307577,0,0.985039782398113,1.22532311921046,1.54350176746366,1.70616211247279,1.83368771926675,1.28231414113343,1.03936456343674,1.24015593540059,1.71599614546837,1.39538739530096,0,1.90169280373997
Chchd10,0.838380354714176,1.16667919586551,1.61085566986358,1.18528044100696,1.34023307688315,0,2.9405375330336,1.50929023483664,1.17490675190196,0,0.891281870810822,1.63280914745081,1.23443556548833,0.934199705199892,0,1.38521405636118,0,0
Chchd2,1.80712717162068,1.97331856545929,2.05492446426787,1.94045474546332,2.19137615322539,1.82716802358454,2.62923044789133,2.11326517377162,2.05203935835639,2.23770826678039,2.36140787113546,1.95065974529984,1.90147062772119,1.97914282495132,0,1.92125180801563,1.88519215778398,1.91310291617372
Chga,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24487824933945,0,0,0,0
Chgb,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33515679016823,0,0,0,0
Chia1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chil4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ckb,0,0,0,0,0,0,1.70302487947643,0,0,0,0,0,0,0,0,0,0,0
Ckmt1,0,0,1.5746969224627,1.18607394994001,1.42928723960846,0,1.00083813029572,1.413356765135,1.10319979150712,0.847342963176986,1.46931961929372,1.06722080625324,1.21359783400085,0,0,1.15276996819883,0,0
Clca1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clic1,0,0,1.55259869718393,0.949323945035895,1.22725781536602,0,0,1.23845999587744,1.22562447048513,0.87202588194083,1.02532648528502,0.303734768444352,1.01201861960446,0,0,0,0,0
Clic6,0,0,0,0,0,0,0.896686950431218,0,0,0,0,0,0,0,0,0,0,0
Clu,3.71622597337861,2.38611017685952,1.86199495149023,2.85669366540172,2.57631753980575,2.1148056225377,0.888933467163733,2.1701013977177,3.02882365828625,2.30462257286041,2.24344108898883,2.95961235571096,2.33214004403275,3.09257339571659,0,2.56956729787961,3.05559313126771,1.24382555087194
Cmtm7,0,0,0,0.512263270289564,0,0,0,0,0.747144961145228,0,0,0,0,0,0,0,0,0
Col1a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77416914247119,0,0,0
Col1a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65738928964992,0,0,0
Col3a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94492815454447,0,0,0
Col6a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6376899702529,0,0,0
Col6a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76623336483902,0,0,0
Cotl1,0,0,1.51759480933455,1.44976773909621,1.4558626023634,0,0,1.47507672506299,1.31991191862219,0.271142660612007,1.31466155564329,0,1.43524067429964,0,0,1.23340150398728,0,1.61654603340846
Cox4i1,2.00434512443803,2.25762743307418,2.30540658892424,2.1869688029492,2.05260282139415,1.56600567228863,3.63848630267599,2.16592572569207,2.06427598266469,2.0089541091167,1.93918334716963,2.11955905044285,2.093914713602,1.60414591834,1.44134188961739,2.25845688115211,2.2806219694708,0
