,unassigned,Testis_8,Testis_5,Testis_14,Testis_11,Testis_17,Testis_3,Testis_6,Testis_10,Testis_15,Testis_16,Testis_7,Testis_13,Testis_12,Testis_9,Testis_19,Testis_18,Testis_4,Testis_1,Testis_2
1110004E09Rik,0,1.16635207722771,0,0,0.936997029574042,0.343144235343313,0.861926538207813,0,0,0,0,0,0,0,0,0,0,1.07130445378075,0,0
1110017D15Rik,0,0,0.865463490036581,1.38494435095795,0,0.405852192769195,0,0.955095115242011,0.761063224459099,0,0,0,0,0,0,0,0,0,0,0
1700001C19Rik,0,0,1.16903178975749,1.69109983488048,0,0.546061984179631,0,1.32034978729934,1.50114618444223,0,0,0.804187447406361,0,0,0.693750816024701,0.641929030474048,0,0,0,0
1700001J03Rik,0,0,0.801875892173396,0.269161880830275,0.961329461550812,1.47160432591987,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25890620689636
1700001K19Rik,0,0,0.602784146286736,0.838997705783611,0,0,0,0.754250418217644,1.09060444247776,0,0,0,0,0,0,0,0,0,0,0
1700001O22Rik,0,0,0.995625978471313,1.40637400620581,0,0,0,1.18636383054054,1.47910358198714,0,0,0,0,0,0,0,0,0,0,0
1700001P01Rik,0,0,0,0,0,1.23323175916141,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953418304477451
1700003F12Rik,1.02435342684063,0,1.79184214570489,2.11409431435679,0.530872967924718,1.26048552375329,0.734763739564186,1.71124544482308,1.58899087602665,0.9090162672181,1.11064455295988,1.33024805159358,0.990798445747703,1.13562213877087,1.10584289558455,1.13950095435424,0,0,1.15054201179153,1.36971431789753
1700003H04Rik,0,0.819208775658885,0,0,0.949717806764348,1.02630877249637,0,0,0,0,0,0,0,0,0,0,0,0.636620207464965,0,0.934415871936691
1700007K09Rik,0,0,0,0,0.375032977118263,1.23365537564144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99800307013608
1700009J07Rik,0,0,0,0.611206914681937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700009N14Rik,0,0,1.10150315219145,1.46324771263405,0.266671211097713,0.815524674296346,0,1.36303812919108,1.67628405989605,0,0,0.752337355644099,0,0,0.818090748197018,0.679445435673583,0,0,0,0.804478213339596
1700010B08Rik,0,1.04828927321544,0,0,0.751071690329486,0.347812983072653,0.920766316510422,0,0,0,0,0,0,0,0,0,0,1.18750576295773,0,0
1700010I14Rik,0,1.49666088458456,0,0,1.41976993631518,0.915234778153611,1.05677748532816,0,0,0.718239416793351,0.70025909338663,0.90640576662273,0.765900351733857,1.12560749733593,0.732355730675765,0.684425265615364,1.05780129817698,1.29196590505197,1.04916459546515,0.846302684178089
1700011L22Rik,0,0,0.713543677475368,0.830318231479701,0.374847222463745,0.899831074390167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0.834696884191179,1.09997118684721,0,0,0,0.971519267851241,1.44225068856034,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0.84285007109486,0.931455835344204,0.251308414209272,1.123076208952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700012B09Rik,0,1.16376890182902,0.341566814670312,0,1.42226139947902,1.10922844827467,0.901047246269662,0.607693805241155,0,0,0.671106781801907,1.10164213893658,0.61387822797288,0.892500241284258,0.80273684560723,0.770792615216573,0,1.13177299821399,0.692038469253158,1.19061726519263
1700013D24Rik,0,0,0.441639857754104,0,0,1.23738841746576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910890440172704
1700013F07Rik,0,0,1.2194207011324,1.06554646055366,0.663365937769385,1.31080828345451,0,0.917150297095168,0,0,0.812114587539973,0.80273684560723,0,0.419090175572286,0.774810856024834,0,0,0,0,1.2450239226439
1700013G24Rik,0,0,0.953624810316983,1.35722223323815,0.319684918516295,1.03903588193063,0,1.10109195430305,0.580146920015866,0,0,0.627058958097295,0,0,0,0,0,0,0,0.856597863198622
1700015F17Rik,0,0,1.05499084806715,0.825075968786423,0.273593595508196,1.2152132570379,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08462789192022
1700015G11Rik,0.978003328893893,0,1.93159974949038,2.40535259351554,0,0,0.745803095898356,2.25841268768533,2.15131569518858,1.01368816158637,1.03574517970084,1.64090811670276,1.09347746008476,1.12385943068956,1.25265526951563,0.979309969918756,0,0,1.13950103709155,0.880076184160755
1700016H13Rik,0,0,1.22794741367771,1.73166520642265,0,0.595597391582558,0,1.44323354628012,1.78543689039013,0,0,0.913905780605806,0,0,0.688314935718889,0.602531511236144,0,0,0,0
1700016P04Rik,0,0,1.49149541079148,1.90743205328442,0,0,0,1.66400451999646,0,0,0,1.24070728674945,0,0,0.461049543991423,0,0,0,0,0
1700017L05Rik,0,0,0,0.681718664999622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700018B24Rik,0,1.37585254743991,0,0,1.03110832313553,0.668875481206736,1.00601271339923,0,0,0,0.797558821203873,0.869365936164805,0,0.789638839240526,0,0,0,1.35613823445838,0,0.825382454399374
1700018C11Rik,0,0,1.05741791868355,1.14643218129738,0.534518251209278,1.04253473202015,0,1.06893970246675,1.20022613383934,0,0.701795646504699,0.940394743551989,0,0,0.80681212902828,0.932834767654238,0,0,0,1.09032882539288
1700019A02Rik,0,0.82252229320579,0,0,0.931455835344204,0.882738240219416,0.639370772012839,0,0,0,0,0,0,0,0,0,0,0.708017103179793,0,0.881127114490869
1700019D03Rik,0,0,1.57365846306759,1.88421227320827,0.289718321853606,1.36365657115807,0,1.54849807990967,1.39178142114693,0.521674545280966,1.06140101928724,1.17379228955904,0,1.05168930356963,0.9845762497414,0.881127114490869,0,0,0.787964243154155,1.23075751931641
1700019M22Rik,0,0,1.52922364057415,2.10740941490108,0,1.03498019629528,0,1.40872197964315,0,0,0.746052267494588,0.916180858123732,0.638382418557246,0.844531155515342,0.777242458991008,0.804478213339596,0,0,0,1.07077610410924
1700019N19Rik,0,0,1.2049210523213,1.31424203106251,0,0.98860552268854,0,0.93800496550641,0,0,0,0,0,0,0,0.601083083564269,0,0,0,0.877634033373816
1700020D05Rik,0,1.46232948587759,0.678838855895433,0,1.39499483341494,1.13569672020692,0.860922218770732,0.208083546659802,0,0.648042354378783,0.94079615236053,1.00809400009212,0.658886332983084,1.10275906637086,0.693750816024701,0.584085575320254,0,1.3119564305157,0.992586924762341,1.14160111060414
1700021F07Rik,0,0.335437023668361,0.915611358130871,0,0.894576033382625,1.23620586664483,0.526662698642364,0.597357732232669,0,0,0.58636663016285,0.761580562646749,0.538971532796133,0.886065871367763,0.616146429213635,0.602531511236144,0,0,0,1.22028296665243
1700024P04Rik,0,0,1.63188854122205,2.0863947130373,0,0.929673581145921,0.457232016452924,1.89842799511242,1.3894991793683,0.843888852773462,0.946860147147537,1.42370308176234,0.905664164650852,1.0401782847028,1.02029693221952,1.07605970539873,0.927344223280621,0,0.921727640718211,1.10108456401539
1700027A15Rik,1.51918295666432,0,2.15314427745925,2.68267638084565,0,0,0.970233302776283,2.57058729361622,2.97445855549446,1.35743928586127,1.39683909466949,1.97646939080821,1.23677827593657,1.35095992596683,1.47519561361104,1.38630568850945,1.48566696051793,0,1.34497219077328,1.08032602360531
1700028J19Rik,0.702346523702432,1.5201254581415,0.695798817263475,0,1.27425849061789,0.94810086514357,1.25706082523159,0.521584695552251,0.786852818169267,0.838469569107571,0.884648981983271,1.12677605152184,0.81315619839309,1.05168930356963,0.942405341509788,1.00371063118615,1.41890970048011,1.42274318607318,1.1876689907231,0.988564729180361
