,Thymus_7,unassigned,Thymus_1,Thymus_4,Thymus_2,Thymus_3,Thymus_5,Thymus_6,Thymus_8
1810026B05Rik,0,0,0,0,0,0,0,0,0
2010107E04Rik,0.373872800484621,0,0,0,0,0.485594633818205,0,0.520472200300323,0.775833501299728
2310036O22Rik,0,0,0,0,0,0,0,0,0
2410015M20Rik,0,0,0,0,0,0,0,0,0
Abi3,0,0,0,0,0,0,0,0,0
Abracl,0,0,0,0,0,0,0,0,0
Acap1,0,0,0,0,0,0,0,0,0
Actg1,0.692073474034993,0,0,0,0,0,0,0,0.778257352935729
Aes,0.815262613102669,0,1.19070643730892,0.853036149461279,1.18283622570061,0.946142561036213,0.964718472487686,0.388131173114563,0.841921301620837
AI467606,0,0,0,0,0,0,0,0,0
Akr1a1,0.0999710611573465,0,0,0,0,0,0,0.492150527348299,0
Anp32b,0,0,0,0,0,0.678292147335549,0,0,0
Anp32e,0,0.338837767750394,0,0,0,1.38081048551246,0,0.579708247292455,0
Anxa2,0.186114202698575,0,0,0,0.712762409070164,1.09531762781094,0,0,0
Anxa5,0,0,0,0,0,0,0,0,0
Ap2s1,0,0,0,0,0,0,0,0,0
Ap3s1,0,0,0,0,0,0.342623070257114,0,0,0
Aqp11,0,0,0,0,0,0,0,0,0
Arf5,0,0,0,0,0,0,0,0,0
Arhgap45,0,0,0,0,0,0,0.618703713634995,0,0
Arhgdia,0.512735282106139,0,0,0,0,0.403845564801911,0,0,0.375870071781947
Arhgdib,0.81539519091432,0.235346712236137,1.20098937160676,1.26045013340759,1.10104787403269,0.858156197055086,1.14926086729521,0.800595931900192,1.12589534041684
Arhgef1,0,0,0,0,0,0,0,0,0
Arl5c,0,0,0,0,0,0,0,0,0
Arl6ip1,0,0,0,0,0,0.971326124639753,0,0.442715972687938,0.378949480864329
Arpc1b,0.850279333237954,0,0,0,0,0,0.623732181182224,0.702484203753653,0.930539993114041
Arpc2,0.583324447384473,0,0,1.16850752031373,0,0,0.823062275752246,0.579708247292455,0.745601037145217
Arpc3,0.743957059668314,0,0,0,0,0.464466664074433,0,0,0
Arpc5,0.792923913418346,0,0,0,0,0,0,0,0
Arpp19,0,0,0,0,0,0,0,0,0
Arpp21,0,0,0,0,0,0,0,0,0
Atox1,0,0,0,0,0,0,0,0,0
Atp5a1,0.39456142322236,0.450145177686312,0,0.789827762965221,0,0.76213729219998,0.57285040986185,0.690172219175844,0.745601037145217
Atp5b,0.208447220523785,1.06757772131747,0.971819318179795,1.11466613476005,0.791594117181813,1.10684132160841,0.884736546638326,0.945675991584531,0.806863121752772
Atp5c1,0.147261468469425,0,0,0,0,0.583590552535664,0,0.573604263316684,0.449396165527574
Atp5d,0,0,0,0,0,0.524639331946796,0,0,0.580648598937312
Atp5e,0.593483764455052,0,0,0,0,0.575118017051562,0.636674274420183,0.573604263316684,0.930539993114041
Atp5f1,0.186114202698575,0,0,0,0,0.793221652017002,0,0.475223208870693,0
Atp5g1,0,0,0,0,0,0,0,0,0
Atp5g3,0.333375671168,0,0,0,0,0.699835288216734,0,0,0
Atp5h,0.804215351432588,0.898831493809697,1.07574420843299,0.853036149461279,1.04280320994133,1.18731998786472,0.85872899920127,0.690172219175844,0.21214465426986
Atp5j,0,0.47781739786033,0,0,0,0.92293947048558,0.745253962882519,0.359142746807074,0.834435036379196
Atp5j2,0,0.644386107431249,0.67094651920823,0,0,0.923272164993241,0.597194080552152,0.683280923468269,0
Atp5k,0,0,0,0,0,0,0,0,0
Atp5o,0,0,0,0,0,0.6723331732424,0,0.475223208870693,0
Atp6v0e,0,0,0,0,0,0,0,0,0
Atp6v1f,0,0,0,0,0,0,0,0,0
Atpif1,0.147261468469425,0,0,0,0,0.50757566522304,0,0.621947977643736,0
B2m,3.32720836374075,1.38470301819441,1.40372095565649,1.34240798908137,1.20127776265958,0.909186590705598,2.84401864967635,2.34272847973316,3.06239435653652
Banf1,0,0,0.642374429351891,0,0,0.98941483759273,0,0.683280923468269,0
Bin2,0,0,0,0,0,0,0,0,0.719678523952954
Birc5,0,0,0,0,0,1.21974178274333,0,0,0
Brk1,0,0,0,0,0,0,0,0,0
Bsg,0,0,0,0,0,0,0,0,0
Btf3,0.246723047850965,0,0,0,0,0,0,0.718817471288272,0
Btg2,0,0,0,0,0,0,0,0,0
Bub3,0,0,0,0,0,0.669221367797033,0,0,0
Calm1,0.808781812487031,1.24208934011949,1.09247586888693,1.29733001232935,1.005433626306,1.25536265800133,1.17178156620238,0.614334693070832,1.12589534041684
Calm2,0,0.613756884742725,0.860452138342804,0,0.803335272282033,1.44051819280648,0,0.799109848806132,0.824802847154466
Calm3,0,0,0,0,0,0.659390853724262,0,0,0
Capzb,0.269496841925807,0,0,0,0,0,0,0,0.448984801036166
Ccnb2,0,0,0,0,0,0.675124061570147,0,0,0
