,Trophoblast-Stem-Cell_4,Trophoblast-Stem-Cell_2,unassigned,Trophoblast-Stem-Cell_1,Trophoblast-Stem-Cell_3,Trophoblast-Stem-Cell_5
1110008F13Rik,0.485644573104369,0.479956071266727,0,0,0,0
1810022K09Rik,0.73601231030528,0.635806829067623,0,0,0.474425079935088,0
2010107E04Rik,1.05806538223966,1.25161461794969,1.13494378345384,1.21036877031815,0.963275594965211,1.37379046520457
2410015M20Rik,0,0,0,0,0,0
2700060E02Rik,0.456252447146858,0.420770157352767,0,0,0,0
Acta2,0,0,0,0.652322844453762,2.00721289329655,0
Actb,1.36973867174651,1.05680291602553,1.5151544868936,1.50261554192641,1.883471662197,1.22277920628509
Actg1,1.33468066074289,0.833832606830422,1.14266715802033,1.12512433460706,1.24112392560485,1.07192137739718
Akr1a1,0.799670767518328,0.570004016698859,0,0,0.803258941930064,0
Aldoa,0.828903376481027,0.961261444076533,1.23139692381966,1.29167819072812,1.00511012235671,1.39761952750672
Anapc11,0.773069377211246,0.639967194594336,0,0,0.411130991396248,0
Anp32b,0.401859141974501,0.392790774459615,0,0,0,0
Anxa1,0.623931414906659,0,0,0,1.33261254361249,0
Anxa2,0.883953184692568,0,0,0,1.87478603440112,0
Anxa3,0.272612988119066,0,0,0,0.645704781491332,0
Anxa5,0.639585873426723,0,0,0,0.862663315591675,0
Ap2s1,0.423617587189655,0,0,0,0,0
Apoc1,0,0.541162961097338,0,0,0,0
Aprt,1.53338182620989,0.985055310835883,1.06250008532872,1.13234895466763,0.815584615468722,1.07192137739718
Arf1,0.620120082458732,0.451742639954989,0,0,0.517029041510642,0
Arhgdia,0.769130944027436,0.507067259422068,0,0.631335551097683,0.592772130655705,0
Arl6ip1,0,0.27455236759578,0,0,0,0
Arpc1b,0.830235419641631,0.4103988078294,0,0,0.79970666269156,0
Arpc2,0.822013688926371,0,0,0,0.682111853635646,0
Arpp19,0.717368877141247,0.514551805499869,0,0,0.485963639994732,0
Atf4,0,0,0,0,0,0
Atox1,0.779902190050077,0.914218857353058,1.02499197036836,0.920683121403632,0.660913809122791,0
Atp5a1,0.619125493009529,0.722953951112031,1.0642002858856,1.01400218121717,0.703373364127869,1.07192137739718
Atp5b,1.29977549070854,1.33859932356749,1.32323298043066,1.3020166132832,1.23561463687015,1.39761952750672
Atp5c1,0.799670767518328,0.970189292567228,0.202790432201961,0.65797201693672,0.700664128891116,0
Atp5d,1.03803807481659,0.841174467424757,0.887112124785915,1.00485027394611,0.830589828019658,1.2037110864002
Atp5e,0.470976343509437,0,0,0,0,0
Atp5f1,0.920685908033146,0.945291612539523,0.978169109759921,0.957088850599973,0.774719332928489,0
Atp5g3,1.07341345606799,0.91879662912208,0,0,0.898641327119828,0
Atp5h,0.984703421254094,0.882097458423949,0,0.654978828954921,0.647231280333037,1.07192137739718
Atp5j,1.06760645851018,1.04198747604471,0.780249342585718,0.765012999567235,0.992699060375221,1.1114269780797
Atp5j2,1.01064398665414,0.927669783534953,0.968851280581851,1.03927844472753,0.841697903241745,0
Atp5k,0.920685908033146,0.792311470794111,0.724843056028507,0.7954856856042,0.701024513842699,0
