,unassigned,Uterus_19,Uterus_8,Uterus_5,Uterus_3,Uterus_7,Uterus_6,Uterus_11,Uterus_13,Uterus_9,Uterus_18,Uterus_12,Uterus_1,Uterus_16,Uterus_10,Uterus_17,Uterus_4,Uterus_14,Uterus_2,Uterus_15
1810058I24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2410006H16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2m,0,0,0,0,0.361441718453555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abca1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ackr3,0,0,0,0,0.804853196319169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acta2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16549877881112,0,0,0,0,0,2.98247894368837
Actg1,0,0.439761142792078,1.99928879911881,1.50816787066287,1.70471076396642,0,0,1.11048214697748,1.15618312410605,1.71445545205828,1.14455905482982,1.67517041896143,1.54375404263298,1.09092206464733,1.72116564583711,0,0,0,0,0
Actn1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04958598746329,0,0,0,0,0,0
Adamts1,0,0,0,1.61678674323287,0.643341105555547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adgre1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adh1,0,0.644417314783321,0.500196639190583,2.76935510192168,0.828512805961992,0,0,1.481467015737,0,0,0,0,0,0,0,0,0,0,1.49637569189949,0
Adm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aebp1,0,0.245545336703552,0,1.23848300002575,1.49869142789337,0,0,0.981747340563344,1.45260528017258,0,1.97880621526977,0,1.44487111042726,0,0,0,1.46412255026147,0,2.65193566894279,0
Aif1,0,0,0,0,0,0,0.711265566476099,0,0,0,0,0.93608241166429,0,0,0,0,0,0,0,0
Aldh1a2,0,0,0,0,1.65079367446335,0,0,0,0,0,0,0,1.62819833223934,0,0,0,0,0,0,0
Alox5ap,0,0,0,0,0,0,0,0,0,0,0,0.91572693928647,0,0,1.07973624666341,0,0,0,0,0
Angptl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxa1,0,0,1.58724169810591,0.843612060466516,0.888242407385509,0,0,0,0,0,0,0,0.822840292636009,0,0,0,0,0,0,0
Anxa2,0,0.721302652877402,1.94174118841309,1.7202718422975,1.56890662629706,0,0,1.44314889587216,0,1.41846750010404,0.788685957511816,0.899706202576631,1.49769801514917,0,0,0,0,0,0,0
Anxa5,0,0.488524844824869,0.571086717572973,1.04042409387934,1.21560855795804,0,0.454105511912321,0.973282456744754,0,0,0,0,1.24778964146921,0,0,0,0,0,0,0
Apod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apoe,1.01387300956157,0.576224105809253,0.418732584129747,0.858535859907661,0.66374057016733,1.60014421215396,5.22848438719004,0,1.48404795704487,0,2.07614747305181,2.8206935978627,0,0,0,1.55899993194812,1.68774113440622,0,2.31837512396126,0
Aprt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqp1,0,0,0,0,0,1.47301961000291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arpc1b,0,0.579520949084362,1.14307099581382,0.836396903189296,0.623110853585649,0,1.06287518050695,0.904592779541542,0,1.14422793866435,0,1.50799497584989,0,0,1.31993453573782,0,0,0,0,0
Arpc3,0,0,0.698141118672065,0,0,0,0,0,0,0.76313568890023,0,1.05529129346955,0,0,1.03798208014986,0,0,0,0,0
Atf3,0,0,0,0.584855653463729,0.593335973155324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atox1,0,0.52985103546563,0.661689679253644,0,0,0,0,0,0,0,0,1.08677251156324,0,0,1.03798208014986,0,0,0.572754906450137,0,0
Atp1b3,0,0,0.377822680198533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp5j,0,0,1.22434623946413,0.614302056287115,0.53690438321663,0.420392363306187,0,0,0,0,0,0,0,0.33174930883714,0,1.06929466580381,0,1.80059245271916,0,0
AW112010,0,0.579321434785626,0,0,0,0,0,0,0,2.21388969383155,0,0,0,0,0,0,0,0,0,0
Basp1,0,0,0,0,0,0,0,0,1.2724516899557,0,0,0,0,0,0,0,0,0,0,0
Bcl2a1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bdh2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bgn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
