,A549,GM12878_B1,H1437,HCT116,IMR90,H1_B1,K562,GM12878_B2,H1_B2
ABLIM1,6.60512403811854,0,5.66988753236857,9.06434898298497,0,7.03511983952268,0,3.6452480059138,7.47690772893054
ABRACL,2.90607620315764,5.19625651835109,5.89763724177186,6.7807558949177,0,8.74496891158046,1.75609896223327,8.91599718410768,9.0941589634595
ABT1,0,0,3.04877072725513,8.20839538498086,0,6.96313251058064,8.34279338867009,6.87992089534954,7.46400183309299
AC011933.1,5.72733417001681,4.86782281081757,0,8.23040921121676,0,8.375989231452,7.34953270175922,8.62512205100046,8.34973885391089
AC087645.1,0,0,5.75024992063242,8.6008386375613,0,4.55510831488818,7.36748254372275,7.44222119947803,7.61909569156514
ACAA2,5.70980602822828,3.28955969740075,2.34365266547977,2.90725828688217,0,8.61210510819233,3.1817818455357,8.84459307117964,9.26023931052452
ACAT2,0,0,3.61213182428472,7.66247550118904,0,10.617440647236,9.03761107829866,9.11250840908656,10.506973870826
ACOT7,0,0,2.46919732514715,8.87233955144347,0,7.03297112413496,6.72318352541415,7.13503752021385,7.25806014140125
ACTL6A,1.46783382696182,0,3.95028633918473,8.3922367315251,0,8.51082037739381,8.08844029120928,8.69245580936722,8.84190996172957
ACVR2A,1.56081569441169,0,4.15150814935078,5.93984252985557,0,7.74343374397459,0,3.0692631277207,8.7782601349455
ADH5,7.7178909690638,0,4.71346562609021,9.49325531092334,4.10496996391304,10.0303564600245,8.7701792119739,8.92453080167341,10.2360379749305
AGO1,0,0,3.2304922979404,5.24520742002709,0,9.11943116880735,8.00058892594191,8.33956073641804,9.39377606787831
AHCY,8.54076419157013,0,7.29209917901982,9.92888206078451,0,9.44537812043226,9.00994154502892,9.31477629426597,9.96334226945961
AKAP12,10.5909222274054,0,6.11799559749523,12.6041770372988,0,9.66069374332593,0.473377024271703,0.650884812912835,9.06733317277522
AKAP2,0,5.87992820716044,3.04877072725513,7.14964000933483,8.2299317576017,6.92409852555231,0,9.22233066619435,6.69437507492964
AL139819.1,0,0,0,7.66825974946508,0,0,6.17829856500091,0,8.41395164894774
ALAS1,0,0,0,7.90263399692876,0,4.94749154142562,0.316914070581705,8.28742744576279,6.40187816736436
ALDH1A1,14.7608980075459,0,0,0,0,0,0,0,0
ALDH7A1,2.26575709764908,0,3.04877072725513,7.70093907957252,0,8.39161440156615,0,0,9.00227845351103
ALDH9A1,0,0,5.66988753236857,8.26725685183752,0,7.19518085771113,5.25250824191161,8.12157968410549,8.25183049259785
ALG8,7.54937255099478,0,5.11618651564483,7.7065660317152,0,8.02763671678995,7.99899838916093,5.57914583854037,8.48189088822411
ANLN,0,0,5.76599067000778,8.90310702797431,0,7.45590002901151,6.20491938050601,3.65308937218551,7.65902941985306
ANXA1,12.0675239598717,0,0,10.9705617578988,10.7926579533304,0,9.65545077765391,0,0
ANXA3,1.69423847184819,0,0,10.970002477189,0,2.32131943855014,0.608720717475955,1.90755757959702,6.87991697676118
AP1M2,0,0,0,7.85842827124897,0,5.69204188196124,0,0,7.89938644720842
API5,4.2050290121029,2.25658065469762,5.98834492225991,9.64804274361107,0,8.53309558263716,7.7589287475949,9.20989383484225,8.95728490265166
ARHGDIB,0,10.3828311297673,0,0,0,0,4.40628046365279,12.0008430736548,0
ARL4A,0,0,0,6.86463150143193,0,7.16731655615666,9.40948342632511,0,7.03158273032387
ARRDC3,4.29894298183109,0,0,7.28222960915529,0,8.20940280588179,9.65117234042157,2.5203365399961,7.27879953332939
ASF1A,0,0,3.87235983590721,7.69969885081134,0,7.77913580677605,6.94372034247023,7.02354791033377,7.54648103786922
ASNSD1,2.14025786894212,0,6.6589128600373,8.12416487659148,0,6.69239712625255,4.22890509094931,8.10191144251093,8.15870668303453
ASPM,0,0,7.59696000811427,8.15385310474678,0,8.88049663697172,7.47028956017765,7.1245965226957,8.61069092106217
ASUN,1.40150758066655,0,4.5776306816033,8.72744636307782,0,7.53834475790155,7.60624461623059,8.87857313365715,8.37870891873204
AURKB,0,0,4.90286265964881,8.24828769380284,0,7.8968993132801,5.83186056397636,6.53146067250539,7.99826723211957
AXL,10.9599405936317,1.92679111224785,0,10.5309720436894,8.36467729176053,9.59950587054009,1.68017626692322,0.757575584801137,9.92493642196129
AZIN1,3.37920396563327,3.61979026969398,6.17438496022116,10.2359083506315,3.84388352448599,9.21969989767827,7.57783643398642,9.94184614466675,10.3075428615134
B3GNT7,0,0,0,0,0,8.7532499770413,0,0,9.05844091301137
BAG4,9.41294526900821,1.13788624207523,6.83240513306116,8.095272360256,2.72000811729474,10.9826870486503,8.80676499165119,9.32739019795538,10.4700815673327
