,Oligos,Neurons,Excluded,Vascular,Blood,Astrocytes,Immune,Ependymal
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,0,0,0.339882304205322
ENSMUSG00000000753,0,0,0,0,0,0,0,0
ENSMUSG00000000805,0,0,0,0,0,0,0,0
ENSMUSG00000000982,0,0,0,0,0,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,1.1687313854862
ENSMUSG00000001946,0,0,0,0,0,0,0,0
ENSMUSG00000002111,0,0,0,0,0,0,0,0
ENSMUSG00000002233,0,0,0,0,0,0,0,0
ENSMUSG00000002504,0,0,0,0,0,0,0,0
ENSMUSG00000002985,0,0,0.708081426330879,0,0,4.3328246346822,2.85303966549435,2.31256523405717
ENSMUSG00000003038,0,0,0,0,0,0,0,0
ENSMUSG00000003420,0,0,0,0,0,0,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,1.8730686105665,0,0
ENSMUSG00000004730,0,0,0,0,0,0,0,0
ENSMUSG00000004837,0,0,0,0,0,0,0,0
ENSMUSG00000004892,0,0,0,0,0,1.37644869831504,0,0
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,0,0.575293576657469,0,0,3.41464115426016,0,0
ENSMUSG00000005125,0,0,0,0,0,0,0,0
ENSMUSG00000005142,0,0,0,0,0,0,0,0
ENSMUSG00000005360,0,0,0,0,0,1.64057722174999,0,0
ENSMUSG00000005583,0,0,0,0,0,0,0,0
ENSMUSG00000006205,0,0,0,0,0,1.11564284123364,0,0
ENSMUSG00000006360,0,0,0,0,0,0,0,0
ENSMUSG00000006519,0,0,0,0,0,0,1.21554268176676,0
ENSMUSG00000006651,1.79356662007322,0,1.32104064706339,0,0,0,0,0
ENSMUSG00000006782,3.11142213487291,0,2.24122311271207,0,0,0,0,0
ENSMUSG00000007041,0,0,0,0,0,0,0,0
ENSMUSG00000007097,0,0,0.643327888378243,0,0,3.10042812550607,0,0
ENSMUSG00000007613,0,0,0,0,0,0,0,0
ENSMUSG00000007872,0,0,0,1.34478953864452,0,0,0,0
ENSMUSG00000007891,0,0,0,0,0,0,3.04211350883506,0
ENSMUSG00000007892,0,1.30674645477567,1.07174790338548,0.833116405377131,0,0,1.34312028234738,1.48810088503509
ENSMUSG00000008035,0,0,0,0,0,0,0,0
ENSMUSG00000008668,0,0.94672828905765,0.90177213322883,0.933361610953245,0,0,1.33075715154103,0.817775672739264
ENSMUSG00000009013,1.0258627319217,1.19602482459963,1.03493397741281,1.62320698828492,0,0,0,1.55796896729353
ENSMUSG00000009281,0,0,0,0,0,0,0,1.93410340502226
ENSMUSG00000009394,0,0,0,0,0,0,0,0
ENSMUSG00000011752,0,0,0,0,0,0,0,0
ENSMUSG00000011884,1.20454360755863,0,0.298787906160907,0,0,0,0,0
ENSMUSG00000014313,0,1.40024312778151,1.19165552060813,0,0,0,0,1.31226583392683
ENSMUSG00000015090,0,0,0,0,0,0,0,0
ENSMUSG00000015149,1.00758827048967,0,0.301907308177946,0,0,0,0,0
ENSMUSG00000015341,1.03346293948099,0,0.355452260674808,0,0,0,0,0
ENSMUSG00000015396,0,0,0,0,0,0,0,0
ENSMUSG00000015575,0,0,0,0,0,0,0,0
ENSMUSG00000015806,1.52343461703938,0,0.595679140625022,0,0,0,0,0
ENSMUSG00000015852,0,0,0,0,0,0,1.29086385919151,0
ENSMUSG00000015947,0,0,0,0,0,0,0,0
ENSMUSG00000016256,0,0,0,0,0,0,1.78149856248308,0
ENSMUSG00000016494,0,0,0,0,0,0,0,0
ENSMUSG00000017344,0,0,0,0,0,0,0,0
ENSMUSG00000017390,0,0,0,0,0,3.14309856124505,0,0
ENSMUSG00000017493,0,0,0,0,0,0,0,0
ENSMUSG00000017754,0,0,0,0,0,0,0,0.770591019967616
ENSMUSG00000017760,0,0,0,0,0,0,0,0
ENSMUSG00000017778,1.08934492804704,1.89432536484719,1.32102074549072,0.556895797151416,0,1.44534096976588,0,1.41999750996324
ENSMUSG00000018008,0,0,0,0,0,0,0,0
