,Blood,Immune,Neurons,Vascular,Excluded,Oligos,Astrocytes,Ependymal
ENSMUSG00000000088,0,0,0,0.289438865851449,0,0,0,0.353071257517814
ENSMUSG00000000202,0,0,0,0,0,0,0.60182425411171,0
ENSMUSG00000000563,0,0,0,0,0.287896798217959,0,0,0
ENSMUSG00000000805,0,0,0,0.885328738749332,0,0,0,0
ENSMUSG00000001089,0,0,0,0,0,0,0,0
ENSMUSG00000001270,0,0,0,0,0,0.273090067608628,1.39333429752338,1.34373367471195
ENSMUSG00000001366,0,0,0,0,0,0,0,0
ENSMUSG00000001518,0,0,0,0,0,0,0,0
ENSMUSG00000001525,0,0,0,0,0,0,0,0
ENSMUSG00000002107,0,0,0,0,0,0,0,0
ENSMUSG00000002274,0,0,0,0,0.589942890698573,0,1.00540971814496,0
ENSMUSG00000002957,0,0,0,0,0,0,0,0
ENSMUSG00000002985,0,2.49076610192287,0,0,0.287896798217959,0,3.42626447190021,3.0372412783169
ENSMUSG00000003161,0,0,0,0.349467224475346,0.13304998664851,0,0,0
ENSMUSG00000003279,0,0,0,0,0,0,0,0
ENSMUSG00000003410,0,0,0,0,0,0.777748790500808,0,0
ENSMUSG00000003429,0,1.84318150511361,0.66984471311217,1.37741641989572,1.00538414096839,0.790533256254937,0,0
ENSMUSG00000003452,0,0,0,0,0,0,0,0
ENSMUSG00000003469,0,0,0,0,0,0,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000004110,0,0,0,0,0,0,0,0
ENSMUSG00000004151,0,0,0,0,0,0,0,0
ENSMUSG00000004207,0,0.945415480978419,0,0,0.245339052184011,0,1.09331859297477,1.10131837692438
ENSMUSG00000004267,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,0,0.749855971189459,0.776607532190897
ENSMUSG00000004630,0,0,0,0,0,0,0,0
ENSMUSG00000004633,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,0,0,0,0,0,1.24938892247876,0
ENSMUSG00000005338,0,0,0,0,0,0,0,0
ENSMUSG00000005360,0,0,0,0,0,0,2.72443053078001,0
ENSMUSG00000005506,0,0,0,0,0,0,0,0
ENSMUSG00000005699,0,0,0,0,0,0,0,0
ENSMUSG00000005716,0,0,0,0,0,0,0,0.570777666131645
ENSMUSG00000006024,0,0,0,0,0,0,0,0
ENSMUSG00000006333,0,2.26427758073164,0,1.5562655209204,1.55810965911871,1.21517978144995,0,1.22822849753736
ENSMUSG00000006412,0,0,0,0,0,0,0,0.601372739355025
ENSMUSG00000006575,0,0,0,0,0,0,0,0
ENSMUSG00000006651,0,0,0,0,0,1.66430481158064,0,0
ENSMUSG00000006740,0,0,0,0,0,0,0,0
ENSMUSG00000006782,0,0,0,0,0.371599703999221,2.42975514459365,0,0.353071257517814
ENSMUSG00000007036,0,0,0,0,0,0,0,0
ENSMUSG00000007039,0,0,0,0,0,0,0,0
ENSMUSG00000007041,0,0,0,0,0,0,0,0.41104801475721
ENSMUSG00000007097,0,0,0,0,0,0,3.06651021932976,0
ENSMUSG00000007872,0,0,0,1.24614288279403,0.397777796028336,0,0,0
ENSMUSG00000007892,0,1.64107282537695,0,1.28545627165562,0.53323585040197,0.960568312585162,0,0.978670102531092
ENSMUSG00000007944,0,0,0,0,0,0,0,0
ENSMUSG00000007950,0,0,0,0,0,0,0,0
ENSMUSG00000008575,0,0,0,0,0,0,0,0.343189798834218
ENSMUSG00000008658,0,0,0,0,0,0,0,0
