,Excluded,Vascular,Oligos,Neurons,Immune,Astrocytes,Blood
ENSMUSG00000000202,0,0,0,0,0,2.45920346828292,0
ENSMUSG00000000567,0,0,0,0,0,1.34831409839262,0
ENSMUSG00000000805,0,2.50097180942269,0,0,0,0,0
ENSMUSG00000001240,0,1.82621495461605,0,0,0,0,0
ENSMUSG00000001270,1.83081956449739,0,1.681374403098,1.59207868715449,1.85735933675303,3.34232887595901,0
ENSMUSG00000001313,0,0,0,0,0,0,0
ENSMUSG00000001946,0,1.70841454228712,0,0,0,0,0
ENSMUSG00000002107,1.16061640665764,0,0,1.41298402696332,0,0,0
ENSMUSG00000002233,0,1.14016832694849,0,0,0,0,0
ENSMUSG00000002274,0,0,0,0,0,0,0
ENSMUSG00000002475,0,0,0,0,0,0,0
ENSMUSG00000002504,0,1.8054670047092,0,0,0,0,0
ENSMUSG00000002985,1.97041377460226,1.40020880163421,0,0,2.94302808101192,6.33295600416777,0
ENSMUSG00000003279,1.43170785213183,0,0,1.76560882811019,0,0,0
ENSMUSG00000003420,0,1.39498072442007,0,0,0,0,0
ENSMUSG00000004032,0.794348627567224,0,1.17532508825018,0,0,2.32693582889184,0
ENSMUSG00000004151,0,0,0.809664598625709,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,2.50207462167652,0
ENSMUSG00000004892,0,0,0,0,0,2.71942687039272,0
ENSMUSG00000004894,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0
ENSMUSG00000004951,0,1.42197428568052,0,0,0,0,0
ENSMUSG00000005089,2.43635074584112,0,0,1.64198919571207,0,4.37492409660155,0
ENSMUSG00000005125,0,0,0,0,0,0,0
ENSMUSG00000005360,0,0,0,0,0,3.14169952429729,0
ENSMUSG00000005583,1.9934028027907,0,0,2.70902601294929,1.68712116203014,0,0
ENSMUSG00000005716,0,0,0,0,0,0,0
ENSMUSG00000006057,1.85589224322425,1.24701326172686,1.52085672808197,2.36367417333723,1.45161445565962,1.84208812881269,0
ENSMUSG00000006205,0,0,0,0,0,2.82577950469289,0
ENSMUSG00000006301,0,0,0.755975780723225,0,0,0,0
ENSMUSG00000006356,1.02984843657475,2.71540087680797,0,0.927475777664832,0,0,0
ENSMUSG00000006390,0,0,0.896976814303367,0,0,0,0
ENSMUSG00000006519,0,0.904453128951886,0,0,2.41912525071112,0,0
ENSMUSG00000006651,2.19619124487983,0,3.90836640278489,2.16811878090032,0,1.83420147071439,0
ENSMUSG00000006782,0,0,4.69512553105847,0,0,0,0
ENSMUSG00000007041,0,1.2754973320087,0,0,1.75221484973936,0,0
ENSMUSG00000007097,1.73100598697771,1.52570525787909,0,0,0,4.47926961597243,0
ENSMUSG00000007656,1.49360216565621,1.48821545084306,1.09930261215807,1.86575158152789,0,0,0
ENSMUSG00000007872,0,3.07454720013407,0,0,0,0,0
ENSMUSG00000007891,1.26779913791263,0,0,0,4.32485530873985,0,0
ENSMUSG00000007944,1.06590532250423,0,0,1.8235695750132,0,0,0
ENSMUSG00000008035,0.43003890931942,0,1.39040648631243,0,0,1.87779751803709,0
ENSMUSG00000008393,0,0,1.07717522605796,0,0,0,0
ENSMUSG00000008658,0.497858466589373,0,0,1.13245789826415,0,0,0
ENSMUSG00000008683,1.54772683179201,2.62590685984792,1.50706828599973,1.24506913726129,2.79636450614198,0,0
ENSMUSG00000008734,0,0,0,0,0,0,0
ENSMUSG00000009013,2.38108020365036,3.03617750612759,2.51589828798357,2.75081393478856,1.47212996378324,2.07096863817247,1.52593551395814
ENSMUSG00000009394,0.768899719438289,0,0,1.19280226265788,0,0,0
ENSMUSG00000010064,0,0,0,0,0,0,0
ENSMUSG00000011884,0,0,2.17231064411162,0,0,0,0
ENSMUSG00000013033,1.51383113826841,0,0,1.79249158869085,0,0,0
ENSMUSG00000015090,0,0,1.10713042792073,0,0,0,0
