,Excluded,Vascular,Immune,Oligos,Blood,Neurons,Astrocytes,Ependymal
ENSMUSG00000000202,0,0,0,0,0,0,2.26596976719747,0
ENSMUSG00000000567,0,0,0,0,0,0,0,1.13942455899201
ENSMUSG00000000805,0,2.01604335281167,0,0,0,0,0,0
ENSMUSG00000001240,0,1.39787561787688,0,0,0,0,0,0
ENSMUSG00000001270,2.27881812307098,0,1.55580312128991,1.76624866880873,0,1.54138997530273,2.99605603398499,2.48361513450658
ENSMUSG00000001946,0,1.39374431539647,0,0,0,0,0,0
ENSMUSG00000002107,0.455611174133124,0,0,0,0,1.15281668297007,0,0
ENSMUSG00000002233,0,0.656367249835903,0,0,0,0,0,0
ENSMUSG00000002274,0,0,0,0,0,0,0,0
ENSMUSG00000002475,0,0,0,0,0,0,0,0
ENSMUSG00000002504,0,1.45808850309578,0,0,0,0,0,0
ENSMUSG00000002985,2.44793979940397,1.63231823571423,3.15919864397317,0,0,0,5.61920107051756,4.88569217297749
ENSMUSG00000003279,1.03747430715711,0,0,0,0,1.45915755915423,0,0
ENSMUSG00000003420,0,1.26830079847433,0,0,0,0,0,0
ENSMUSG00000003526,0,0,0,0,0,0,0,0
ENSMUSG00000004032,0.705134632855034,0,0,0.94411517981103,0,0,2.11841605739411,0.949515326157401
ENSMUSG00000004151,0,0,0,0.26805473682562,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,0,2.18541904873411,0.951947797902749
ENSMUSG00000004892,0,0,0,0,0,0,2.58915088960826,0
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0.831935545740643,0
ENSMUSG00000004951,0,0.923888238239559,0,0,0,0,0,0
ENSMUSG00000005089,1.62788761134942,0,0,0,0,1.21311366463571,3.8411665384709,0.323742291808448
ENSMUSG00000005360,0,0,0,0,0,0,3.07438472226616,0
ENSMUSG00000005583,1.69690590776733,0,1.46237516203079,0,0,2.46891443108299,0,0
ENSMUSG00000006057,1.54957461783795,0.588525080728946,0,1.1107381244591,0,1.84206754453045,1.06617435838924,1.15022007665856
ENSMUSG00000006205,0,0,0,0,0,0,2.57649559724923,0
ENSMUSG00000006356,0.776314714526892,2.44212658134059,0,0,0,0.50846310336183,0,1.10447346821883
