,Excluded,Oligos,Immune,Neurons,Vascular,Blood,Astrocytes,Ependymal
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,0,1.50275461871354,1.47364737238105
ENSMUSG00000000594,0,0,0,0,0,0,0,0
ENSMUSG00000000805,0,0,0,0,1.83337662497067,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,0.71660665334207
ENSMUSG00000001175,2.68516889334901,2.21567355194986,1.7137298152538,3.23560612113177,2.7325821301433,0.55230712106841,1.92795786648583,3.28640136440725
ENSMUSG00000001240,0,0,0,0,1.5578529665146,0,0,0
ENSMUSG00000001946,0,0,0,0,1.4757228700545,0,0,0
ENSMUSG00000002107,1.52741670261736,0,0,1.75856430092275,0,0,0,0
ENSMUSG00000002233,0,0,0,0,0,0,0,0
ENSMUSG00000002274,0,0,0,0,0,0,0,0
ENSMUSG00000002475,0,0,0,0,0,0,0,0
ENSMUSG00000002504,0,0,0,0,1.44772889784197,0,0,0
ENSMUSG00000002985,2.25690957869825,0,2.90864102428249,0,0,0,5.28222746053378,3.57654667886987
ENSMUSG00000003279,1.48356610697712,0,0,1.80541353582724,0,0,0,0
ENSMUSG00000003420,0,0,0,0,0.739347011228076,0,0,0
ENSMUSG00000003526,0,0,0,0,0,0,0,0
ENSMUSG00000004032,0.40840001481008,0,0,0,0,0,1.9185893843834,0
ENSMUSG00000004151,0,0,0,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,0,2.5305735006554,1.9204546396834
ENSMUSG00000004892,0.620081599878226,0,0,0,0,0,2.65698244141854,0
ENSMUSG00000004902,0,0,0,0,0,0,0,1.07094471741682
ENSMUSG00000005089,2.74866288149498,0,0,1.59475464529667,0,0,4.44632561724016,0
ENSMUSG00000005360,1.54309468434946,0,0,0,0,0,3.48592542190613,0
ENSMUSG00000005583,1.79501988218565,0,1.70905083494246,2.71877206822572,0,0,0,0
ENSMUSG00000006057,1.58360517363669,1.20555790515319,0,2.05682796511046,0.900695549213544,0,1.26720558050844,1.24261797209099
ENSMUSG00000006205,0,0,0,0,0,0,2.08234850349353,0
ENSMUSG00000006301,0,0.946750403247149,0,0,0,0,0,0
ENSMUSG00000006360,0,0,0,0,0,0,0,1.19321949594587
