,Neurons,Excluded,Astrocytes,Vascular,Oligos,PeripheralGlia,Blood
ENSMUSG00000000120,0.877141352009606,0,0,0,0,0,0
ENSMUSG00000000581,2.2252469778346,1.74866361947658,0,0,1.67547443944081,0,0
ENSMUSG00000001025,3.33721944100924,2.63168985261656,1.90096643509344,0,0,1.79251880884714,0
ENSMUSG00000001240,0,0,0,2.44949182530215,0,0,0
ENSMUSG00000001366,2.13816607282286,1.70219075483388,0,0,0,0,1.83607764600628
ENSMUSG00000001525,5.16654937430468,4.61525685868665,2.24964651297157,2.9305724066048,1.40279111703051,2.65462934743565,1.83607764600628
ENSMUSG00000001946,0,0,0,3.76928862701889,0,0,0
ENSMUSG00000002058,0.989413271301077,0,0,0,0,0,0
ENSMUSG00000002274,0,0,2.07856044517723,0,0,1.97672377380396,0
ENSMUSG00000002289,0,0,0,0,0,0,0
ENSMUSG00000002900,0,0,1.7754019410972,0,0,1.6925538837851,0
ENSMUSG00000002985,1.84445778061976,8.44960824691854,10.332713481161,3.06535656950004,0,10.4294628787448,1.71763705226826
ENSMUSG00000003032,0,0.605191121778062,0,2.3021390819254,0,1.78106743720108,0
ENSMUSG00000003352,1.82745750407857,1.3156582397911,0,0,0,0,0
ENSMUSG00000003420,0,0,0.837469248784489,1.77975662212297,0,1.39412211309146,0
ENSMUSG00000003545,0,0,0,1.384258510392,0,0,0
ENSMUSG00000004558,0.946193056915265,2.26582616554306,3.89686026815135,0,0,3.25181171956477,0
ENSMUSG00000004655,1.30132181455833,1.17807895449431,0,0,0,0,1.84934917255795
ENSMUSG00000004892,0,1.13392018305504,2.87786150714746,0,0,3.04656381377748,0
ENSMUSG00000005087,1.42048272551226,1.29719761384958,0,0,0,0,0
ENSMUSG00000005125,0,2.33954923378626,3.15416714509019,1.70584757422254,1.8765566638925,3.21201301150886,0
ENSMUSG00000005397,0,0,0,0,0,0,0
ENSMUSG00000005873,3.25770714638084,3.01619944705335,0,1.40504038133438,3.0240837607585,0,0
ENSMUSG00000005973,0,0.684989227738256,0.837469248784489,0,0,1.75775484284337,0
ENSMUSG00000005994,0,0,0,0,0,0,0
ENSMUSG00000006205,0,0,0,1.87229996909371,0,1.35110500604023,0
ENSMUSG00000006360,0,1.06238296920996,2.07324539316774,1.88029148058973,0,2.65462934743565,0
ENSMUSG00000006412,2.4754664329704,2.19391035829893,0,0,0,0,0
ENSMUSG00000006575,2.3793910315724,1.70889464025872,0,0,0,0,0
ENSMUSG00000006651,1.39358412874316,1.64826346046404,0,0,5.70767436525333,0,0
ENSMUSG00000006740,3.51174851903088,2.56280593938439,1.67776172090742,1.93696430966451,1.4769868521598,1.7336677102295,0
ENSMUSG00000006782,0,1.5043486404321,2.25979289658104,0,6.70878121142807,2.74474669855102,0
ENSMUSG00000007097,0,1.88513036229318,3.62612587708634,0,0,3.22122986164818,0
ENSMUSG00000007655,0,0,0,2.93515232144179,0,0,0
ENSMUSG00000007872,0,2.44957119003558,3.59283869834756,4.34471513751768,0,3.60874166337735,0
ENSMUSG00000008393,0.811328322146255,0,0,0,2.15491861846887,0,1.96358249138551
ENSMUSG00000008540,0,0,0,0,0,1.4790224882893,0
ENSMUSG00000008668,1.97841321623905,2.17311740166659,2.05705534015919,3.50191533229091,1.40279111703051,2.24122882996318,0
ENSMUSG00000008682,3.75998120455978,3.34918272647089,1.87192477589494,3.87024778664131,1.67547443944081,2.73401476588916,0
ENSMUSG00000009281,0,1.03574697034619,2.24936995459905,0,0,2.3848408007315,0
ENSMUSG00000010054,1.89993606310249,1.18394325137998,0,0,0,0,0
ENSMUSG00000010095,0,1.35931807578082,1.77822516443564,3.8373504780108,1.67547443944081,2.26077307030605,0
ENSMUSG00000014592,2.02053115751771,1.71595817144852,0,0,0,0,0
ENSMUSG00000014602,2.32530237216869,1.95589705076608,0,0,0,0,0
ENSMUSG00000014846,4.44936846004471,2.98559119650711,0,0,0,0,0
ENSMUSG00000015094,2.58224202370913,1.9691944799619,0.840292472122935,0,0,1.45538308495637,0
ENSMUSG00000015312,0,0,0,2.05938559797562,0,0,0
ENSMUSG00000015467,0,1.07473298769976,0,0,0,2.27529485028656,0
ENSMUSG00000015656,3.23513775133863,2.70967498973715,0,3.09631929468918,2.15682566279726,2.39123744211572,0
ENSMUSG00000016349,0.963151009441737,0,0,0,0,0,0
ENSMUSG00000016386,1.49615666060866,1.03730954375552,0,0,0,0,0
ENSMUSG00000016494,0,0,0,2.95769181257374,0,0,0
ENSMUSG00000016995,0,0,2.1292206155435,0,0,2.21850463946077,0
ENSMUSG00000017390,0,1.51384393119071,3.4395326429419,0,0,2.86754648897608,0
ENSMUSG00000017493,0,1.53620817007989,3.06731946322065,1.95347859178498,0,2.62225116444897,0
ENSMUSG00000017781,2.04581760823393,1.29617672090728,0,0,0,0,0
ENSMUSG00000018217,2.47862078381231,2.31141120674405,2.51544773504177,1.25015800033068,1.67547443944081,2.68844962679061,0
ENSMUSG00000018326,2.49930078136385,2.38757828936342,0,1.72661400267741,0,0,0
ENSMUSG00000018339,0,0,0,0,0,0,0
ENSMUSG00000018411,1.89721367763987,1.85337165033153,0,0,1.93603386015411,0,0
ENSMUSG00000018451,0.716692876901232,2.60729197633704,0,0,0,0,0
ENSMUSG00000018593,0,2.54880054337071,4.02732233819097,6.42503455268138,0,4.37417124452642,0
ENSMUSG00000018822,0,2.0097294301059,3.74377103012246,0,0,3.54926412515323,0
ENSMUSG00000018865,3.05282503548836,2.28876978436466,0,0,0,0,0
ENSMUSG00000018965,5.19854908617695,4.23791590362227,0,1.71922571471603,1.83312119189251,0,0
ENSMUSG00000019505,1.49136553214279,1.65727129414976,2.25979289658104,3.25791192809015,1.83312119189251,3.50761126026297,1.96358249138551
ENSMUSG00000019539,0,0,0,1.34626004648193,0,1.36518127518911,0
ENSMUSG00000019874,0,4.75147983434964,6.68945518748933,0,0,5.722846766655,0
ENSMUSG00000019923,2.80292340032748,2.58028651149244,0,0,0,0,0
ENSMUSG00000019943,2.38940556592372,1.65134269352932,0,0,0,0,0
ENSMUSG00000020044,0,1.33758907199212,2.07248222877562,2.5687754239803,0,2.34265404051961,0
ENSMUSG00000020108,0,0,0.71127035167527,1.77975662212297,0,1.29149578457432,0
ENSMUSG00000020205,0,1.48596252441554,1.54873960045976,2.23252802799614,0,2.21697520302644,0
ENSMUSG00000020267,3.59444144870364,3.04075859273882,2.09273195342239,2.14721416378215,2.10038992297538,1.919124168028,1.84934917255795
ENSMUSG00000020297,1.72275357304746,0,0,0,0,0,0
ENSMUSG00000020340,1.97620461370754,2.22785199732196,0,0,0,0,0
ENSMUSG00000020388,0,0,1.88689419592199,0,0,1.89650495227614,0
ENSMUSG00000020390,2.73266306223986,2.0289313486855,0,0,1.4769868521598,0,0
ENSMUSG00000020396,0.638944361016849,0,0,0,0,0,0
ENSMUSG00000020432,0,0,0,1.34015696754757,0,0,0
ENSMUSG00000020444,3.09290836420917,2.54769330955464,0,1.2481065501795,1.40279111703051,1.24590976612701,0
ENSMUSG00000020483,3.2026828452205,2.92626895644867,0,0,0,0,0
ENSMUSG00000020635,3.52814474715012,3.24611991949677,0,0,0,0,0
ENSMUSG00000020708,2.57480441554809,2.02587812961343,0,1.36757901749764,1.93603386015411,0,0
ENSMUSG00000020733,0,1.45314016777119,2.23922357098958,0,0,2.78235983691041,0
ENSMUSG00000020745,2.4100580549414,2.0509240256535,0,0,0,0,0
ENSMUSG00000020894,2.3990304912501,1.83287789676601,0,0,0,0,0
ENSMUSG00000020993,2.77050949213429,2.45389934715679,0,0,0,0,0
ENSMUSG00000021087,2.65423321566721,2.89984832728921,0.837469248784489,0,0,0,0
ENSMUSG00000021124,2.63228602577982,1.99856395470264,0,0,0,0,0
ENSMUSG00000021127,0,0,0,1.41647882044831,0,0,0
ENSMUSG00000021186,0,1.77440827460842,3.0659606573549,0,0,3.47687619171812,0
ENSMUSG00000021218,2.5712884802622,1.66251878250613,0.71127035167527,1.85792478812644,1.83312119189251,1.21033669643142,0
ENSMUSG00000021250,0.896768724132182,2.9892596241058,3.47754894757914,4.17244498755487,0,4.48680445872962,0
ENSMUSG00000021268,4.20519058340669,4.32457130154295,0,0,0,0,0
ENSMUSG00000021270,2.24188252495289,1.8769895561625,1.7754019410972,1.22699316779987,2.86016064712121,0,0
ENSMUSG00000021288,3.72472974173098,3.19302243605633,0,0,0,0,0
ENSMUSG00000021360,1.91180478693652,2.07606049687699,0,0,0,0,0
ENSMUSG00000021647,0,0,0,0,0,0,0
ENSMUSG00000021701,0,0,0,1.43617891550671,0,0,0
ENSMUSG00000021719,1.67641325436999,0,0,0,0,0,0
ENSMUSG00000021892,0,0,0,0,0,0,0
ENSMUSG00000021948,1.18968511420692,0,0,0,0,0,0
ENSMUSG00000022018,0,3.26635847366452,4.96673503123766,2.77957536875889,0,4.4836661757917,1.59236536783722
ENSMUSG00000022054,1.46870394150995,1.66776509783837,0,0,0,0,0
ENSMUSG00000022055,3.33376024760493,2.39068480072035,1.88689419592199,0,0,0,0
ENSMUSG00000022090,0,0,0,0,3.28938820517855,0,0
ENSMUSG00000022103,0,0,0,0,0,0,0
ENSMUSG00000022122,0,1.33100119799012,2.93354019258663,0,0,2.53430579497686,0
ENSMUSG00000022139,2.32585550203931,1.89323657182882,0,0,0,0,0
ENSMUSG00000022199,0,1.13798758025148,0,0,1.8765566638925,1.98219399043379,0
ENSMUSG00000022324,0,0.340123882608776,1.9112862189188,0,0,2.0532287052611,0
ENSMUSG00000022377,1.80287302673695,0,0,0,0,0,0
ENSMUSG00000022490,1.55889740576869,0,0,0,0,0,0
ENSMUSG00000022505,0,0.986790474315041,1.91962450509135,0,0,1.85236529561284,0
ENSMUSG00000022528,0,0,0,2.10910181682522,0,1.54150601352792,0
ENSMUSG00000022587,0,0,0,3.24937220073632,0,0,0
ENSMUSG00000022594,0,0,0,0,0,0,0
ENSMUSG00000022658,2.01048296393905,1.59960840452243,0,0,0,0,0
ENSMUSG00000022708,1.59254506553458,2.98820951167228,2.11705495971221,1.69516303504223,0,1.69667767147956,0
ENSMUSG00000022816,4.16380092351109,3.99853998829372,0,0,0,0,0
ENSMUSG00000022884,3.83102563622504,3.39478874222465,0,1.61812643103044,1.8765566638925,0,0
ENSMUSG00000022893,0,0,0,1.55037818863324,0,0,0
ENSMUSG00000022894,0,0,2.05642878111004,0,0,1.57836740853759,0
ENSMUSG00000023000,0,0,0,0,0,1.89969898024633,0
ENSMUSG00000023004,3.86173189158206,3.49291817308078,2.12156917283105,2.7441727667206,0,2.44042411607101,0
ENSMUSG00000023034,0,0,0,0,0,1.78445468311664,0
ENSMUSG00000023048,3.02902303219258,1.92443737952685,0,0,0,0,0
ENSMUSG00000023064,5.32216696619023,4.78695028826424,4.43022147011535,0,0,4.13272835682369,0
ENSMUSG00000023236,1.79720862541272,1.26921308776759,0,0,1.67547443944081,0,0
ENSMUSG00000023367,0.671110759414648,1.90872764423122,2.00940222387579,1.66079358663774,0,1.89367607585523,0
ENSMUSG00000023484,5.65097324882615,4.87185596983465,0,0,0,0,0
ENSMUSG00000024096,2.05134061100682,1.65140848500859,0,0,0,0,0
ENSMUSG00000024109,1.64603551940615,1.4667563706939,0,0,0,0,0
ENSMUSG00000024140,0,1.10432851090529,2.21526427996277,2.37329312908946,0,1.92974501253604,0
ENSMUSG00000024190,0.341331186438905,1.4469052497722,2.27124051591596,3.16213923600978,0,2.60927316923176,0
ENSMUSG00000024197,0,0,0,0,0,1.41508782409774,0
ENSMUSG00000024232,0,1.11813586829905,0,1.62569462993156,0,2.13001996784154,0
ENSMUSG00000024256,0,1.52681194246177,0,0,0,0,0
ENSMUSG00000024261,2.21901500969092,2.52842539166764,0,0,0,0,0
ENSMUSG00000024268,0.885078378491837,2.33920626564899,0,0,0,0,0
ENSMUSG00000024366,0,1.2819015312586,0,0,0,0,0
ENSMUSG00000024500,1.61474660365578,1.2894029027879,0,0,0,0,0
ENSMUSG00000024501,2.09205816416198,2.08022755414949,0,0,0,0,0
ENSMUSG00000024524,1.97620461370754,1.19618658322008,0,0,0,0,0
ENSMUSG00000024538,0,0,0,2.48278598629064,0,0,0
