,Neurons,PeripheralGlia,Immune,Vascular,Blood,Excluded,Oligos
ENSMUSG00000000078,0.878989731081389,1.12659160149315,1.57401043703066,0.612129720581281,0,1.36188773457946,0
ENSMUSG00000000120,0,0,0,0,0,0,0
ENSMUSG00000000184,0,0.990585204596157,0,0.979407745649221,0,1.36188773457946,0.718538523858595
ENSMUSG00000000326,0,1.07509675564278,0.690974583025915,0.590070779597723,0,1.36188773457946,0.708829519191858
ENSMUSG00000000787,0.828189335345917,0,1.17748253691754,0.731156556541329,0,2.04977897598364,0
ENSMUSG00000001020,0,0,0,0,0,0,0
ENSMUSG00000001119,0,0,0,0.844054534235707,0,0,0
ENSMUSG00000001175,2.5156616532143,1.61065385170593,2.5692691770146,2.11404532790275,0,1.36188773457946,1.4458618879441
ENSMUSG00000001270,0.436950077263716,1.19788990317034,0.398520523143474,1.10191506149634,0,2.04977897598364,0
ENSMUSG00000001435,0,1.35884265420435,0,0,0,2.51365193107834,0
ENSMUSG00000001525,2.29379230917559,1.30502522388919,0.47548036400035,0.8933560137712,0,1.36188773457946,0.737032368752239
ENSMUSG00000001786,0,0,0,0,0,0,0.708829519191858
ENSMUSG00000001794,1.04878418990654,1.40529713733777,0.905341095100475,1.23569416344532,0,1.36188773457946,1.42736804305045
ENSMUSG00000001833,0.635654935334613,0.886328343044982,0.17961087334384,0.899061500506821,0,1.36188773457946,1.45557089261083
ENSMUSG00000001911,0.599602710433538,0,0,0,0,0,1.45557089261083
ENSMUSG00000002107,0,1.17068593280462,0.918541291307612,0.540050276909338,0,2.51365193107834,1.79638389434915
ENSMUSG00000002233,0.417470359156589,1.69370697723527,0,1.14067840705978,0,2.04977897598364,1.79638389434915
ENSMUSG00000002265,0.913000903350527,0,0,0,0,0,0
ENSMUSG00000002274,0,1.31556319652945,0,0.573041733723794,0,1.36188773457946,1.5130833432345
ENSMUSG00000002985,1.20235519375534,4.32603729742507,5.46150371825946,2.23477394497776,0,5.54028048785418,3.11510729381832
ENSMUSG00000003032,0,0,0.635248190429851,0,0,1.36188773457946,0
ENSMUSG00000003380,0.879470964618274,1.31062294515331,0.918541291307612,1.15032174909356,0,1.36188773457946,0.776050974482256
ENSMUSG00000003541,0,0,1.66182890117654,0,0,0,0
ENSMUSG00000003814,0.795426637492663,1.30851780121771,1.84338062252088,1.41117425113483,0,2.04977897598364,0.737032368752239
ENSMUSG00000004032,0,0.545979804490426,0,0,0,2.51365193107834,0
ENSMUSG00000004044,0,0.784785408941303,0,1.04142627834256,0,0,0
ENSMUSG00000004098,0,0,0,0,0,1.36188773457946,0
ENSMUSG00000004105,0,0,0,0.468032171408458,0,1.36188773457946,0
ENSMUSG00000004207,1.31506774914571,1.17013302759479,1.62521402757948,0.979407745649221,0,0,0
ENSMUSG00000004558,0.592868285365809,1.13559582135967,0,0,0,2.51365193107834,0.776050974482256
ENSMUSG00000004980,1.0475233690517,1.03872838632649,1.18952025628638,1.05026878102148,0,1.36188773457946,0.737032368752239
ENSMUSG00000005125,0,0,0,0,0,0,0
ENSMUSG00000005161,0.799274795110225,1.01334635818479,0,0.867688169604092,0,1.36188773457946,0
ENSMUSG00000005397,0,1.47000321510475,0,1.16163283764495,0,2.04977897598364,0
ENSMUSG00000005483,0,0,0,0,0,0,0
ENSMUSG00000005610,1.27423037705513,1.19182549854361,1.30589851452516,1.37046665940846,0,0,0
ENSMUSG00000005732,0.588623788520151,0.719857625571949,0.810704408302867,0.818670626876325,0,0,0
ENSMUSG00000005973,0,0.783821617759249,0,0,0,2.04977897598364,0
ENSMUSG00000006057,1.27722991312993,1.14080935894197,1.04199309441219,1.40488907445092,0,1.36188773457946,0.708829519191858
ENSMUSG00000006304,0.852486434528436,1.08584738573149,2.01590271762709,1.34705536121226,0,3.14585078198967,0.776050974482256
ENSMUSG00000006360,2.62197534750616,4.07030500922036,1.05310687593735,2.96538679801054,0.272328573740062,4.0619599025699,3.79149506509373
ENSMUSG00000006699,1.01292994024063,1.33829638534358,1.99665626433155,1.35581214576437,0,2.51365193107834,0.737032368752239
ENSMUSG00000006740,0.842726731559494,0.814483079050386,0.547288679633225,0.969327105320594,0,1.36188773457946,0.708829519191858
ENSMUSG00000006782,0,1.36379835942305,0,0,0,2.51365193107834,0.708829519191858
ENSMUSG00000006941,1.04495547499894,1.29752579161588,0.840464003519986,0.912178142065531,0,2.04977897598364,0.737032368752239
ENSMUSG00000007039,0,1.16792690113447,0,0.618668877954719,0,2.86410701577106,0
ENSMUSG00000007097,0,1.07117981552244,0,0,0,2.04977897598364,1.5130833432345
ENSMUSG00000007872,0,0,0,0,0,1.36188773457946,0.708829519191858
ENSMUSG00000008035,0.516572868982758,0.978076424899608,0,0,0,0,0.718538523858595
ENSMUSG00000008348,0.978527716680242,1.33062578991042,0.980117749513135,1.22799348782402,0,1.36188773457946,0
ENSMUSG00000008575,0.720009597961524,0,0,0,0,0,0
ENSMUSG00000009281,0,2.24088989877862,0,1.80043139890875,0,0,1.48488049367411
ENSMUSG00000009633,0,0.990780244413738,0,0.71844509624846,0,2.04977897598364,1.4458618879441
ENSMUSG00000010663,0,1.08372632983803,0,0,0,2.51365193107834,0.718538523858595
ENSMUSG00000012520,1.3501239117021,0,0,0,0,1.36188773457946,0
ENSMUSG00000013698,0.659102327332324,0.999044623180187,0.594116196245664,0.821707840236417,0,0,0
ENSMUSG00000014846,2.72577552375234,3.43614456165332,0,2.12301205927113,0,4.31052567734102,3.17603924731981
ENSMUSG00000015085,0,0,0,0,0,0,0
ENSMUSG00000015092,0.803856215437575,1.05247629785213,0.226438389956279,1.06132908373028,0,2.04977897598364,0
ENSMUSG00000015656,2.02873293014171,1.45973320353352,1.87286935155382,1.37020889145184,0,1.36188773457946,0
ENSMUSG00000016319,0.434422615136218,0.633426440093228,1.05100809999394,1.13404151233237,0,0,0
ENSMUSG00000016356,0,0,0,0,0,2.04977897598364,0
ENSMUSG00000017009,0,0.941386796896696,0.32329677673653,0,0,1.36188773457946,0
ENSMUSG00000017144,0,0,0,0,0,0,0
ENSMUSG00000017466,1.20073279554626,1.33280777127855,0.17961087334384,1.08667458984054,0,0,1.4458618879441
ENSMUSG00000017493,0,0,1.83953278038707,0.710382366022683,0,1.36188773457946,0
ENSMUSG00000017707,0.428886661456582,0,0.17961087334384,0.59897608711194,0,1.36188773457946,0
ENSMUSG00000018166,0,0.6579639643407,0,0,0,1.36188773457946,0
ENSMUSG00000018217,0.626343254316746,1.98791134392784,1.03890050050117,1.25172572561502,0,1.36188773457946,0
ENSMUSG00000018326,1.37080010072968,0.938065473813298,0.980117749513135,0.970540352891996,0,2.04977897598364,0
ENSMUSG00000018593,1.57661205873627,4.64679621814726,0.891677733084556,3.78070431257242,0.31535567096273,4.52249379529731,3.30866069322131
ENSMUSG00000018822,0,0.769186910871504,0,0,0,2.04977897598364,0
ENSMUSG00000018965,1.92206683666932,0.849695896994973,1.06554221778938,0.7220379399364,0,1.36188773457946,0.708829519191858
ENSMUSG00000019370,1.14713252307785,1.29638018355381,0.776487606762956,1.3925646160589,0,0,0.708829519191858
ENSMUSG00000019874,0,1.87810006770963,0,0.677921479839971,0,2.51365193107834,2.62579878071307
ENSMUSG00000019877,1.28884467707469,0,0,0,0,1.36188773457946,0.718538523858595
ENSMUSG00000019960,0,0,1.03952792442224,0,0,0,0
ENSMUSG00000019978,0,0,0,0,0,0,0
ENSMUSG00000019997,0,0,0,0,0,0,0
ENSMUSG00000020029,0,0,0,0.468370250540097,0,0,0
ENSMUSG00000020044,0.659102327332324,2.23512235555194,0,1.42898728701062,0,2.04977897598364,2.3664887130514
ENSMUSG00000020048,0.784423935177001,1.429198914513,1.36925189751368,1.31579943928302,0,0,0
ENSMUSG00000020205,0,1.32340738354156,0.690974583025915,0.93209623736644,0,1.36188773457946,1.05935152559691
ENSMUSG00000020267,1.82478001477422,1.42225076583227,1.58793481788267,1.70874654685343,0,1.36188773457946,1.45557089261083
ENSMUSG00000020297,1.50430419038928,0,0,0,0,0,0
ENSMUSG00000020315,1.40882199817402,1.35808366533126,0,1.21558206445255,0,0,0
ENSMUSG00000020368,1.0916419195548,0.98131617277092,0.887664249159743,0.912507013626936,0,2.51365193107834,0.718538523858595
ENSMUSG00000020372,1.21814962439827,1.3935660529426,2.00577207279059,1.54540438873048,0,1.36188773457946,1.42736804305045
ENSMUSG00000020374,0,0,0,0,0,0,1.42736804305045
ENSMUSG00000020388,0,1.11274102668927,0,0.564586533546719,0,1.36188773457946,1.4458618879441
ENSMUSG00000020423,0.489159471864868,1.11598245259042,0.891677733084556,0.757056741503453,0,1.36188773457946,0
ENSMUSG00000020458,1.07066597116534,0,0.807330323617046,0.573041733723794,0,0,0
ENSMUSG00000020571,0,0,0.623841466169004,0,0,1.36188773457946,0
ENSMUSG00000020585,0.866060467729207,1.79318824802036,0.70191875395663,1.65218668163984,0,3.14585078198967,1.49458949834085
ENSMUSG00000020612,1.36239748937574,0,0.690974583025915,0.687172411870656,0,2.51365193107834,0
ENSMUSG00000020719,1.39608763183571,1.329900160348,1.98248244471427,1.34198243562524,0,1.36188773457946,1.4458618879441
ENSMUSG00000020737,0.965014715850948,1.03765330644801,0.905341095100475,0.631097764504011,0,1.36188773457946,1.42736804305045
ENSMUSG00000020774,0,0,0,0,0,1.36188773457946,0.718538523858595
ENSMUSG00000020926,0,0,0,0,0,0,0.737032368752239
ENSMUSG00000020932,0,0,0,0,0,1.36188773457946,0.708829519191858
