,Oligos,Immune,Neurons,Vascular,Excluded,Blood,Astrocytes,Ependymal
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000247,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,0,0,1.24115903161725
ENSMUSG00000000805,0,0,0,2.39388637353436,0,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,1.69703011562819
ENSMUSG00000001270,1.33053062592896,1.65749021516383,0.99646379350973,0,1.79417994346033,0,2.98178506080449,2.4197245890222
ENSMUSG00000001525,0,0,0.990387484479749,0.831786124337507,0,0,0,0
ENSMUSG00000001911,0,0,0,0,0.67968123787473,0,0,1.0007725621668
ENSMUSG00000002107,0,0,1.06927137105333,0,0.857209659609113,0,0,0
ENSMUSG00000002274,0,0,0,0,0,0,0,0.52694077253134
ENSMUSG00000002341,0,0,0,0,0,0,1.34734774532434,0
ENSMUSG00000002985,0,2.36174239232245,0,1.14492339643046,2.96152798273789,0,5.28442291635149,3.45325244530311
ENSMUSG00000003279,0,0,1.28887164952991,0,0.982656383475201,0,0,0
ENSMUSG00000003410,1.66477823883475,0,1.16408331430301,0,1.13539522350698,0,0,0
ENSMUSG00000003420,0,0,0,1.33363883202395,0,0,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000004032,0.956710542201107,0,0,0,0.874246353904956,0,2.01564940617867,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,1.36957416666084,0,3.20722016545568,1.08858034365123
ENSMUSG00000004892,0,0,0,0,0.990167965107258,0,2.31058189181593,0
ENSMUSG00000004902,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,0,0,0,3.25027415568925,0,5.05572551354188,0
ENSMUSG00000005360,0,0,0,0,1.28772673456523,0,2.80549627484105,0
ENSMUSG00000005583,0,1.37067097602082,0.561729451638405,0,0,0,0,0
ENSMUSG00000006057,1.21936852213028,0,2.17313557454307,0.842332458944644,1.27192235164825,0,0,1.25198775500477
ENSMUSG00000006205,0,0,0,0,0.716672943001071,0,2.18473322878527,0
ENSMUSG00000006356,0,0,0,2.44606175685743,0,0,0,1.4627504976022
ENSMUSG00000006519,0,2.3250954591073,0,0.994023989193057,0,0,0,0
ENSMUSG00000006651,2.88931437594846,0,1.42295737918853,0,1.84899708134793,0,0,0
ENSMUSG00000006782,4.1742396708167,0,0,0,1.01205678199857,0,0,0.925142453959466
