,Oligos,Excluded,Neurons,Immune,Blood,Vascular,Astrocytes,Ependymal
ENSMUSG00000000567,0,0,0,0,0,0,0,0
ENSMUSG00000000805,0,0,0,0,0,1.19222204988787,0,0
ENSMUSG00000000982,0,0,0,0,0,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,0
ENSMUSG00000001175,1.74593942992637,1.94713567259965,2.37956745357177,0,0,2.54057525814794,0,2.85629404722625
ENSMUSG00000001240,0,0,0,0,0,0,0,0
ENSMUSG00000001946,0,0,0,0,0,0,0,0
ENSMUSG00000002111,0,0,0,0,0,0,0,0
ENSMUSG00000002265,0,0.94871080571681,1.35321730255912,0,0,0,0,0
ENSMUSG00000002985,0,1.28562906522247,0,3.04705672321274,0,0,5.10996435462222,3.23260380353409
ENSMUSG00000003038,0,0,0,0,0,0,0,0
ENSMUSG00000003420,0,0,0,0,0,0,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000004151,0,0,0,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,0,2.4994080430193,0
ENSMUSG00000004892,0,0,0,0,0,0,1.54864148526748,0
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,0.322053453993812,0,0,0,0,3.40330505403902,0
ENSMUSG00000005125,0,0,0,0,0,0,0,0
ENSMUSG00000005142,0,0,0,0,0,0,0,0
ENSMUSG00000005360,0,0,0,0,0,0,2.29456982002652,0
ENSMUSG00000005583,0,0,0,0,0,0,0,0
ENSMUSG00000005892,0,0,0,0,0,0,0,0
ENSMUSG00000006057,0,0.988190206720499,1.68519885411526,0,0,0,0,0
ENSMUSG00000006205,0,0,0,0,0,0,0,0
ENSMUSG00000006356,0,0,0,0,0,1.24918054019862,0,0
ENSMUSG00000006360,0,0,0,0,0,0,0,0
ENSMUSG00000006403,0,0,0,0,0,0,0,0
ENSMUSG00000006412,0,0.876415946141953,1.44313051178074,0,0,0,0,0
ENSMUSG00000006519,0,0,0,1.50900691114846,0,0,0,0
ENSMUSG00000006522,0,0,0,0,0,0,1.31137374937125,0
ENSMUSG00000006651,2.20939422993856,1.5123619340295,0,0,0,0,0,0
ENSMUSG00000006782,3.72067175366049,2.88223726043221,0,0,0,0,0,0
ENSMUSG00000006930,0,0.213590357572272,0.940502965454664,0,0,0,0,0
ENSMUSG00000007041,0,0,0,0,0,0,0,0
ENSMUSG00000007097,0,0.86457812949787,0,0,0,0,3.68371790468572,0
ENSMUSG00000007613,0,0,0,0,0,0,0,0
ENSMUSG00000007872,0,0,0,0,0,1.75276494973706,0,0
ENSMUSG00000007891,0,0,0,2.96697253563896,0,0,0,0
ENSMUSG00000008035,0,0,0,0,0,0,0,0
ENSMUSG00000009013,1.47755516694394,1.28165835578862,1.31312121037161,0,0,2.10155586709104,0,1.73951637980551
ENSMUSG00000009281,0,0,0,0,0,0,0,1.87701228108799
ENSMUSG00000011752,0,0,0,0,0,0,0,0
ENSMUSG00000011884,1.63503076604207,0.367483168419965,0,0,0,0,0,0
ENSMUSG00000013523,0,0,0,0,0,0,0,0
ENSMUSG00000014313,1.3571211787166,1.56390220441165,1.93522665291971,0,0,1.74458145814109,0,0
ENSMUSG00000015090,0,0,0,0,0,0,0,0
ENSMUSG00000015149,1.86036912162651,0.711894103846147,0,0,0,0,0,0
ENSMUSG00000015341,1.20036517350258,0.455535616208335,0,0,0,0,0,0
ENSMUSG00000015575,0,0,0,0,0,0,0,0
ENSMUSG00000015714,0,0,0,0,0,0,0,0
ENSMUSG00000015806,1.14570823533954,0.619141998480965,0,0,0,0,0,0
ENSMUSG00000015852,0,0,0,1.05932709105763,0,0,0,0
ENSMUSG00000016256,0,0,0,1.74458315842814,0,0,0,0
ENSMUSG00000016494,0,0,0,0,0,0.714756856029563,0,0
ENSMUSG00000017344,0,0,0,0,0,0,0,0
ENSMUSG00000017390,0,0.424606684632994,0,0,0,0,3.13211272202032,0
ENSMUSG00000017754,0,0,0,0,0,0,0,0
ENSMUSG00000018102,0,0,0,0,0,0,0,0
ENSMUSG00000018217,0,0,0,0,0,0,0,0
ENSMUSG00000018451,0,0.89801265722033,1.94458951516397,0,0,0,0,0
ENSMUSG00000018593,0,0,0,2.15811917825324,0,2.77593840274255,2.58759103952008,2.25139558458626
ENSMUSG00000018774,0,0,0,0,0,0,0,0
ENSMUSG00000018930,0,0,0,0,0,0,0,0
ENSMUSG00000018965,0,0.760979422730187,1.48097623152561,0,0,0,0,0
ENSMUSG00000019370,0,1.32894080348151,1.67392939429852,0,0,0,0,1.47318291705514
ENSMUSG00000019437,0,0,0,0,0,0,0,0
ENSMUSG00000019505,1.56262514186051,1.23568766085652,2.08237889983583,2.36515064702525,2.40447007759769,2.20033967337809,0,1.46091314761632
ENSMUSG00000019772,0,0,0,0,0,0,0,0
ENSMUSG00000019874,0,0,0,0,0,0,0,0
ENSMUSG00000019876,0,0,0,0,0,0,0,0
ENSMUSG00000019890,0,0,0,0,0,0,0,0
ENSMUSG00000019923,0,1.12508024158252,1.97884595541905,0,0,0,0,0
ENSMUSG00000019986,0,1.11438521822391,1.99042163356038,0,0,0,0,0
ENSMUSG00000020009,0,0,0,0,0,0,0,0
ENSMUSG00000020044,0,0,0,0,0,0,0,0
ENSMUSG00000020101,0,0,0,0,0,0,0,0
ENSMUSG00000020154,0,0,0,0,0,0,0,0
ENSMUSG00000020178,0,0,0,0,0,0,0,0
ENSMUSG00000020267,0,0.98967932410847,1.46920104535454,0,0,0.625908867856909,0,0.17180401038058
ENSMUSG00000020297,0,0.516694522477988,1.02214478811975,0,0,0,0,0
ENSMUSG00000020377,0,0,0,0,0,0,0,0
ENSMUSG00000020388,0,0,0,0,0,0,0,0
ENSMUSG00000020483,0,1.10663664862128,1.66531723206583,0,0,0,0,0
ENSMUSG00000020486,1.5651813022114,0.889217381398919,0,0,0,0,0,0
ENSMUSG00000020591,0,0,0,0,0,0,2.32841769999135,0
ENSMUSG00000020738,0,0,0,0,0,0,0,0
ENSMUSG00000020928,0,0,0,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0,0,0,0,0,0,0
ENSMUSG00000021087,0,1.13646203727481,1.88617472104737,0,0,0,0,0
ENSMUSG00000021127,0,0,0,0,0,0,0,0
ENSMUSG00000021131,0,0,0,0,0,0,0,0
ENSMUSG00000021190,0,0,0,2.71539272185025,0,0,0,0
ENSMUSG00000021242,0.493355622962444,0.494381590163313,0,0,0,0,0,0
ENSMUSG00000021250,0,0,0,0,0,0,0,0
ENSMUSG00000021268,0,3.15318469810972,3.96713494094397,0,0,0,0,0
ENSMUSG00000021423,0,0,0,0,0,0,0,0
ENSMUSG00000021466,0,0,0,0,0,0,0,0
ENSMUSG00000021508,0,0,0,0,0,0,0,0
ENSMUSG00000021647,0,0,0,0,0,0,0,0
ENSMUSG00000021665,0,0,0,4.16684335968254,0,0,0,0
ENSMUSG00000021750,0,0,0,0,0,0,0,0
ENSMUSG00000021835,0,0,0,0,0,0,0,0
ENSMUSG00000021876,0,0,0,0,0,0,0,0
ENSMUSG00000022010,0,0.541446880622085,0.880871619924817,0,0,2.72867382404626,0,0
ENSMUSG00000022018,0,0,0,0,0,0,0,0
