,Blood,Oligos,Vascular,Excluded,Immune,Ependymal,Astrocytes,Neurons
ENSMUSG00000000184,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000560,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,1.79548568082441,0,0
ENSMUSG00000000594,0,0,0,0,0,0.639214782018427,1.83047552397855,0
ENSMUSG00000000805,0,0,1.84646837690551,0,0,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,0
ENSMUSG00000001089,0,0,1.02283213770956,0,0,0,0,0
ENSMUSG00000001240,0,0,1.46334002841294,0,0,0,0,0
ENSMUSG00000001270,0,0,0,1.16146175906886,0.742192457902429,1.30324649582783,3.6734792201144,1.08420278763289
ENSMUSG00000001313,0,0,0,0.346690653501774,0,0,0,0
ENSMUSG00000001334,0,0,0,0,0,0,0,0.465561413514019
ENSMUSG00000001946,0,0,1.26003677393783,0,0,0,0,0
ENSMUSG00000002055,0,0,0,0,0,0,0,0
ENSMUSG00000002265,0,0,0,0,0,0.220528514041597,0,2.1859679562516
ENSMUSG00000002341,0,0,0,0,0,0,0,0
ENSMUSG00000002504,0,0,1.51496364980253,0,0,0,0,0
ENSMUSG00000002985,0,0,0,1.52291780227546,4.32707825695489,2.60754999972325,5.37066012666847,0
ENSMUSG00000003279,0,0,0,0,0,0,0,0
ENSMUSG00000003410,0,2.39697442938669,0,1.99065226127841,0,0,0,1.31889635741234
ENSMUSG00000003420,0,0,0,0,0,0,0,0
ENSMUSG00000003934,0,1.8691848550457,0,1.56783015135237,0,0,0,0
ENSMUSG00000004044,0,0,0,0,0,0,0,0
ENSMUSG00000004151,0,1.42120542784288,0,0.947987574482562,0,0,0,0
ENSMUSG00000004267,0,0,0,0,0,0,0,1.64368834554956
ENSMUSG00000004558,0,0,0,0.666293489569292,0,1.02108570138666,3.14698285019591,0
ENSMUSG00000004837,0,0,0,0,0,0,0,0
ENSMUSG00000004892,0,0,0,0.672467148316994,0,0,2.90148333526914,0
ENSMUSG00000004894,0,0.984560977915685,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0,0
ENSMUSG00000004951,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,0,0,1.7535737675613,0,0,3.9634360925842,0
ENSMUSG00000005125,0,1.73644702662069,0,1.58504503394549,0,0,0,0
ENSMUSG00000005161,0,0,0,0,0,0.751125436997258,0,0.461470926010801
ENSMUSG00000005360,0,0,0,0.707345385189491,0,0,1.95171367092741,0
ENSMUSG00000005397,0,0,0.635065361527225,0,0,0,0,0
ENSMUSG00000005533,0,0,1.87150943226592,0,0,0.712565657663882,0,0
ENSMUSG00000005583,0,0,0,0,1.54950644410366,0,0,0
ENSMUSG00000006205,0,0,0,0,0,0,2.83872791904431,0
ENSMUSG00000006356,0,0,1.91522467758466,0,0,1.05049155908466,0,0
ENSMUSG00000006360,0,0,0,0,0,0,0,0
ENSMUSG00000006519,0,0,0,0,2.53739279986083,0,0,0
ENSMUSG00000006522,0,0,0,0,0,0,1.66514757709068,0
ENSMUSG00000006651,0,3.11189001071961,0,2.90004136054454,0,0.4830593860355,0,1.31790130426389
ENSMUSG00000006782,0,4.50993811369777,0,4.29615718686804,0,1.20357166175468,0,1.05079968557996
ENSMUSG00000007041,0,0,0,0,1.74313153649602,0,0,0
ENSMUSG00000007097,0,0,2.33453681704571,3.36526621103613,0,0,5.50236129580506,0
ENSMUSG00000007655,0,0,0.653937548276235,0,0,0,0,0
ENSMUSG00000007872,0,0,2.32024965552667,0,0,0,2.00204116310125,0
ENSMUSG00000008489,0,0,0,0,0,0,0,1.28452636645612
ENSMUSG00000009281,0,0,0,0,0,0,0,0
ENSMUSG00000010064,0,0,0.798261308095128,0,0,0.851759048608348,0,0
ENSMUSG00000010095,0,0,0.640639377420112,0,0,0,0,0
ENSMUSG00000010663,0,0,0,0,0,0,0,0
ENSMUSG00000014846,0,0,0,0,0,0,0,0
ENSMUSG00000015090,0,0,0,0,0,0,0,0
ENSMUSG00000015149,0,1.75853688232534,0,1.5181043459756,0,0,0,0
ENSMUSG00000015202,0,0,0,0,0,0,0,0
ENSMUSG00000015806,0,2.01977563476818,0,1.81195727985338,0,0,0,0
ENSMUSG00000015829,0,0,0,0,0,0,0,0
ENSMUSG00000016487,0,0,0,0,0,0,0,0
ENSMUSG00000016494,0,0,1.57042859406874,0,0,0,0,0
ENSMUSG00000017009,0,0,0,0,0,0,0,0
ENSMUSG00000017344,0,0,0,0,0,0,0,0
ENSMUSG00000017390,0,0,0,1.13137897554186,0,0,4.38961410589305,0.738005007875953
ENSMUSG00000017631,0,0,0,0,0,0,0,0.262033406456006
ENSMUSG00000017740,0,0,0,0,0,0,0,1.3957877348403
ENSMUSG00000017754,0,0,1.70184185741473,0,0,1.17862417134577,0,0
ENSMUSG00000018217,0,0,0,0,0,0,0,0
ENSMUSG00000018293,0,0.737410746207585,1.56722725906087,0.606338765804642,2.29131617205608,0,0,0
ENSMUSG00000018417,0,0,0,0,0,0,0,0
ENSMUSG00000018451,0,0,0,0,0,0,0,2.23968527135343
ENSMUSG00000018474,0,0,0,0,0,0,0,1.20906357684803
ENSMUSG00000018593,0,0,4.07048251623017,1.66578829200953,3.42711530597095,1.57425266735183,2.56806288906592,0
ENSMUSG00000018965,0,0,0,0,1.19586716940275,0,0,2.03056755605136
ENSMUSG00000019437,0,0,0,0,0,0,0,0
ENSMUSG00000019505,2.86755552502895,0,1.5806110605213,0,2.29195912499041,1.00378322525135,0,0.694673440562583
ENSMUSG00000019647,0,0.827113077620966,0,0.734945143905312,0,0,0,0
ENSMUSG00000019820,0,0,1.01598353918891,0,0,0,0,0
ENSMUSG00000019843,0,0,0,0,0,0,0,0
ENSMUSG00000019874,0,0,0,0,0,0,0,0
ENSMUSG00000019923,0,0,0,0,0,0,0,2.51622742638954
ENSMUSG00000019966,0,0,0.810200297044856,0,0,0,0,0
ENSMUSG00000020022,0,0,0,0,0,0,0,0
ENSMUSG00000020044,0,0,0,0,0,1.11951753154375,0,0
ENSMUSG00000020154,0,0,1.98664637092031,0,0,0,0,0
ENSMUSG00000020186,0,0,1.19561158052667,0,0,0,0,0
ENSMUSG00000020297,0,0,0,0,0,1.05430502018545,0,1.61971690190765
ENSMUSG00000020321,0,0,0,0,0,0.871363798890188,0,1.30187275949773
ENSMUSG00000020331,0,1.55125574263504,0,1.3444212748704,0,0,0,0
ENSMUSG00000020333,0,0,0,0,0,0,0,0
ENSMUSG00000020483,0,0,0,0.691968322073197,0,0.958728456249031,0,2.39262772023835
ENSMUSG00000020577,0,0,1.58603439551914,0,0,0,0,0.565541161729323
ENSMUSG00000020585,0,0,1.17376506205488,0.576241932340223,0,1.80181454834078,0,0
ENSMUSG00000020591,0,0,0,0,0,0,2.93720389066917,0
ENSMUSG00000020644,0,0,0,0,0,0,1.88432329561512,0
ENSMUSG00000020717,0,0,1.29592896940487,0,0,0,0,0
ENSMUSG00000020846,0,0,1.70750230022975,0,0,0,0,0
ENSMUSG00000020928,0,0,0.916744310430165,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0,1.21252318488625,0,0,0,0,0
ENSMUSG00000021071,0,0,0,0,0,0,0,0
ENSMUSG00000021087,0,0,0,0,0,0,0,2.76112855385033
ENSMUSG00000021127,0,0,1.28672675181827,0,0,1.41906536463375,0,0
ENSMUSG00000021250,0,0,0,0,0,0,0,0
ENSMUSG00000021268,0,0,0,0,0,0,0,5.82402592482918
ENSMUSG00000021340,0,0,0,0,0,0,0,0
ENSMUSG00000021379,0,0,0,0,0,0.793862979619405,0,0
ENSMUSG00000021508,0,0,0,0,0,0,1.92303701540471,0
ENSMUSG00000021614,0,0,0,0,0,0,0,0
