,Immune,Vascular,Neurons,Blood,Excluded,Astrocytes,Ependymal,Oligos
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,0,1.54388694238412,0
ENSMUSG00000000594,0,0,0,0,0,0,0,0
ENSMUSG00000000805,0,1.50307186485646,0,0,0,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,0
ENSMUSG00000001240,0,1.31441526238323,0,0,0,0,0,0
ENSMUSG00000001270,1.48561673034658,0,1.17843831045828,0,1.31733052363248,3.00492762502867,2.32752259051912,0.90610516559211
ENSMUSG00000001833,0,0,0,0,1.43846624013333,0,0,1.90890442214707
ENSMUSG00000001946,0,1.01163436480598,0,0,0,0,0,0
ENSMUSG00000002265,0,0,1.49428833609922,0,0.537471520130918,0,0,0
ENSMUSG00000002341,0,0,0,0,0,0,0,0
ENSMUSG00000002985,3.32934682189807,0,0,0,1.55895489077545,5.30618136806889,2.1596144520389,0
ENSMUSG00000003279,0,0,0,0,0,0,0,0
ENSMUSG00000003410,0,0,1.14614998717765,0,1.67663206296724,0,0,1.9629346137938
ENSMUSG00000003420,0,0.899081282589202,0,0,0,0,0,0
ENSMUSG00000003526,0,0,0,0,0,0,0,0
ENSMUSG00000003534,0,0,0,0,0.748602602241827,0,1.12136991729393,0.76411227048855
ENSMUSG00000003934,0,0,0,0,1.28718316896952,0,0,1.59352184046197
ENSMUSG00000004151,0,0,0,0,0,0,0,1.15844012592914
ENSMUSG00000004267,0,0,1.46678005649719,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0.624232663675253,2.85295052217794,0.621797097694298,0
ENSMUSG00000004892,0,0,0,0,0,2.4779509131612,0,0
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,1.55707188308008,1.3403237974203,0
ENSMUSG00000005089,0,0,0,0,1.15568505750737,3.51180765747559,0,0
ENSMUSG00000005125,0,0,0,0,0.945401648282979,0,0,1.21209979161268
ENSMUSG00000005360,0,0,0,0,0,1.78196509355377,0,0
ENSMUSG00000005583,1.26373344725799,0,0,0,0,0,0,0
ENSMUSG00000006205,0,0,0,0,0,2.19426687036089,0,0
