,Neurons,Excluded,Oligos,Vascular,Ependymal,Immune,Blood,Astrocytes
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,1.717295616922,0,0,0
ENSMUSG00000000594,0,0,0,0,0,0,0,0
ENSMUSG00000000805,0,0,0,1.43133623545387,0,0,0,0
ENSMUSG00000001240,0,0,0,0.950109395027748,0,0,0,0
ENSMUSG00000001946,0,0,0,0,0,0,0,0
ENSMUSG00000002111,0,0,0,0,0,0,0,0
ENSMUSG00000002265,1.7670288703615,0,0,0,0,0,0,0
ENSMUSG00000002341,0,0,0,0,0,0,0,0
ENSMUSG00000002475,0,0,0,0,0,0,0,0
ENSMUSG00000002602,0,0,0,0,0,0,0,0
ENSMUSG00000002985,0,1.53844212387227,0,0,2.12002585350733,3.35582953043267,0,5.42569918128781
ENSMUSG00000003279,0,0,0,0,0,0,0,0
ENSMUSG00000003420,0,0,0,0,0,0,0,0
ENSMUSG00000003526,0,0,0,0,0,0,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000004044,0,0,0,0,0,0,0,0
ENSMUSG00000004151,0,0.39267298943292,0.947199123236459,0,0,0,0,0
ENSMUSG00000004267,1.27900399875863,0,0,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0.584400638965985,0,0,2.71393665222701
ENSMUSG00000004837,0,0,0,0,0,0,0,0
ENSMUSG00000004892,0,0,0,0,0,0,0,2.53940373944818
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0.786163161950318,0,0,0
ENSMUSG00000005089,0,0.821273677384849,0,0,0,0,0,3.66336343087574
ENSMUSG00000005125,0,0.736042009292374,0.991074319324218,0,0,0,0,0
ENSMUSG00000005360,0,0,0,0,0,0,0,1.38114409498298
ENSMUSG00000005583,0,0,0,0,0,0,0,0
ENSMUSG00000006205,0,0,0,0,0,0,0,2.23727692911292
ENSMUSG00000006356,0,0,0,2.01074827621301,1.11495339549332,0,0,0
ENSMUSG00000006360,0,0,0,0,0,0,0,0
ENSMUSG00000006519,0,0,0,0,0,2.02210506368488,0,0
ENSMUSG00000006522,0,0,0,0,0,0,0,0
ENSMUSG00000006651,0.830286988814524,2.44773087187146,2.94023757950594,0,0,0,0,0
ENSMUSG00000006782,0,3.77847450628847,4.15022670788326,0,0.900542800698918,0,0,0
ENSMUSG00000006930,0.919927998598081,0,0,0,0,0,0,0
ENSMUSG00000007041,0,0,0,0,0,1.31724362107229,0,0
ENSMUSG00000007097,0,2.11406604190791,0,1.71389284084795,0,0,0,4.73069889202982
ENSMUSG00000007872,0,0,0,2.14320322040151,0,0,0,0
ENSMUSG00000007891,0,0.508506427708183,0,0,0,3.76660519242637,0,0
ENSMUSG00000008540,0,0,0,0,0,0,0,0
ENSMUSG00000009281,0,0,0,0,2.27770806587452,0,0,0
ENSMUSG00000009394,0.925137989257713,0,0,0,0,0,0,0
ENSMUSG00000010064,0,0,0,0,0,0,0,0
ENSMUSG00000011884,0,1.30610134842346,1.97169524415898,0,0,0,0,0
ENSMUSG00000015085,0,0,0,0,0,0,0,0
ENSMUSG00000015090,0,0,0,0,0,0,0,0
ENSMUSG00000015149,0,1.31548785166186,1.70559081467587,0,0,0,0,0
ENSMUSG00000015202,0,0,0,0,0,0,0,0
ENSMUSG00000015806,0,1.13953688665846,1.78008721452407,0,0,0,0,0
ENSMUSG00000015829,0,0,0,0,0,0,0,0
ENSMUSG00000015852,0,0,0,0,0,1.57940026588204,0,0
ENSMUSG00000015947,0,0,0,0,0,0,0,0
ENSMUSG00000016256,0,0,0,0,0,2.01963695501795,0,0
ENSMUSG00000016494,0,0,0,1.06728799024011,0,0,0,0
ENSMUSG00000017009,0,0,0,0,0,0,0,0
ENSMUSG00000017344,0,0,0,0,0,0,0,0
ENSMUSG00000017390,0.517296454343155,0.93214092744597,0,0,0,0,0,3.86725604549466
ENSMUSG00000017754,0,0,0,0.868083862326571,1.60389490840366,0,0,0
ENSMUSG00000018217,0,0,0,0,0,0,0,0
ENSMUSG00000018451,2.3156087283318,0,0,0,0,0,0,0
ENSMUSG00000018593,0,0.857907244211124,0,3.33335576685716,2.18434251085947,3.02400019717949,0,2.43123720564663
ENSMUSG00000018774,0,0,0,0,0,0,0,0
ENSMUSG00000018822,0,0,0,0,0,0,0,0
ENSMUSG00000018865,1.01546483992017,0,0,0,0,0,0,0
ENSMUSG00000018965,1.74617758333139,0,0,0,0,0.990465243001849,0,0
ENSMUSG00000019437,0,0,0,0,0,0,0,0
ENSMUSG00000019843,0,0,0,0,0,0,0,0
ENSMUSG00000019874,0,0,0,0,0,0,0,1.42579074198211
ENSMUSG00000019923,2.20758201272168,0,0,0,0,0,0,0
ENSMUSG00000019929,0,0,0,0,0,0,0,0
ENSMUSG00000019960,0,0,0,0,0,0,0,0
ENSMUSG00000019986,1.82401025751473,0,0,0,0,0,0,0
ENSMUSG00000020009,0,0,0,0,0,0.75698829302216,0,0
ENSMUSG00000020044,0,0,0,0,0,0,0,0
ENSMUSG00000020077,0,0,0,0,0,0,0,0
ENSMUSG00000020101,0,0,0,0,0,0,0,0
ENSMUSG00000020154,0,0,0,1.09922809028351,0,0,0,0
ENSMUSG00000020186,0,0,0,0,1.05651373992127,0,0,0
ENSMUSG00000020297,1.52826112263162,0,0,0,0,0,0,0
ENSMUSG00000020333,0,0,0,0,0,0,0,0
ENSMUSG00000020377,0,0,0,0,0,0,0,0
ENSMUSG00000020388,0,0,0,0,0,0,0,0
ENSMUSG00000020483,2.13814464783616,0.722486900572467,0,0,0,0,0,0
ENSMUSG00000020486,0,1.57780489702308,2.05766650703022,0,0,0,0,0
ENSMUSG00000020577,0,0,0,1.03874277194754,0,0,0,0
ENSMUSG00000020591,0,0,0,0,0,0,0,2.7719588602431
ENSMUSG00000020644,0,0,0,0,0,0,0,0
ENSMUSG00000020717,0,0,0,0,0,0,0,0
ENSMUSG00000020733,0,0,0,0,0,0,0,0
ENSMUSG00000020734,0,0,0,0,0,0,0,0
ENSMUSG00000020846,0,0,0,0,0,0,0,0
ENSMUSG00000020928,0,0,0,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0,0,0,0,0,0,0
ENSMUSG00000021071,0,0,0,0,0,0,0,0
ENSMUSG00000021087,2.11752826041282,0,0,0,0,0,0,0
ENSMUSG00000021127,0,0,0,0,1.09808707043663,0,0,0
ENSMUSG00000021190,0,0,0,0,0,3.49144750017,0,0
ENSMUSG00000021268,5.1746818442685,0,0,0,1.17358573914327,0,0,0
ENSMUSG00000021340,0,0,0,0,0,0,0,0
ENSMUSG00000021423,0,0,0,0,0,1.44040479456147,0,0
ENSMUSG00000021508,0,0,0,0,0,0,0,1.45534633555411
ENSMUSG00000021665,0,0,0,0,0,4.43233662744164,0,0
ENSMUSG00000021750,0,0,0,0,0,0,0,0
ENSMUSG00000021820,0,0,0,0,0,0,0,0
ENSMUSG00000021835,0,0,0,0,0,0,0,0
ENSMUSG00000021876,0,0,0,0,0,1.18346849747727,0,0
ENSMUSG00000022010,1.07993629496776,0,0,2.98557688412609,0,0,1.99150765430167,0
ENSMUSG00000022018,0,0,0,0,0,0,0,0
ENSMUSG00000022037,0,0,0,0,1.8587467410914,0,0,2.90167048568812
ENSMUSG00000022044,0,1.40595867637495,1.90483776856839,0,0,0,0,0
ENSMUSG00000022090,0,1.02004705777825,1.45801866990669,0,0,0,0,0
ENSMUSG00000022122,0,0,0,0,0,0,0,0
ENSMUSG00000022132,0,0,0,0,0,0,0,1.27587759177461
ENSMUSG00000022150,0,0,0,0,0,0,0,0
ENSMUSG00000022272,0,0,0,0,0,0,0,0
ENSMUSG00000022382,0,0,0,0,0,0,0,0
ENSMUSG00000022415,0.984420116448828,0,0,0,0,0,0,0
ENSMUSG00000022425,0,1.50418240524917,1.84602664071138,0,0,0,0,0
ENSMUSG00000022472,0,1.16308064461848,1.48503073395284,0,0,0,0,0
ENSMUSG00000022505,0,0,0,0,0,0,0,0
ENSMUSG00000022528,0,0,0,0,0,0,0,0
ENSMUSG00000022548,0,0.545060409995666,1.09939057129917,0,0,0,0,0
ENSMUSG00000022577,1.28646085266273,0,0,0,1.41915517675893,0,0,0
ENSMUSG00000022587,0,0,0,1.55485028718099,0,0,0,0
ENSMUSG00000022658,0.922581863717272,0,0,0,0,0,0,0
ENSMUSG00000022747,0,0,0,0,0,0,0,0
ENSMUSG00000022799,0,0,0,0,0,0,0,0
ENSMUSG00000022817,0,0,0,0,0,0,0,0
ENSMUSG00000022884,1.92405100468044,0,0,0,0,0,0,0
ENSMUSG00000022969,0,0,0,0,0,0,0,0
ENSMUSG00000023175,1.34361840597477,0.805374682447974,0,5.5889619682091,0,0,5.17872451627151,0
ENSMUSG00000023336,0,0,0,0,0,0,0,0
ENSMUSG00000023367,0,0,0,0,0,0,0,0
ENSMUSG00000023456,1.43654812594677,0,0,0,0,0,0,0
ENSMUSG00000023913,0,0,0,0,0,0,0,1.85739013439188
ENSMUSG00000023992,0,0,0,0,0,1.93518329753855,0,0
ENSMUSG00000024048,0,0,0,1.98098862018335,0,0,0,0
ENSMUSG00000024109,0.885714561234499,0,0,0,0,0,0,0
ENSMUSG00000024140,0,0,0,1.7770904471421,0,0,0,0
ENSMUSG00000024168,0,0,0,0,0,0,0,0
ENSMUSG00000024261,0.887697314599416,0,0,0,0,0,0,0
ENSMUSG00000024268,1.62019771923961,0,0,0,0,0,0,0
ENSMUSG00000024395,0,0,0,0,0,0,0,0
ENSMUSG00000024397,0,0,0,0,0,1.86865512602206,0,0
ENSMUSG00000024403,1.24953946555519,0,0,0,0,0,0,0
ENSMUSG00000024411,0,0,0,0,1.23237597834946,0,0,2.40336715188483
ENSMUSG00000024423,1.47499083205574,0,0,0,0,0,0,0
ENSMUSG00000024620,0,0,0,0,0,0,0,0
ENSMUSG00000024621,0,0,0,0,0,2.21024348852528,0,0
ENSMUSG00000024661,3.15479101777219,5.9961392111832,6.76518939496829,3.90363484212709,4.13156646400358,4.29814183087258,3.40907518953066,3.64125987570094
ENSMUSG00000024672,0,0,0,0,0,0,0,0
ENSMUSG00000024754,0,0,0,0,0,0,0,0
ENSMUSG00000024810,0,0,0,0,0,0,0,0
ENSMUSG00000024985,0,0,0,0,0,0,0,0
ENSMUSG00000025085,0,0,0,1.40184619180149,0,0,0,0
ENSMUSG00000025094,0,0,0,0,0,0,0,0
ENSMUSG00000025203,0.762114632351592,3.21509225856703,3.36574381760104,0,2.19926881685825,0,0,2.99969501861967
ENSMUSG00000025326,1.97205966465394,0.586995245788946,0,0,0,0,0,0
ENSMUSG00000025351,0,0,0,0,0.800608935550843,0,0,1.40843877011744
ENSMUSG00000025492,0,0,0,1.13831621321737,1.0359253992553,0,0,0
ENSMUSG00000025537,0,0,0,0,0,0,0,0
ENSMUSG00000025579,0.900650614521953,0,0,0,0,0,0,0
ENSMUSG00000025608,0,0,0,0,0,0,0,0
ENSMUSG00000025666,0,0,0,0,1.2481519848027,0,0,0
ENSMUSG00000025743,0,0,0,0,0,0,0,0
ENSMUSG00000025780,0,0,0,0,0,0,0,0
ENSMUSG00000025810,0,0,0,0,0,0,0,0
ENSMUSG00000025855,1.17041334747934,0,0,0,0,0,0,0
ENSMUSG00000025889,0.950560778379371,0,0,0,0,0,0,0
ENSMUSG00000025902,0,0,0,0,0,0,0,0
ENSMUSG00000025993,0,0,0,0,0,0,0,0
ENSMUSG00000026109,0,1.18099599635916,1.73399423120844,0,0,0,0,0
ENSMUSG00000026126,0,0,0,0,0,0,0,0
ENSMUSG00000026193,0,0,0,0.703882146227451,0,0,0,0
ENSMUSG00000026249,0,0.436888796895204,0,0,1.13376316127861,0,0,2.75641614336653
ENSMUSG00000026358,0,0,0,0,0,0,0,0
ENSMUSG00000026421,0,1.17929173039593,1.39775942802876,0,0,0,0,0
ENSMUSG00000026424,0,0,0,0,0.924113553518494,0,0,2.74206800909492
ENSMUSG00000026442,0,1.19287931449907,1.19793817694313,0,0,0,0,0
ENSMUSG00000026473,0,1.67379502091736,1.71262051155667,1.10893896565832,0,2.14343924974721,0,2.66703811882677
ENSMUSG00000026566,0,0,0,0,0,0,0,0
ENSMUSG00000026576,2.63999718627228,0,0,0,0,0,0,0
ENSMUSG00000026657,0,0,0,0,0,0,0,0
ENSMUSG00000026678,0,0,0,2.67832481588722,0,0,0,0
ENSMUSG00000026728,0,0,0,0,0.999157125288926,0,0,0
ENSMUSG00000026787,0,0,0,0,0,0,0,0
ENSMUSG00000026797,1.69834776150951,0,0,0,0,0,0,0
ENSMUSG00000026814,0,0,0,0.7769848921075,0,0,0,0
ENSMUSG00000026830,0,1.20839226800171,1.78759157585805,0,0,0,0,0
ENSMUSG00000026879,0,1.1554214383207,1.6313344122356,0,0,0,0,0
ENSMUSG00000026888,0,1.13637994009571,1.51299349725412,0,0,0,0,0
ENSMUSG00000026921,0,0,0,1.90879678752162,0,0,0,0
ENSMUSG00000026939,0,0,0,0,0,0,0,0
ENSMUSG00000027111,0,0,0,0,0,0,0,0
ENSMUSG00000027199,0,1.36855559189219,2.12232860697892,0,0,2.02986323084566,0,0
ENSMUSG00000027209,0,0,0,0,0,0,0,0
ENSMUSG00000027239,0,0,0,0,0,0,0,0
ENSMUSG00000027273,2.03236043274633,0,0,0,0,0,0,0
ENSMUSG00000027375,0,3.3882544201307,3.84347032472732,0,0,0,0,0
ENSMUSG00000027438,1.33593151271421,0,0,0,0,0,0,0
ENSMUSG00000027447,0.748945112887567,2.21367502300428,0,2.24593717331613,1.40540883531469,7.68875303832248,1.11243904059486,5.56808632594831
ENSMUSG00000027452,0,0,0,0,0,0,0,0
ENSMUSG00000027500,1.75709449646333,0,0,0,0,0,0,0
ENSMUSG00000027562,0,1.47306134128995,2.15663213164749,0,0,0,0,0
ENSMUSG00000027570,0,0,0,0,0,0,0,0
ENSMUSG00000027574,0,0,0,0,0,0,0,0
ENSMUSG00000027581,1.76759704443974,0,0,0,0,0,0,0
ENSMUSG00000027737,0,0,0,0,0,0,0,0
ENSMUSG00000027800,0,0,0,0,2.10091152349992,0,0,0
ENSMUSG00000027848,0,0,0,0,0,0,0,0
ENSMUSG00000027858,0,2.420752773843,2.79621344981399,0,0,0,0,0
ENSMUSG00000027962,0,0,0,0,0,0,0,0
ENSMUSG00000028128,0,0,0,0,0,0,0,0
ENSMUSG00000028445,0,0,0,0,0,0,0,1.75619758641638
ENSMUSG00000028517,0,0.540916021963797,0,0,0,0,0,2.61753084489797
ENSMUSG00000028581,0,0,0,0,0,1.65060203743353,0,0
ENSMUSG00000028645,0,0,0,1.30258915145817,1.21339074463227,0,0,0
ENSMUSG00000028654,0,0,0,0,0,0,0,0
ENSMUSG00000028655,0,0,0,0,0,0,0,0
ENSMUSG00000029084,0,0,0,0,0,0,0,0
ENSMUSG00000029126,1.64554402589971,0,0,0,0,0,0,0
ENSMUSG00000029223,1.30328987914165,0,0,0,0,0,0,0
ENSMUSG00000029231,0,0,0,0,0,0,0,0
ENSMUSG00000029309,0,0.854122202082806,0,1.47764180440792,1.86762398015311,0,0,3.97176999690548
ENSMUSG00000029373,0,0,0,0,0,0,0,0
ENSMUSG00000029484,0,0,0,0,0,0,0,0
ENSMUSG00000029570,0,0,0,0,0,0,0,0
ENSMUSG00000029621,0,1.60978123110923,2.04654116837947,0,0,0,0,0
ENSMUSG00000029622,0,0.95638080541179,1.17122021330483,1.3896624900741,0,1.84929303290374,0,0
ENSMUSG00000029648,0,0,0,2.41712590462214,0,0,0,0
ENSMUSG00000029661,0,0,0,0,0,0,0,0
ENSMUSG00000029723,0,1.59255173874096,1.89946920153123,0,0,0,0,2.06386513987588
ENSMUSG00000029778,0,0,0,0,0,0,0,0
ENSMUSG00000029810,0,0,0,0,0,0,0,0
ENSMUSG00000029838,0,2.13814464783616,2.41380205992364,1.94196670170334,0,0,0,2.16167446575297
ENSMUSG00000030029,0,0,0,0,0,0,0,0
ENSMUSG00000030088,0,0,0,0,0,0,0,0
ENSMUSG00000030093,0,0,0,0,0,0,0,0
ENSMUSG00000030220,0,0,0,0,0,0,0,0
ENSMUSG00000030235,0,0,0,1.13411144550672,0,0,0,0
ENSMUSG00000030237,0,0,0,1.50238494847809,0,0,0,0
ENSMUSG00000030287,0,0,0,0,0,0,0,0
ENSMUSG00000030307,0,0.981707016990637,0,0,0,0,0,4.02253248686918
ENSMUSG00000030310,0,0.855961893935181,0,0,0,0,0,2.70722696449389
ENSMUSG00000030317,0,0,0,0,0,0,0,0
ENSMUSG00000030342,0,0,0,0,0.924113553518494,0,0,0
ENSMUSG00000030413,0,0,0,1.30188895966207,0,0,0,0
ENSMUSG00000030428,0,0.980934700299686,0,0,0,0,0,2.38308622556242
ENSMUSG00000030495,0,0,0,0,0,0,0,1.65471256915574
ENSMUSG00000030560,0,0,0,0,0,1.35317875935719,0,0
ENSMUSG00000030579,0,0,0,0,0,3.1611764125503,0,0
ENSMUSG00000030605,0,0,0,0,0,0,0,0
ENSMUSG00000030717,0,0,0,0,0,0,0,0
ENSMUSG00000030793,0,0,0,0,0,0,0,0
ENSMUSG00000030844,0,0,0,0,0,2.20758200031753,0,0
ENSMUSG00000031111,0,0,0,0,0,0,0,0
ENSMUSG00000031144,1.85038474801326,0,0,0,0,0,0,0
ENSMUSG00000031239,0,0,0,1.83248223255892,0,0,0,0
ENSMUSG00000031342,0,1.47275718679682,1.88461899186196,0,1.04157616238405,0,0,1.44622300807036
ENSMUSG00000031425,1.52804142989544,7.79292329534144,8.31115375466159,1.51638779598199,1.48348439665174,1.48845890293608,0,1.9492594607852
ENSMUSG00000031502,0,0,0,1.24729978108315,0,0,0,0
ENSMUSG00000031503,0,0,0,1.08111782224575,0,0,0,0
ENSMUSG00000031517,1.30951593189302,0,0,0,0,0,0,0
ENSMUSG00000031596,0,0,0,0,0,0,0,0
