,Oligos,Excluded,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
ENSMUSG00000000184,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,1.31412906953426,0,0
ENSMUSG00000000632,0,0,0,0,0,0,0,0
ENSMUSG00000000805,0,0,0,1.46001108021237,0,0,0,0
ENSMUSG00000000861,0,0,0,0,0,0,0,0
ENSMUSG00000001023,0,0,0,0,0,0,0,0
ENSMUSG00000001120,0,0,0,0,0,0,0,0
ENSMUSG00000001270,0.820170466383715,1.45022463625171,1.66605802741526,0,1.63355776449058,1.4314156290591,1.23241046778735,0
ENSMUSG00000001525,0,0,0.856222723524521,0,0,0,0,0
ENSMUSG00000002107,0,0.741780941667669,1.16562627430889,0,0,0,0,0
ENSMUSG00000002274,0,0,0,0,0.829449208034499,0,0,0
ENSMUSG00000002341,0,0.43045390650831,0,0,0,0,0,0
ENSMUSG00000002985,0.473145998542936,3.37160968842805,0,0.864613992859174,5.40088432220398,3.86561193184407,3.59552890041221,0
ENSMUSG00000003279,0,0.605913859758166,0.827408583376856,0,0,0,0,0
ENSMUSG00000003410,1.27158123670402,0.706669336260642,0.972318387212169,0,0,0,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000004032,0,0.467740127902698,0,0,0.85733758572689,0,0,0
ENSMUSG00000004151,0,0,0,0,0,0,0,0
ENSMUSG00000004207,0.473530713669415,0.96018764112998,0,0,1.25252239628807,1.33983815038249,1.5642638146821,0
ENSMUSG00000004267,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0.518404827219203,0,0,1.46001108021237,0.882279658747662,0,0
ENSMUSG00000004892,0,0.847625664126505,0,0,1.05250058365325,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0,0
ENSMUSG00000004936,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,1.67755512428525,0,0,1.36119514031854,0,0,0
ENSMUSG00000005161,0,0.471825181356768,1.26168665135014,0.618252813898686,0,0,0,0.726204426558724
ENSMUSG00000005360,0,1.50467240872888,0,0,2.10894189963594,0.413895680524899,0,0
ENSMUSG00000005447,0,0,0,0,0,0,0,0
ENSMUSG00000005583,0,0.526974935005035,0.936845353495589,0,0,0,1.05328930774238,0
ENSMUSG00000005892,0,0,0,0,0,0,0,0
ENSMUSG00000006205,0,0.614057291860582,0,0,0.921736317734067,0,0,0
ENSMUSG00000006356,0,0.469369905663774,0,1.61295141876871,0,1.7986910240073,0,0
ENSMUSG00000006360,0,0,0,0,0,1.45529016006645,0,0
ENSMUSG00000006519,0,0,0,0,0,0,2.08856584234901,0
ENSMUSG00000006651,2.45439300111666,1.21205939486173,1.12291692530188,0,0,0,0,0
ENSMUSG00000006782,3.37734750160091,0,0,0,0,0,0,0
ENSMUSG00000006930,0,0,0,0,0,0,0,0
ENSMUSG00000007041,0,0,0,0.628392454187098,0,0,1.21776986556842,0
ENSMUSG00000007097,0,2.49696047984992,0,0.492770087801694,2.82482150211199,0,0,0
ENSMUSG00000007872,0,0,0,1.96922719109845,0,0,0,0
ENSMUSG00000007891,0,0.636310454337325,0,0,0,0,3.75908452743915,0
ENSMUSG00000007944,0,0,0,0,0,0,0,0
ENSMUSG00000008035,0.64840834246525,0.475359255433959,0,0,0,0.902420692624762,0,0
ENSMUSG00000008540,0,0,0,0,0,0,0,0
ENSMUSG00000008575,0,0,0,0,0,0,0,0
ENSMUSG00000008734,0,0.493497529070016,0,0,0,0,0,0
ENSMUSG00000009013,1.80813193600382,1.71246979024436,1.89070273017806,1.89126336380294,1.0026762936456,2.41845940106614,0,0
ENSMUSG00000010064,0,0,0,0,0,0,0,0
ENSMUSG00000010663,0,0,0,0,0,0.931107056156341,0,0
ENSMUSG00000011884,1.62402903386551,0,0,0,0,0,0,0
ENSMUSG00000013698,1.11819939776071,0.84855367768764,0,0.472838680251726,0.900420971065404,0,0,0
ENSMUSG00000015090,0,0,0,0,0,0,0,0
ENSMUSG00000015149,1.22531500278838,0,0,0,0,0,0,0
ENSMUSG00000015217,0,0,0,0,0,0,0,0
ENSMUSG00000015305,0,0,0,0,0,0,0,0
ENSMUSG00000015656,0.464542451357009,0.465211244301455,0.788113295005756,0.758923980208046,0,1.45529016006645,0,0
ENSMUSG00000015806,1.74534214869014,0,0,0,0,0,0,0
ENSMUSG00000015852,0,0,0,0,0,0,1.45529016006645,0
ENSMUSG00000016256,0,0,0,0,0,0,2.28990200314119,0
ENSMUSG00000016386,0,0,0,0,0,0,0,0
ENSMUSG00000016995,0,0,0,0,0,0,0,0
ENSMUSG00000017344,0,0,0,0,0,0,0,0
ENSMUSG00000017390,0,1.31010754113535,0,0,2.61660308487823,0,0,0
ENSMUSG00000017754,0,0,0,1.07753929710617,0,0.745336256135316,0,0
ENSMUSG00000018102,0.813754850640373,0.825268472185559,0,0,1.10998797135529,1.7986910240073,0,0
ENSMUSG00000018451,0,0.649018060301871,1.07423870042978,0,0.803814167954717,1.73924524264822,0,0
ENSMUSG00000018474,0,0.125390640003386,1.06739608668951,0,0,0,0,0
ENSMUSG00000018593,0,0.903181697907795,0,2.87018219821306,0,0.902420692624762,2.67100367756274,0
ENSMUSG00000018774,0,0,0,0,0,0,1.32236810484957,0
ENSMUSG00000018965,0,0.479425800473944,0.944122013821104,0,0,0,1.11842309835724,0
ENSMUSG00000019505,0.819700375820284,0.748384750072538,1.17647083706774,1.22694472401234,0,1.23885279671317,1.04274453286084,0
ENSMUSG00000019874,0,1.35273948728052,0,0,4.00383489308738,0,0,0
ENSMUSG00000019923,0,0,0.470698678290692,0,0,0,0,0
ENSMUSG00000019943,0,0.490498946416738,1.28945143738963,0,0,0.474843480028152,0,0
ENSMUSG00000020009,0,0,0,0,0,0,1.41942128277971,0
ENSMUSG00000020044,0,0,0,0,0.826093666269111,0,0,0
ENSMUSG00000020053,0,0,0,0,0,0,0,0
ENSMUSG00000020297,0,0,0.877388373319003,0,0,0,0,0
ENSMUSG00000020321,0,0.327074610784169,0.986910228158191,0,0,0,0,0
ENSMUSG00000020377,0,0,0,0,0,0,1.291571227779,0
ENSMUSG00000020458,1.17473135121672,0.944467844763816,1.29736258278574,0,0,0.882279658747662,0,0
ENSMUSG00000020486,1.49539721384233,0,0,0,0,0,0,0
ENSMUSG00000020524,0,0,0,0,0,0,0,0
ENSMUSG00000020577,0,0,0,1.1839877590462,0,0,0,0
ENSMUSG00000020585,0,0.49215633549026,0,1.12382024483418,1.12608523510144,0,0.901562547376502,0
ENSMUSG00000020591,0,0.866848322631365,0,0,1.38470336441453,0,0,0
ENSMUSG00000020644,0,0,0,0,0,0,0,0
ENSMUSG00000020737,0,0,0,0,0,0,0,0
ENSMUSG00000020894,0,0.736475100150055,1.35983894613063,0,0,0,0,0
ENSMUSG00000020928,0,0,0,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0,0,0,0.567898375030221,0,0,0,0
ENSMUSG00000021087,0,0,1.57396500559006,0,0,0,0,0
ENSMUSG00000021190,0,0,0,0,0,0,3.26881401904842,0
ENSMUSG00000021242,1.13732381484564,0.810356343878722,0,0,0.914320081774265,0,1.7055621992012,0
ENSMUSG00000021250,0,0,0,0,0,1.21978122077442,0,0
ENSMUSG00000021268,0,1.31625568568082,3.55370901752484,0,0,0,0,0
ENSMUSG00000021288,0,0.438738175382312,0.666516756154583,0,0,0,0,0
ENSMUSG00000021303,0,0,0,0,0,0,0,0
ENSMUSG00000021423,0,0,0,0,0,0,1.60533447197461,0
ENSMUSG00000021453,0,0,0,0,0,0.745336256135316,0,0
ENSMUSG00000021508,0,0.603337887201459,0,0,0,0,0,0
ENSMUSG00000021643,0,0,0,0,0,0,0,0
ENSMUSG00000021647,0,0,0,0,0,0,0,0
