,Neurons,Excluded,Vascular,Immune,Oligos,Ependymal,Astrocytes,Blood
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,2.15236705427001,0,0
ENSMUSG00000000594,0,0,0,0,0,0,1.78872919394759,0
ENSMUSG00000000805,0,0,1.81622715426276,0,0,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,0
ENSMUSG00000001240,0,0,1.53902700264194,0,0,0,0,0
ENSMUSG00000001270,1.12077467799531,1.12779765833353,0,1.24498574095429,0,1.78938872162922,3.6417500738951,0
ENSMUSG00000001313,0.460147686720603,0,0,0,0,0,0,0
ENSMUSG00000001334,0.946720481461614,0,0,0,0,0,0,0
ENSMUSG00000001946,0,0,1.26936991439746,0,0,0,0,0
ENSMUSG00000002107,1.21659739716903,0,0,0,0,0,0,0
ENSMUSG00000002265,2.5173575331738,0,0,0,0,0,0,0
ENSMUSG00000002341,0,0,0,0,0,0,1.09300641202255,0
ENSMUSG00000002504,0,0,1.51283169709842,0,0,0,0,0
ENSMUSG00000002985,0,1.48089584949355,0,4.85638164740448,0,2.3644771017245,5.81067581792819,0
ENSMUSG00000003279,0.681796539274961,0,0,0,0,0,0,0
ENSMUSG00000003410,1.44036155154912,2.01657809744658,0,0,2.3868451582492,0,0,0
ENSMUSG00000003420,0,0,0,0,0,0,0,0
ENSMUSG00000003534,0,0.689911482829436,0,0,0.587675520621367,1.41922825693192,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000003746,0,0,0,0,0,0,0,0
ENSMUSG00000003934,0,1.57190239288181,0,0,1.86705101585573,0,0,0
ENSMUSG00000004151,0,0.986895354219691,0,0,1.40048321814965,0,0,0
ENSMUSG00000004267,1.94025175226958,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0.750363912105684,0,0,0,1.18324373399471,3.09002885318788,0
ENSMUSG00000004892,0,0.868107822694682,0,0,0,0,3.1584561380849,0
ENSMUSG00000004894,0,0,0,0,0.986757497329172,0,0,0
ENSMUSG00000004902,0,0,0,0,0,1.27748241263472,0,0
ENSMUSG00000004951,0,0,0.528395765520387,0,0,0,0,0
ENSMUSG00000005089,0,1.80628140397816,0,0,0,0,4.07955124839462,0
ENSMUSG00000005125,0,1.58312245606294,0,0,1.76024077108311,0,0,0
ENSMUSG00000005360,0,0.82198548452232,0,0,0,0,2.20213289887683,0
ENSMUSG00000005397,0,0,0.959836161892942,0,0,0,0,0
ENSMUSG00000005533,0,0,1.91528845939905,0,0,0,0,0
ENSMUSG00000005583,0,0,0.351806866053379,1.64964610535475,0,0,0,0
ENSMUSG00000006205,0,0,0,0,0,0,2.89174520016191,0
ENSMUSG00000006356,0,0,1.85191468077716,0,0,1.28790053189187,0,0
ENSMUSG00000006360,0,0,0,0,0,0,0,0
ENSMUSG00000006519,0,0,0,2.30883468331088,0,0,0,0
ENSMUSG00000006522,0,0,0,0,0,0,0,0
ENSMUSG00000006651,1.21976351361445,2.88561304078313,0,0,3.10118315437197,0,0,0
ENSMUSG00000006782,0.956982213309517,4.2618159454503,0.593846852694568,0,4.5154411730725,1.923243634241,0,0
