,Vascular,Excluded,Blood,Immune,Ependymal,Oligos,Neurons,Astrocytes,PeripheralGlia
ENSMUSG00000000530,0.894203373790177,0,0,0,0,0,0,0,0
ENSMUSG00000000594,0,0.325169980622635,0,0,0,0,0,2.42912061210151,2.51073370222258
ENSMUSG00000000690,0,0,0,0,0,0,0.748271945860691,0,0
ENSMUSG00000000805,3.18221409704909,0,0,0,0,0,0,0,0
ENSMUSG00000000982,0,0,0,1.53018206157157,0,0,0,0,0
ENSMUSG00000001025,0,0,0,0,0,0,0,0,2.04709590366311
ENSMUSG00000001029,0.837179899486451,0,0,0,0,0,0,0,0
ENSMUSG00000001089,1.05415932650968,0,0,0,0,0,0,0,0
ENSMUSG00000001240,2.57106468743752,0,0,0,0,0,0,0,1.35972700865945
ENSMUSG00000001247,1.14921647832777,0,0,0,0,0,0,0,0
ENSMUSG00000001270,0,2.34551318742055,0,1.71603108647866,1.99463096398401,1.49504279490118,1.35031785724864,4.6587272957473,1.35972700865945
ENSMUSG00000001313,0,0,0,0,0,0,0,0,0
ENSMUSG00000001525,0.879350279798819,0,0,0,0,0,1.31370826422934,0,2.51073370222258
ENSMUSG00000001833,0.465940539788386,1.5795427369992,0,0,0,1.91360211977954,0,0,0
ENSMUSG00000001946,2.11874353983667,0,0,0,0,0,0,0,0
ENSMUSG00000002233,1.69792802918818,0,0,0,0,0,0,0,2.51073370222258
ENSMUSG00000002504,2.06434185301406,0,0,0,0,0,0,0,0
ENSMUSG00000002985,1.59966720892729,2.62322236546648,0,1.88606502047274,1.12719553898439,0,0,5.99153678390103,8.76448489300521
ENSMUSG00000003032,1.21463412249294,0,0,0,0,0,0,0,0
ENSMUSG00000003410,0,1.61834124234652,0,0,0,1.86439410891763,0.946980319288953,0,0
ENSMUSG00000003420,1.37825103823958,0,0,0,0,0,0,0,0
ENSMUSG00000003541,0,0,0,1.40840329253815,0,0,0,0,1.35972700865945
ENSMUSG00000003657,0,0,0,0,0,0,0,0,0
ENSMUSG00000003934,0,1.30603769015029,0,0,0,1.45002040910323,0,0,0
ENSMUSG00000004032,0,1.1836755273246,0,0,0,1.54971783700946,0,1.29688049790801,2.04709590366311
ENSMUSG00000004151,0,0.668575503785647,0,0,0,1.05022933104974,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0.904446042299971,0,0,0,0,0,3.45239587645454,2.04709590366311
ENSMUSG00000004837,1.55662655011913,0,0,0,0,0,0,0,0
ENSMUSG00000004892,0,0.905640661513748,0,0,0,0,0,3.23520586563981,0
ENSMUSG00000004894,0,0.733037462403746,0,0,0,1.19502936150856,0,0,0
ENSMUSG00000004902,0,0,0,0,0.557887709571653,0,0,1.50437136009933,0
ENSMUSG00000004951,2.04265943246744,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,1.46058855432176,0,0,0,0,0,4.3175847590391,0
ENSMUSG00000005125,0,1.50045097881307,0,0,0,1.42000745281909,0,0,0
ENSMUSG00000005533,1.09850530464226,0,0,0,0,0,0,0,0
ENSMUSG00000005873,0.419922442312388,1.45338955514806,0,0,0,1.8108898790741,1.14129192236997,0,0
ENSMUSG00000006205,0,0.600545160721176,0,0,0,0,0,3.26375657655771,0
ENSMUSG00000006356,2.93237271728045,0,0,0,1.79072667558298,0,0,0,0
ENSMUSG00000006360,0.835973559801111,0,0,0,0,0,0,0,1.35972700865945
