,Oligos,Excluded,Neurons,Astrocytes,Blood,Vascular,Immune,Ependymal
ENSMUSG00000000184,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,0,0,1.64251580939222,0,0,0,0
ENSMUSG00000000567,0,0,0,0.963709180819603,0,0,0,1.4095218001584
ENSMUSG00000000632,0,0,1.02560025484989,0,0,0,0,0
ENSMUSG00000000805,0,0,0,0,0,2.09661862568646,0,0
ENSMUSG00000000982,0,0,0,0,0,0,0,0
ENSMUSG00000001175,2.42627818001216,2.64944418433838,3.32467865117022,1.66986732971598,0,3.06579824933806,1.70321228641991,3.30846064591286
ENSMUSG00000001240,0,0,0,0,0,1.35600097702221,0,0
ENSMUSG00000001270,1.6181837037177,2.18816249430905,2.66331709073897,3.22043530018457,0,0,1.59034241527791,2.59330621550963
ENSMUSG00000001525,0,0.44222034127607,0.778947508634423,0,0,0.593964877223363,0,0
ENSMUSG00000001911,0,0,0,0,0,0,0,0.762166547032338
ENSMUSG00000001946,0,0,0,0,0,1.4862584654534,0,0
ENSMUSG00000002107,0,0.838718100553528,1.29294015897501,0,0,0,0,0
ENSMUSG00000002111,0,0,0,0,0,0,0.674491513867193,0
ENSMUSG00000002233,0,0,0,0,0,0.984672810377714,0,0
ENSMUSG00000002504,0,0,0,0,0,1.48956844321999,0,0
ENSMUSG00000002985,0,2.45357226188203,0,5.65159724319378,0,1.31795525063715,1.17215032405145,4.37936143701278
ENSMUSG00000003273,0,0.619943156204324,1.72260559519294,0,0,0,0,0
ENSMUSG00000003420,0,0,0,0,0,0.670912329366132,0,0
ENSMUSG00000003526,0,0,0,0,0,0,0,0
ENSMUSG00000004032,0.936474009365994,0.86213078913978,0,2.15419290429744,0,0,0,0
ENSMUSG00000004151,0,0,0,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,2.4117721376646,0,0,0,0.32299853439045
ENSMUSG00000004849,0,0.741253338963496,1.4407432995535,0,0,0,0,0
ENSMUSG00000004892,0,0,0,2.69554230816257,0,0,0,0
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004951,0,0,0,0,0,1.29095273808769,0,0
ENSMUSG00000005089,0,1.68029169031435,0,4.11492057394499,0,0,0,0
ENSMUSG00000005360,0,0.624476046104858,0,2.68346887353536,0,0,0,0
ENSMUSG00000006057,0.993529234546697,1.47053914209717,2.1114315565389,0,0,0,0,0.815034428855146
ENSMUSG00000006205,0,0,0,2.31350455580021,0,0,0,0
ENSMUSG00000006356,0,0.66315632015051,1.21122968059438,1.24052020298096,0,2.35726926147196,0,2.2454656614175
ENSMUSG00000006360,0,0,0,0,0,0,0,1.70589920634284
ENSMUSG00000006519,0,0,0,0,0,0,2.22595722421301,0
ENSMUSG00000006651,3.69196971833205,2.80609896161349,2.15374215152996,1.47239228441071,0,0,0,0
ENSMUSG00000006782,4.49204855400684,3.3185922419342,0,0,0,0,0,0.800082950901635
