,Vascular,Blood,Neurons,Excluded,Oligos,Astrocytes,Ependymal,Immune
ENSMUSG00000000184,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,0,0,0,0,0,0,0
ENSMUSG00000000567,0,0,0,0,0,0,1.10018585993572,0
ENSMUSG00000000805,1.63008480700308,0,0,0,0,0,0,0
ENSMUSG00000000982,0,0,0,0,0,0,0,0
ENSMUSG00000001240,0.821274361087118,0,0,0,0,0,0,0
ENSMUSG00000001270,0,0,1.0023418221962,1.07980757769852,0.470121862675215,1.85409929096678,1.53599059866368,0.421673932075151
ENSMUSG00000001525,0,0,0,0,0,0,0,0
ENSMUSG00000001946,0.827673455168293,0,0,0,0,0,0,0
ENSMUSG00000002107,0,0,0.85224444909555,0.586067987861433,0,0,0,0
ENSMUSG00000002111,0,0,0,0,0,0,0,0
ENSMUSG00000002265,0,0,0,0,0,0,0,0
ENSMUSG00000002985,0,0,0,1.93668560866836,0,4.92702753064992,3.74913740532382,2.89633298877983
ENSMUSG00000003038,0,0,0,0,0,0,0,0
ENSMUSG00000003273,0,0,0,0,0,0,0,0
ENSMUSG00000003420,0,0,0,0,0,0,0,0
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000004032,0,0,0,0,0,1.27716903941637,0,0
ENSMUSG00000004151,0,0,0,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,1.96416331471057,0.870369846079836,0
ENSMUSG00000004892,0,0,0,0,0,2.12868447866673,0,0
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0.50026241598483,0
ENSMUSG00000005089,0,0,0,1.19147091151536,0,3.64389401390872,0,0
ENSMUSG00000005360,0,0,0,0.583233390214909,0,2.41228954951015,0,0
ENSMUSG00000005583,0,0,0,0,0,0,0,0
ENSMUSG00000006057,0.557268092297596,0,1.88762982501753,1.27347860029772,0.912764933287928,0,0.451624648710374,0
ENSMUSG00000006205,0,0,0,0,0,1.71813990403775,0,0
ENSMUSG00000006356,1.86897911786132,0,0,0.279047858561654,0,0,1.39841350800078,0
ENSMUSG00000006360,0,0,0,0,0,0,1.00422747540336,0
ENSMUSG00000006519,0,0,0,0,0,0,0,1.65763785003664
ENSMUSG00000006522,0,0,0,0,0,0,0,0
ENSMUSG00000006651,0,0,0.98322401133644,1.78450996059041,2.50363786126814,0,0,0
ENSMUSG00000006782,0,0,0,2.20328932612197,3.57426484303652,0,0,0
ENSMUSG00000007039,0,0,0,0,0,0,0,0
ENSMUSG00000007041,0,0,0,0,0,0,0.494701141952128,0.899167849668489
ENSMUSG00000007097,1.05307383219053,0,0,1.90252469690549,0,3.67158483726055,0,0
ENSMUSG00000007613,0,0,0,0,0,0,0,0
ENSMUSG00000007872,2.04904229816606,0,0,0,0,1.29450139535976,0,0
ENSMUSG00000007891,0,0,0,0.339888116084036,0,0,0,3.54311567244742
ENSMUSG00000008035,0,0,0,0.56636697514161,0.443823155473773,0,1.08180979252794,0
ENSMUSG00000008575,0,0,0,0,0,0,0,0
ENSMUSG00000009281,0,0,0,0,0,0,2.61606469312137,0
ENSMUSG00000011884,0,0,0,0.463504822099362,1.58285904451134,0,0,0
ENSMUSG00000015090,0,0,0,0,0,0,0,0
ENSMUSG00000015149,0,0,0,0.363187805513549,1.38185654474915,0,0,0
ENSMUSG00000015341,0,0,0,0.359962672394466,1.02064777541629,0,0,0
ENSMUSG00000015396,0,0,0,0,0,0,0,0
ENSMUSG00000015575,0.796023537214592,0,0,0,0,0,0,0
ENSMUSG00000015714,0,0,0,0,0.53073002175444,0,0,0
ENSMUSG00000015806,0,0,0,0.523468257586882,1.46881904699656,0,0,0
ENSMUSG00000015852,0,0,0,0,0,0,0,1.54366160850057
ENSMUSG00000015947,0,0,0,0,0,0,0,0
ENSMUSG00000016256,0,0,0,0,0,0,0,1.79330381333536
ENSMUSG00000016494,1.01675480953832,0,0,0,0,0,0,0
ENSMUSG00000016995,0,0,0,0,0,0,0,0
ENSMUSG00000017344,0,0,0,0,0,0,0,0
ENSMUSG00000017390,0,0,0,0.827673455168293,0,3.60279714257561,0,0
ENSMUSG00000017754,0.907721007481369,0,0,0,0,0,1.20038817156402,0
ENSMUSG00000018008,0,0,0,0,0,0,0,0
ENSMUSG00000018102,0,0,0,0.532882658794089,0.847984910387689,0,1.30276272408113,0
ENSMUSG00000018217,0,0,0,0,0,0,0,0
ENSMUSG00000018451,0,0,1.22253268154157,0.469102653511093,0,0,0.529892465268144,0
ENSMUSG00000018593,3.09061323294917,0,0,0,0,0,1.5391057446209,2.82451248843182
ENSMUSG00000018774,0,0,0,0,0,0,0,0
ENSMUSG00000018930,0,0,0,0,0,0,0,0
ENSMUSG00000018965,0,0,0.980111166667312,0.444865027215354,0,0,0,0.978806459999315
ENSMUSG00000019437,0,0,0,0,0,0,0,0
ENSMUSG00000019505,1.56365184270314,2.77308981916722,1.13386066489184,0.576762937911089,1.26700463843032,0,0.888107795535962,1.43011839978491
ENSMUSG00000019874,0,0,0,0,0,1.62239719966142,0,0
ENSMUSG00000019876,0,0,0,0,0,0,0,0
ENSMUSG00000019890,0,0,0,0,0,0,0,0
ENSMUSG00000019923,0,0,1.26504823753451,0.533070679530093,0,0,0,0
ENSMUSG00000019943,0,0,1.48670224278498,0.851144819120141,0,0,0,0
ENSMUSG00000019986,0,0,1.45090924192308,0.823776134517067,0,0,0,0
ENSMUSG00000020009,0,0,0,0,0,0,0,1.10268555890798
ENSMUSG00000020044,0,0,0,0,0,0,0.538294361543131,0
ENSMUSG00000020101,0,0,0,0,0,0,0,0
ENSMUSG00000020150,0,0,0,0,0,0,0,0
ENSMUSG00000020154,1.03616850635116,0,0,0,0,0,0,0
ENSMUSG00000020178,0,0,0,0,0,0,0,0
ENSMUSG00000020297,0,0,1.38922912505839,0.87551064705768,0,0,0,0
ENSMUSG00000020377,0,0,0,0,0,0,0,0
ENSMUSG00000020388,0,0,0,0,0,0,0,0
ENSMUSG00000020483,0,0,1.3307704326151,0.886512744164178,0,0,0,0
ENSMUSG00000020486,0,0,0,0.805276540303978,1.81428946479115,0,0,0
ENSMUSG00000020585,0.650119957090706,0,0,0,0,0,0,0
ENSMUSG00000020591,0,0,0,0,0,1.66620761113228,0,0
ENSMUSG00000020599,0,0,0,0,0,0,0,0
ENSMUSG00000020644,0,0,0,0,0,0,0,0
ENSMUSG00000020733,0,0,0,0,0,0,0,0
ENSMUSG00000020734,0,0,0,0,0,0,0,0
ENSMUSG00000020846,0.743663409487693,0,0,0,0,0,0,0
ENSMUSG00000020928,0,0,0,0,0,0,0,0
ENSMUSG00000020932,0,0,0,0,0,0,0,0
ENSMUSG00000021025,0.51933168616929,0,0,0,0,0,0,0
ENSMUSG00000021087,0,0,1.69518456375497,0.946410752679357,0,0,0.494701141952128,0
ENSMUSG00000021190,0,0,0,0,0,0,0,3.09854971573597
ENSMUSG00000021242,0,0,0,0.632875464030917,1.02100322136447,0,0,1.28002337099694
ENSMUSG00000021250,0,0,0,0,0,0,0.502839831815425,0
ENSMUSG00000021268,0,0,4.52245941329541,3.86549842835236,0,0,0.885982372563835,0
ENSMUSG00000021423,0,0,0,0,0,0,0,1.32576485344083
ENSMUSG00000021453,0,0,0,0,0,0,0,0
ENSMUSG00000021478,0,0,0,0,0,0,0,0
ENSMUSG00000021508,0,0,0,0,0,1.14572331443015,0,0
ENSMUSG00000021647,0,0,0,0,0,0,0,0
ENSMUSG00000021665,0,0,0,0,0,0,0,4.42037905467409
ENSMUSG00000021750,0,0,0,0,0,1.24664171504881,0,0
ENSMUSG00000021835,0,0,0,0,0,0,0,0
ENSMUSG00000021876,0,0,0,0,0,0,0,1.16179742807831
ENSMUSG00000022010,2.93119273947127,0,1.14935600083484,0.683416483756631,0,0,0,0
