,Neurons,Vascular,Blood,PeripheralGlia,Astrocytes
ENSMUSG00000000120,3.58671399013907,0,0,2.18373314413155,1.48685386668172
ENSMUSG00000000214,3.06523933130064,0,0.882712589987664,2.01607422535041,0
ENSMUSG00000000296,1.3689327469794,0,0,0,0
ENSMUSG00000000399,1.08738066723971,0,0,0,0
ENSMUSG00000000581,2.92131510024519,1.98709777593869,0,1.8452244538044,0
ENSMUSG00000000889,3.3411956163942,0,1.93036716654031,0,1.07328893605351
ENSMUSG00000001025,2.38993545392323,4.02687338430852,0.882712589987664,3.87892762149761,3.69319252896546
ENSMUSG00000001120,2.5789888641599,0,0,0,0
ENSMUSG00000001240,0,0,0,2.17171897808641,0
ENSMUSG00000001525,5.50563375141606,3.79861443387639,1.04765457655264,3.56238378490425,2.82694102878164
ENSMUSG00000001707,2.31106257031647,0,0,0,0
ENSMUSG00000002015,1.85761198252274,1.96791691174378,0,2.14839114259722,1.48685386668172
ENSMUSG00000002233,1.07781976367813,2.10730656671778,0.882712589987664,3.53121291954499,3.69319252896546
ENSMUSG00000002379,2.99755095312934,1.63078142291263,1.04765457655264,2.21268870229083,2.82610149318301
ENSMUSG00000002416,2.81846441062216,1.76634066349689,0,2.21793804914856,2.15133262633715
ENSMUSG00000002980,0.877115724832696,2.5400089388544,0,0,0
ENSMUSG00000002985,0.850315884808081,3.03378171134108,3.90424396939249,9.94502186340174,9.92794575627169
ENSMUSG00000003032,0,3.87882835638731,0.882712589987664,0,0
ENSMUSG00000003411,2.94846573334234,0,0,0,0
ENSMUSG00000004771,1.72382348982867,1.95398097787751,0.882712589987664,0,1.07804369028364
ENSMUSG00000004849,2.72045409493614,0,0,1.56755663917845,1.07328893605351
ENSMUSG00000004951,1.10617814681162,2.81951269720051,1.04765457655264,0,0
ENSMUSG00000005125,0,2.02553441231955,1.26796222112751,2.96069590299731,1.93941417819365
ENSMUSG00000005469,2.64503659852127,0,0,0,0
ENSMUSG00000005687,2.51541734508245,0,0,1.88459213755292,2.15133262633715
ENSMUSG00000005779,2.47513831804824,0,0,1.99444406265292,0
ENSMUSG00000006095,2.77479936511755,2.07495791791294,0,2.19303425770812,1.07804369028364
ENSMUSG00000006205,0,2.89271012965553,0.882712589987664,2.20869452309963,2.56489755696536
ENSMUSG00000006315,2.51964292489288,1.98018121025061,0,1.97017592084572,1.07328893605351
ENSMUSG00000006360,3.27084738852355,5.04699302660909,0,2.94644795256254,2.97906552015976
ENSMUSG00000006412,3.54658157468501,2.20273047739846,0,2.18328687093904,1.07804369028364
ENSMUSG00000006575,2.23153266619184,0,1.45788993277928,0,0
ENSMUSG00000006589,2.30931240856111,2.02153860440115,0,0,1.07328893605351
ENSMUSG00000006651,2.37549578052832,0,0,0,0
ENSMUSG00000007021,2.87129190569823,0,0,0,0
ENSMUSG00000007097,0,0,0,3.4621751458801,1.74805780289937
ENSMUSG00000007872,0,3.03982081967545,0,3.59449650317474,1.93941417819365
ENSMUSG00000007946,2.41307007342502,0,0,0,0
ENSMUSG00000008590,0.6546569865376,0,0,0,0
ENSMUSG00000008683,3.39882893428332,4.40060293838248,0.882712589987664,3.4040738390557,1.07328893605351
ENSMUSG00000009281,0,3.4883783404641,0.882712589987664,4.28605556250521,3.0184236621196
ENSMUSG00000009394,3.61625840039482,0,0,2.13165885240707,1.49221165347804
ENSMUSG00000009687,0.77547191528099,0,0,0,0
ENSMUSG00000009927,3.17021635227803,3.54782717709511,0,2.86498256798877,1.74805780289937
ENSMUSG00000012405,2.35418447024261,2.8319443872302,0,1.96933954400978,1.07328893605351
ENSMUSG00000013160,2.63613183494333,0,0,2.05612381367317,2.15133262633715
ENSMUSG00000014226,3.24491209616828,2.09341518964656,0,2.13887690803819,0
ENSMUSG00000014402,2.44724801388573,0,0,0,0
ENSMUSG00000014602,2.51862295988491,0,0,1.93261599808838,1.07328893605351
ENSMUSG00000014846,5.11887107353276,2.14000822601248,0.882712589987664,2.22509061580098,2.56489755696536
ENSMUSG00000014856,1.61755740364877,0,0,1.77380074537789,0
ENSMUSG00000015291,2.44587375264556,0,0,0,0
ENSMUSG00000015467,0,0,0.882712589987664,2.24258885911703,2.15133262633715
ENSMUSG00000015733,2.20566043985503,2.00304881945969,0,1.81805858227161,2.15133262633715
ENSMUSG00000015806,2.37276866321753,0,0,0,1.07328893605351
ENSMUSG00000016252,2.95684666081797,2.77062973286504,0.882712589987664,2.22228565844505,1.07328893605351
ENSMUSG00000016995,0,0,0,2.24083356437133,1.48685386668172
ENSMUSG00000017188,3.20337634849117,2.10730656671778,0.882712589987664,2.22043896829676,2.56489755696536
ENSMUSG00000017390,1.62573741106773,0,0,3.23098592596322,2.82610149318301
ENSMUSG00000017493,0,3.3525156018279,0,3.38020902170266,3.39980840153182
ENSMUSG00000018012,1.82975068275991,0,0,0,1.07328893605351
ENSMUSG00000018102,1.35733799542011,2.07920396203312,1.26796222112751,3.04255131334044,2.97906552015976
ENSMUSG00000018451,4.0279488381646,0,1.93036716654031,2.03143702181871,0
ENSMUSG00000018585,2.80611141583587,2.07920396203312,0,2.10737360758123,0
ENSMUSG00000018593,0,5.6590721756252,0.882712589987664,5.39810172854848,3.58271572545365
ENSMUSG00000018770,2.9200826513112,1.81702477238831,2.31561679768016,1.98399050121648,0
ENSMUSG00000018822,0,0,0.882712589987664,3.61367939077714,2.97906552015976
ENSMUSG00000018865,3.51131312600375,0,0,1.98399050121648,0
ENSMUSG00000018965,5.21589832584808,2.9293596479298,1.04765457655264,2.98469768003438,1.48685386668172
ENSMUSG00000019210,2.99873057599786,1.49578044347278,0,2.12690993355979,1.48685386668172
ENSMUSG00000019590,4.19101858840336,2.02079142267159,0,2.17541048811893,2.56550058953155
ENSMUSG00000019772,0,0,0,0,0
ENSMUSG00000019874,0,0,2.55627469882462,7.39281320415616,7.19959383815179
ENSMUSG00000019923,4.41311650033031,2.10895506551885,2.34060252276694,2.82826102167285,2.15133262633715
ENSMUSG00000019986,1.83638950991684,0,0.882712589987664,0,0
ENSMUSG00000019987,0,0,0,0,0
ENSMUSG00000020044,0,3.03651240153952,0,3.42965682812388,1.07804369028364
ENSMUSG00000020089,1.96231519248542,0,0,0,0
ENSMUSG00000020098,3.21003769827822,0,0.882712589987664,0,1.07328893605351
ENSMUSG00000020182,2.4976098619168,0,0,0,0
ENSMUSG00000020205,0,1.53172493760193,0,3.51444079963118,3.24026945637741
ENSMUSG00000020261,2.0058177191158,0,0,0,0
ENSMUSG00000020297,2.7446357208537,0,0,0,1.07804369028364
ENSMUSG00000020388,0,1.40840237453421,0.882712589987664,3.07902234360642,2.82610149318301
ENSMUSG00000020390,3.28793783258742,2.20273047739846,0.882712589987664,2.07575314078248,2.97906552015976
ENSMUSG00000020440,2.78504527221902,2.10895506551885,1.04765457655264,2.08775825040363,1.07328893605351
ENSMUSG00000020444,3.53499591085574,2.10265217142808,0.882712589987664,2.18328687093904,1.07328893605351
ENSMUSG00000020485,1.87028138125866,0,0,0,1.07328893605351
ENSMUSG00000020571,1.23402538256351,2.33327853143194,0,2.09571578037292,1.48685386668172
ENSMUSG00000020577,3.08909046886755,0,0,0,0
ENSMUSG00000020635,2.91022526247587,0,0,0,0
ENSMUSG00000020708,3.44529326702719,2.03408663449843,0,2.08735617377753,2.56489755696536
ENSMUSG00000020720,2.2160814043933,0,0,0.761479495960673,0
ENSMUSG00000020733,0,0,0.882712589987664,2.84911983067797,0
ENSMUSG00000020737,3.07792915838016,2.09341518964656,1.26796222112751,2.11863196651432,3.24026945637741
ENSMUSG00000020894,3.05384601296705,0,0,1.88531794243603,1.48685386668172
ENSMUSG00000020949,3.467270940228,2.10895506551885,0,2.13504128729833,1.07804369028364
ENSMUSG00000020978,2.18253589385309,0,0,0,1.07804369028364
ENSMUSG00000020993,2.47513831804824,0,0,0,1.07328893605351
ENSMUSG00000021024,2.06190530649675,1.49578044347278,0,1.97017592084572,1.07328893605351
ENSMUSG00000021032,1.12959285916139,0,0,0,0
ENSMUSG00000021087,5.34578733872282,2.10265217142808,1.45788993277928,3.28604267066283,2.15133262633715
ENSMUSG00000021102,3.26892190978135,1.95398097787751,1.04765457655264,2.15972270171061,1.48685386668172
ENSMUSG00000021124,2.88558390055619,1.96791691174378,0.882712589987664,1.76460327332356,1.74805780289937
ENSMUSG00000021178,2.41256407187634,0,0,0,1.07328893605351
ENSMUSG00000021186,0,1.49857812395449,1.26796222112751,3.42661497915505,0
ENSMUSG00000021194,0.504213405183642,0,0,0,0
ENSMUSG00000021218,2.9184210208684,1.9962457180334,0,2.05054420121902,1.07804369028364
ENSMUSG00000021250,0,4.09539390407995,1.85014821867232,4.24006727499878,4.1294429176432
ENSMUSG00000021268,4.34680385828364,3.01250555632583,0,2.14796655866211,1.07328893605351
ENSMUSG00000021288,4.31635740460907,2.00304881945969,1.04765457655264,2.79880797242879,1.07328893605351
ENSMUSG00000021290,1.73316083823146,0,0,0,0
ENSMUSG00000021453,1.06756568670769,2.89271012965553,1.85014821867232,2.88432557960327,3.88454890425974
ENSMUSG00000021477,1.89482274595394,2.84624599126188,0,2.65173781502981,2.15133262633715
ENSMUSG00000021493,2.16306608566329,0,0,0,0
ENSMUSG00000021520,1.04819284264146,0,0,0,0
ENSMUSG00000021647,0,0,0,0,0
ENSMUSG00000021700,2.16774827628367,0,0,0,0
ENSMUSG00000021759,2.0968453010016,2.07681306973906,0.882712589987664,0,0
ENSMUSG00000021765,0.586209809086098,0,0,0,0
ENSMUSG00000021772,2.38836710176462,0,0,0,0
ENSMUSG00000022013,1.73245881071582,0,0,0,0
ENSMUSG00000022018,0,0,1.26796222112751,4.28371945351731,3.29340629741078
ENSMUSG00000022037,0,2.08026864504091,0,0,1.07328893605351
ENSMUSG00000022044,1.59771844623135,0,0,0,0
ENSMUSG00000022055,3.09867636173247,0,0,2.02419205601946,0
ENSMUSG00000022090,0,0,0,0,0
ENSMUSG00000022103,0,0,0,0,0
ENSMUSG00000022193,2.28418476656456,1.40840237453421,0,1.92111730952614,1.07328893605351
ENSMUSG00000022217,2.01093897751586,0,0,0,1.07328893605351
ENSMUSG00000022235,2.14633901189072,0,0,0,1.07328893605351
ENSMUSG00000022312,3.04155876466166,3.23333315015004,1.04765457655264,2.21716419565932,0
ENSMUSG00000022324,0,0,0.882712589987664,2.93041171137797,1.07328893605351
ENSMUSG00000022337,1.42922639265502,0,0,0,0
ENSMUSG00000022505,0,0,0.882712589987664,2.23705575725165,1.74805780289937
ENSMUSG00000022528,0,2.00304881945969,0,2.0601474238824,1.07804369028364
ENSMUSG00000022540,1.41332227472664,0,0,0,0
ENSMUSG00000022635,2.62695084045771,1.95398097787751,0,1.45209982012321,1.07804369028364
ENSMUSG00000022658,4.00596198332507,0,0.882712589987664,2.00527023457348,1.07804369028364
ENSMUSG00000022816,0,2.19062102625418,0.882712589987664,0,1.07328893605351
ENSMUSG00000022884,4.10728119238602,2.81083876167028,1.04765457655264,2.17186607041215,1.07328893605351
ENSMUSG00000022894,0,0,0,2.0583155122872,0
ENSMUSG00000022982,2.61846987285503,1.90889836178452,0,0,2.15133262633715
ENSMUSG00000023011,2.41329785881975,0,0,0,1.07804369028364
ENSMUSG00000023034,0,2.41193193472527,1.51774380928579,2.0495165726688,0
ENSMUSG00000023048,3.72798257064087,2.83109223813374,0,2.18837010335529,2.15133262633715
ENSMUSG00000023064,6.64394227047323,3.34773610019801,3.61136441566535,5.36538959671938,3.49251433477071
ENSMUSG00000023236,2.73250097206133,0,0,0,1.07328893605351
ENSMUSG00000023328,1.87803037749397,0,0.882712589987664,0,0
ENSMUSG00000023367,0.821065634844908,2.5400089388544,0.882712589987664,2.73110929952487,3.0174578684773
ENSMUSG00000023439,1.45072739038562,0,0,0,1.07804369028364
ENSMUSG00000023484,6.04313918278077,2.21762834067583,1.93036716654031,3.6190784944626,3.24026945637741
ENSMUSG00000023967,2.27835383400648,0,0,1.68512341009651,2.56489755696536
ENSMUSG00000024190,1.36136348275779,3.9493274606935,0,2.88620319009558,1.74805780289937
ENSMUSG00000024232,0,2.10265217142808,0,2.03118483542979,1.07328893605351
ENSMUSG00000024261,3.37670625625886,0,0,0.677641765797084,0
ENSMUSG00000024403,2.11835399588613,0,0,0,0
ENSMUSG00000024500,3.13247197941569,0,1.04765457655264,0,1.48685386668172
ENSMUSG00000024501,2.78904362871894,0,0,2.01360374187569,0
ENSMUSG00000024526,0.568964178420031,0,0,0,1.07804369028364
ENSMUSG00000024583,1.94291843492755,1.49578044347278,0,0,1.48685386668172
ENSMUSG00000024608,4.44367808679808,5.50972477762669,1.51774380928579,4.41371314168392,3.58271572545365
ENSMUSG00000024683,1.79127936643618,0,0.882712589987664,0,0
ENSMUSG00000024907,3.88974714221682,1.95398097787751,1.26796222112751,2.1947006503548,2.15133262633715
