,Blood,Vascular,Neurons,Oligos,Immune,Excluded,Astrocytes,Ependymal
ENSMUSG00000000058,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,0,0,0,0,0,1.69835485905063,0
ENSMUSG00000000567,0,0,0,0,0,0,0,1.04567719871954
ENSMUSG00000000805,0,1.74399198401069,0,0,0,0,0,0
ENSMUSG00000000982,0,0,0,0,0,0,0,0
ENSMUSG00000001240,0,0.89608863379668,0,0,0,0,0,0
ENSMUSG00000001270,0,0,1.33080018942034,0.822518389211226,1.05556628497536,1.35137578580749,3.13627921593381,1.85317536152052
ENSMUSG00000001946,0,0.785594530272554,0,0,0,0,0,0
ENSMUSG00000002107,0,0,1.04476094709184,0,0,0,0,0
ENSMUSG00000002265,0,0,1.26989092246022,0,0,0,0,0
ENSMUSG00000002985,0,0,0,0,2.6948035337885,1.55980200986661,5.35480578144956,3.37832152491963
ENSMUSG00000003420,0,0,0,0,0,0,0,0
ENSMUSG00000003534,0,0,0,0,0,0,0,0.89044795492688
ENSMUSG00000003657,0,0,0,0,0,0,0,0
ENSMUSG00000003934,0,0,0,0.964039159013714,0,0.728884451670901,0,0
ENSMUSG00000004151,0,0,0,0,0,0,0,0
ENSMUSG00000004267,0,0,1.16688949258819,0,0,0,0,0
ENSMUSG00000004366,0,0,0,0,0,0,0,0
ENSMUSG00000004558,0,0,0,0,0,0,2.36864920983438,0.720919782744092
ENSMUSG00000004837,0,0,0,0,0,0,0,0
ENSMUSG00000004892,0,0,0,0,0,0,2.21897667488452,0
ENSMUSG00000004894,0,0,0,0,0,0,0,0
ENSMUSG00000004902,0,0,0,0,0,0,0,0
ENSMUSG00000005089,0,0,0.735158872733711,0,0,1.19160611761761,3.55043735966937,0
ENSMUSG00000005125,0,0,0,0,0,0.620653967230651,0,0
ENSMUSG00000005360,0,0,0,0,0,0,1.72624697066211,0
ENSMUSG00000005716,0,0,0,0,0,0,0,0
ENSMUSG00000006205,0,0,0,0,0,0,2.13779814505121,0
ENSMUSG00000006356,0,1.71959251151255,0,0,0,0,0,1.15089021546297
ENSMUSG00000006360,0,0,0,0,0,0,0,0
ENSMUSG00000006403,0,0,0,0,0,0,0,0
ENSMUSG00000006519,0,0,0,0,2.12069709681202,0,0,0
ENSMUSG00000006522,0,0,0,0,0,0,0,0
ENSMUSG00000006651,0,0,0.671665020626643,2.794951260194,0,2.3344282049715,0,0
ENSMUSG00000006782,0,0,0,4.14472128198631,0,3.57210500145126,0,0.475672443207033
ENSMUSG00000007041,0,0,0,0,1.35530700549673,0,0,0
ENSMUSG00000007097,0,0.867324856505487,0,0,0,1.78396940639223,4.64466663627735,0
ENSMUSG00000007872,0,2.25462892334051,0,0,0,0,2.05827712337621,0
ENSMUSG00000007891,0,0,0,0,3.43775623723509,0.515654412802125,0,1.17103039922924
ENSMUSG00000008035,0,0,0,0.880368027240439,0,0.828977757735889,0,1.11386488851304
ENSMUSG00000009281,0,0,0,0,0,0,0,2.31685058136655
ENSMUSG00000009394,0,0,1.14718868355856,0,0,0,0,0
ENSMUSG00000010064,0,0,0,0,0,0,0,0
ENSMUSG00000011884,0,0,0,1.83309702822369,0,1.10595773172377,0,0
ENSMUSG00000013033,0,0,1.06578808836382,0,0,0,0,0
ENSMUSG00000013523,0,0,0,0,0,0,0,0
ENSMUSG00000015090,0,0,0,0,0,0,0,0
ENSMUSG00000015149,0,0,0,1.88206457701546,0,1.15730266343282,0,0
ENSMUSG00000015341,0,0,0,1.30200852731892,0,0.856645855592831,0,0
ENSMUSG00000015575,0,0.678838053344794,0,0,0,0,0,0.850107976896783
ENSMUSG00000015714,0,0,0,1.20085326317618,0,0.904852787440591,0,0
ENSMUSG00000015806,0,0,0,1.82021291708987,0,1.47886916713943,0,0
ENSMUSG00000015829,0,0,0,0,0,0,0,0
ENSMUSG00000015852,0,0,0,0,1.9002378591548,0,0,0
ENSMUSG00000016256,0,0,0,0,2.05516479733437,0,0,0
ENSMUSG00000016494,0,1.34118396626386,0,0,0,0,0,0
ENSMUSG00000017344,0,0,0,0,0,0,0,0
ENSMUSG00000017386,0,0,0,0,0,0,0,0
ENSMUSG00000017390,0,0,0,0,0,0.739728507224427,3.97624712913284,0
ENSMUSG00000017754,0,1.19781715221744,0,0,0,0,0,1.19675510864383
ENSMUSG00000018102,0,0,0,0.913742080047881,0,0.591153703189767,0,1.22508926005004
ENSMUSG00000018217,0,0,0,0,0,0,0,0
ENSMUSG00000018451,0,0,0.559425361755004,0,0,0,0,0
ENSMUSG00000018593,1.09817607859761,3.32026539903723,0,0,2.81692576810897,1.03213929365957,1.87469610692616,1.31350305796251
ENSMUSG00000018865,0,0,1.08926704092352,0,0,0,0,0
ENSMUSG00000018930,0,0,0,0,0,0,0,0
ENSMUSG00000018965,0,0,1.90732238417382,0,1.39885091943729,0,0,0
ENSMUSG00000019437,0,0,0,0,0,0,0,0
ENSMUSG00000019505,0.715484358203873,1.55018711157191,0.711729201971533,0.85598749278683,1.82920351578234,0.725118498369637,0,1.40564239012358
ENSMUSG00000019843,0,0,0,0,0,0,0,0
ENSMUSG00000019874,0,0,0,0,0,0,1.72291256958563,0
ENSMUSG00000019923,0,0,2.09131195473803,0,0,0,0,0
ENSMUSG00000019943,0,0,1.55633891954586,0,0,0,0,0
ENSMUSG00000019986,0,0,0.666780120091154,0,0,0,0,0
