16cell	4cell	8cell	zygote	blast	2cell
Arrdc1	9.72159806095107	11.75714165653	10.3570608153772	9.02592507503222	1.17209552098631	9.18756915067571
Mrpl15	12.3446719493707	10.8995002129935	11.8649367222276	1.04320392186634	11.3159067284822	7.34842121245628
Stac2	9.09123463361349	10.8195604652502	9.84371488358585	0	0	9.59551532378318
Cnnm4	10.4511432523195	9.5352655044132	10.5534928095636	8.88866574493332	8.70341871691041	7.88967222651884
Gdf3	9.1883464724349	2.0833106496833	9.29447693703819	0	10.120391631807	2.70125143919053
Gm13718	9.47833628687039	13.0829010774879	11.0018184274206	0.419730730669755	0	12.173790214744
Gm16515	6.9530994614534	11.456511550197	9.76379477818712	12.6389686506089	7.47070494771057	11.6618795796116
Tmem87b	9.14025955194448	10.8339760606796	9.62899060283827	9.90808447820624	6.89118612660918	9.56295198741001
Lin28a	9.73672462958223	8.81154202112428	8.94603400057506	11.2376586280701	3.49911628925603	8.94921499978432
Gcat	9.1557429015785	0	9.37710013139197	5.23501511165799	9.91830044036097	0.334378070557017
Xbp1	5.44098375044154	0	5.18339909635108	0.340770982792962	9.03174131123302	0
Bcl2l14	9.39067955779414	10.9221469582216	10.6321594128167	0	8.56490028156031	8.05037382103711
Nin	11.3677934639462	12.7412707953023	12.2777177199832	11.6532813363134	1.3709158974847	12.1873154611623
Capg	0	0	0	0.875977380042376	10.1367993850377	0
Enpep	1.54355282530861	0	4.48897009904173	7.133540108183	11.4712575756232	4.70875629678457
Kbtbd8	4.67697577752381	10.1338279128035	8.52560270416155	13.5538484921659	0.949924943230431	12.3601794143239
Ptges	11.9683173750898	3.54376332975891	11.8011523005823	1.44546337962439	12.5442177668436	6.38393947144772
Trip11	1.79875924343753	8.86333909029551	5.49961792690381	9.42263596342269	8.2397937108639	10.0103746684333
Obox6	13.1369835777401	13.8381037010384	14.0124219610789	0.469816070975934	0	13.7096134892462
Fabp3	11.1503550973066	6.88121450715083	10.1884980790909	1.78235922894053	14.0716200074452	1.41058950645249
Galk1	9.69596034656424	8.55814495089627	10.8990984802999	0	9.29693998219037	0
Gtf3c4	8.69476120659889	11.2257004798117	9.47363431809434	6.95260888678487	7.35104634176447	10.5666525262386
8430427H17Rik	8.0805174602805	9.5674670522171	9.44009639364819	11.7174370978122	4.24306813891638	11.0578882612969
Npl	12.2858845208395	12.6127416966681	12.2461103086366	0	12.2031146531283	10.9696663304091
Ly6a	2.64917516690041	9.22185240134135	9.54452568265216	6.22026946457335	9.64071969434661	8.12000221930423
Tpm1	9.24334103020751	1.88001507295031	9.96592267280379	3.23903386882509	12.0527847949887	1.09644541285227
Sparc	0	0	0	7.14560168160514	10.8629447285348	6.82936345233823
2610528J11Rik	1.94934592509458	0	1.49890082066813	5.21857562965781	9.01701925223376	0
H2afy	8.9350102891108	0	7.95370396790976	6.92156497693837	11.8125582444574	3.57729449304452
Ptpn21	9.73961718262056	10.8865588154721	10.0830305127177	12.9998343332022	5.28635120048438	10.7810876105663
Vnn1	11.9150154629195	0	11.5365566723052	0	9.91160803611328	0
Rimklb	9.15846994099612	11.3171868444431	10.5036825902423	11.0154526036628	0	12.8123546311232
Zdhhc7	8.69743547483801	10.8447894378876	10.4607918262935	7.20526636260995	4.51212675127389	9.01706346692791
Upp1	0	0.971636506593774	0	2.9775660541762	12.7698802951713	9.41216280045168
