16cell	4cell	8cell	zygote	blast	2cell
Dkkl1	0	0	0.999998317259721	0	5.42311432753184	3.58838616219196
2810432D09Rik	3.60282053681637	4.18509367571415	4.79680386178347	5.07163817557902	5.79578918888768	0.375975372233465
Apitd1	5.34993183348045	7.54792243265004	5.42064327129734	6.8534020137117	5.36635937068763	7.86622778122107
Rpl36	10.2613173784457	7.86048281549286	9.69200516354721	1.80872820555059	10.2419952385346	5.67799849806958
Gm13718	4.53608087751249	8.0642152286579	6.06722354576613	0.0173924205182584	0	7.20795910876754
Nop16	7.1011372009158	8.1364069100566	6.99180220457906	0	7.1064972108136	7.84981859001674
Sra1	6.00362580014868	4.6491658990634	5.94826029321227	3.40886514371947	7.33727697545538	1.48992168002161
Zfp296	6.96385923837197	7.77559291599608	7.15931467687775	3.8153912124653	5.64391852030696	7.8795724452432
Tmem208	7.96350167399234	7.04035628554912	7.12576043887002	0	7.34905140340378	5.49726779913657
Eno1	0	0.70380724500289	0	3.29502088748362	6.45360811828882	0
Capg	0	0	0	0.128779618290212	6.48046722375122	0
Tufm	7.78207594639809	8.25436961274502	7.8701192551778	3.51970193202324	7.83277231280883	2.04885734351449
Ptges	6.90518312173008	0.397897916675486	6.73634209984665	0.0736573455628204	7.48006085343026	1.78299575828836
Gpx4	9.27067263951951	7.13094563674583	8.96822438293985	1.61719137147666	9.77445684926207	4.51824647549686
Obox6	9.43827675951776	10.1290860033176	10.3266543606516	0.0420162701453075	0	9.9987724419055
Mrps18b	9.75083699895104	8.27222880560507	9.45428252646517	5.53600683878386	8.89729539522686	6.26859738007248
Fabp3	9.7859790619818	5.55078837454392	8.82667861981366	0.975819556948281	12.693662953468	0.703239889795662
Galk1	5.79887216303531	4.69342301665698	6.98726002083626	0	5.41102664644661	0
Npl	8.41799863609783	8.74033870440366	8.36676966253558	0	8.32992351465529	7.10938748117773
Mrpl52	6.84376191590509	4.34191219753061	6.31970138712833	0.253286235645059	6.88299739323039	0.394103330248956
Ly6a	0.747214753018929	6.28135195237591	6.59999780093794	3.39851712539102	6.6995231503831	5.26311605483959
Snord47	7.01599474349234	6.49954692355546	6.72581893858338	0	3.44298820848319	4.92182066251186
Tpm1	5.18336211322447	0.299258845343232	6.10557104437136	0.569729595065608	7.92314873324391	0.122509853905679
Sparc	0	0	0	2.78354618385068	6.26455070186775	2.508588057262
2610528J11Rik	0.387698248699177	0	0.257106431026364	2.30343196198705	5.81604507183417	0
H2afy	4.63258176831892	0	3.69202211384311	2.78977491215459	7.46060178096471	0.620533167223248
Rpl7	12.3842340313711	10.9911275932282	12.3833609923832	2.12797919875175	12.1109392968434	8.60540075317993
Rpl6	9.60861085972955	8.74593909655437	9.61906046745513	1.05123769988001	9.19386683621827	7.38430561654264
Psmc4	9.06445949964968	8.22535380574029	8.99395455065949	4.56289967466708	8.84128886896752	4.29975977608679
