d0	d2	d4	d7
1110036E04Rik	2.05683125234946	0	0	0.740549296063419
1200014J11Rik	2.52039001210994	3.87397249998558	2.6441373871009	1.80149646425304
2500004C02Rik	2.04792816278306	3.18211299205448	0	1.41084102503091
4831440E17Rik	1.85624032638304	2.08186456397035	0	1.67539505016501
4921534H16Rik	1.95118906287956	0	0	2.81195804947562
4930520O04Rik	1.79736877827375	0	0	2.01041090290807
4933402N03Rik	1.11703048248526	0	0	2.06190928957041
5830417I10Rik	2.06783602943701	2.26790990942735	1.81256186417419	1.74906564149372
A130077B15Rik	3.56198097405589	4.38580611390365	3.96674250403762	3.51055957476165
A630089N07Rik	2.42295248682948	3.03217656369205	2.53651774507134	2.36142678610703
A930015D03Rik	2.08322918379086	0	0	1.77027671362412
AK010878	2.1212697385476	3.61006586799219	2.37457581318535	1.004301021828
Aak1	1.81146242354881	0	0	1.8637936810396
Abcb7	1.8500485861735	2.2704902860829	0	1.54056282742674
Abcd4	2.37790676454806	3.56174346867099	1.83994390723784	2.08100237329867
Abhd15	2.08307227340402	2.17954740741158	0	1.51997732689987
Acad9	2.56695454310045	2.59269685848993	2.6396994573866	2.25888425175519
Acer2	1.7914093296254	2.26790990942735	1.879726632726	1.40784113663115
Acpp	1.7524978296994	0	0	2.39233664933078
Acsf2	1.8757654125722	4.25239691691071	2.50745848524576	2.24849087867382
Acta1	0.933407904357225	2.49501985835507	2.70461579411586	1.5870886809588
Actg2	0.736583578166872	2.62109799352435	2.74124256587852	2.41786376922869
Actn1	1.45389323236398	0	2.01896912076717	3.33568416505931
Adamts19	1.61682981022692	0	0	1.67687441745382
Agl	3.3927582539524	4.84320266348769	3.22911371793526	3.23670557873914
Ahcyl2	1.80368022640497	2.16188896104773	1.90614618484857	1.61512641046319
Ahnak	1.62686316316525	0	0	3.24194615375547
Ahsa1	2.12625471687922	2.52881947738081	2.29340085850412	1.28720806123072
Akr1b3	1.85945670932099	4.03670394177331	3.30624423497618	1.25096443584821
Aldh9a1	1.88702082138562	1.25193939289208	0	1.74117252226239
Als2	1.94042792758043	2.22814749132605	0	1.37187245729795
Ankfy1	2.83564591894943	3.07550985760823	0	1.81756077177014
Ankrd40	1.61981202741786	0	0	1.88160848937777
Anxa2	0.751624004790992	0	0	3.3342349492578
Anxa3	0.467027331783066	0	0	2.13434182863821
Api5	2.19654161296158	0	0	0.99074333654096
Aplp2	1.18630251383517	0	0	2.02743156123712
Apoe	0.962817565695592	1.673628997889	2.38879082127465	0.518010388057897
Arl6ip1	1.53516987325606	2.10046516131458	2.32570316656053	1.51940437518302
Arpc1b	1.2899539817309	1.4212963934198	2.21673611113323	2.32500096573501
Arpc2	1.66098551277869	2.56869236021202	3.29792734036562	3.13900244271039
Arpp21	1.94636833242993	0	0	1.88138797832789
Ash2l	3.42872885503014	4.63438327810061	3.58077111961984	2.78099612518032
Asns	1.60410021639101	1.50879152123972	0	1.09040492665273
Asph	2.21624132429463	0	0	2.07033443216343
Asxl3	1.96909369930665	0	0	1.76227842681637
Atp5g1	2.52295266196076	3.65613426468045	3.13173481545025	1.7884442533797
Atp6v0c	2.1637174755988	2.88363313474224	3.03058908779594	2.77583869845583
Atp6v0c-ps2	2.07451388622974	2.83488589766196	3.00615414019772	2.68127632936129
Atp7a	2.44634564600551	0	0	1.42328966078337
Atpaf2	2.01411374408521	2.97208313170385	0	1.1966297242422
B230208H11Rik	1.70562475141884	2.8499954054835	0	0.665544617454539
BC018473	2.55634259176072	2.66823794316081	0	1.06427169742699
BC024386	2.11788448507033	3.05498597470682	0	1.29994337415302
Bambi-ps1	2.63660409516826	2.5112201300787	2.44413565547931	2.15125372137175
Bard1	2.60720879563152	1.70344436097493	0	1.2034255782995
Basp1	0.916802605201788	2.66823794316081	2.52202517035301	2.00949122902194
Baz2b	1.77175065264584	0	0	1.80504986052491
Bc1	3.55747627720698	6.0392072724108	6.01531942087245	4.64883657034864
Bcas2	2.91819698457633	4.95310941188163	3.46852651311473	2.15282499416234
Bcat1	2.11225513839503	0	0	0.965334303362376
Bclaf1	1.74005841355699	1.46877135630283	1.879726632726	2.22896201883433
Bex1	3.11657758558786	3.11873066333719	3.82202832446961	2.98046873141177
Birc6	1.79708307584302	0	0	1.76022565249832
Bola2	2.06909745678651	2.45516296995911	2.20220878254586	1.25706988274401
Bptf	1.57460633122776	1.6660870926044	2.20954638205048	2.12432729616235
Bri3bp	2.11382044255825	2.5532540329799	0	1.9242351619611
Brip1	1.97338753853121	2.82995866178042	0	1.50321044460944
Cald1	0.736008531242212	0	2.12793810076078	2.9395871019243
Calr	2.04767143811723	2.92645904138355	3.10917070317341	2.23131934275818
Capns1	1.69033617875028	0	0	2.53137945868701
Caprin1	2.03580168146239	1.4966568892478	0	2.12118753146199
Car2	0.881456980292429	2.03400268379416	2.88641706269659	1.29948100058589
Car5b	1.49209785019916	2.96650418938427	0	1.57994705108659
Ccdc36	4.55564565274076	6.40320779422355	6.28635501234446	4.59430046055587
Ccdc78	2.30714398753331	2.09341074809443	0	1.73881634219603
Ccdc93	2.2086004532901	0	0	2.39294751874039
Ccnd3	2.5811975017111	1.59596309335075	0	0.992500813719249
Cct6a	2.71024978608017	2.66240306803363	2.57204513951844	2.12391155203943
Cd3eap	3.15386752620659	3.97916787562368	2.47731979784886	2.91217080404285
Cd63	1.37499066388724	0	1.82837777739712	2.09964890632321
Cd81	1.03120623966782	0	0	1.70156971264262
Cd8b1	2.30724124549264	2.9724058461169	1.879726632726	1.94532489333491
Cd9	2.13240485115131	0	2.0350141657171	2.37806221918825
Cdc20	1.31928281912292	1.879726632726	2.22919183509565	1.27726958095812
Cdh1	1.56516469962695	0	2.05101470751189	2.11885789225252
Cdkn1a	0.489548113436288	0	0	1.62138340635095
Cdv3	1.75297793970079	1.75948839600941	2.56997301296583	2.26908749530394
Cenpf	2.31966075021584	2.62462549626809	2.22960989928815	1.83683677893591
Cep76	2.04301208361143	1.79768634542629	0	1.40732042666402
Cgnl1	2.22635394384758	0	0	3.00919020206472
Chchd10	2.20128116055436	3.29764159659676	0	0
Churc1	2.82199924738594	4.0027218733684	2.29049739102136	1.77492352640707
Clcn5	1.93125834650833	0	0	1.76122054864438
Cldn6	0	0	0	1.7043280823169
Clic1	0.657516196161403	0	0	1.83644677525463
Clic4	1.05131850050675	0	0	1.8985643858742
Cnbp	2.12625471687922	2.08319949592436	2.50634660537511	2.1753652436715
Cnn2	0.588012698676784	0	2.26562615420266	2.36252418089182
Cnn3	1.54911754957656	1.52009032926861	1.88466082518566	2.05525796042935
Cnr2	1.64909303071939	2.30340704931655	0	1.45911447357731
Cntn2	1.68448070507553	2.33290190943836	0	1.55691454354342
Col18a1	1.05330063406035	2.62042497886139	2.6184085466134	0.837206533230495
