2i	a2i	lif
Tpd52l1	7.84238051649895	6.90277851450959	6.08192580493332
Lck	4.70025434791137	7.42606837438554	6.88213220739221
Mkrn2	7.5922533944795	6.81185306672649	7.05534717102535
Sept1	7.99939813525446	9.5514072638205	5.76376759642601
Dnmt3l	0	5.63883967775268	9.9856402372245
Zfp512b	8.26928788288478	8.57648087868188	8.9665703634256
Slc7a7	0	5.85341504467064	8.30388437347296
Snapin	6.82564339900903	7.74102269274087	7.26874041795702
Col18a1	4.4385508511334	5.0512994465052	9.16276920972782
Tubb6	8.81933944220752	8.37496216313188	10.6288466434676
Folr1	8.0687343598353	4.46697730890311	8.33466799660643
Zdhhc4	6.95912670778134	7.10510452245923	6.13402782861879
Hsf2bp	9.31009524359144	8.79359748600328	7.26494943289506
Stat6	7.70746688490913	7.84746894859269	6.01053396052422
Vrk3	6.92903655481513	6.13107800691761	6.21598142295228
Rhoc	0	4.66268254293273	7.56277687586577
Gmpr2	5.20850432126803	5.51441773114275	6.38364535642316
Dhrs1	6.90538585674096	7.65980136091318	7.10925453082415
Rgs19	6.93177847640023	5.51632798041033	7.99197725450862
Pla1a	7.92494339192227	7.03744659288516	0
Lamb1	2.42094362881864	0	7.92612009107919
Klf4	9.61278930168088	10.1421472314757	7.03512071520187
Ap1m1	9.45873239766066	8.84019933788313	7.6013844228141
Elf3	9.63022389511765	7.73567130268762	5.60697146007613
Sri	6.06547072765187	7.00741778670967	7.45461607591857
Abcf3	8.16989870048812	7.81910125976135	6.69682763280908
Ap1m2	0	7.82658918313983	8.63254097469518
Pld3	7.87191940155822	7.58201721851597	7.59902210738033
Fancl	7.94839374716716	8.08231541732933	7.59403517111889
Ptrf	0	9.61069575209078	7.84637918573776
Spic	9.24833080236487	0	0
Tbccd1	6.42942550311908	6.01371595555606	4.59815696747116
Cnn2	1.77363088681539	3.84664359127363	9.39795463319592
Plekha8	5.33888988892979	2.71516703818046	6.26332340631378
Slc1a3	0	4.5902891219384	7.7271018495662
Nid1	10.4893183905777	7.5253268855906	4.30634894754812
Hmox1	7.35923584890541	6.75922991794698	8.3361460174039
Kit	9.8175079235865	8.13331765524531	3.48012526495811
Trh	1.76116360612326	11.4602699445421	4.6320051328052
Nr2c2	8.57995273927835	8.38498951466177	7.63647639108038
Calcoco2	9.41052969510342	0	0
Inpp5k	6.91570185331576	4.83917411430394	4.05596696379435
Crip2	7.54587840447044	7.38954661557044	9.04347897391643
Elovl1	2.22236472354789	1.25802032209242	5.84659903668408
Pdk1	1.03077798898675	8.42670392818695	9.12819906869871
Aplp1	4.39904740001739	7.95583408026979	7.67674210577659
Bcl2l1	7.34309738492582	7.04195807945296	7.54083391975617
Id3	5.83020675284753	9.33280797127825	6.31143765316527
Nfib	8.46607839343009	8.32697571351557	5.63223658171682
Tor2a	4.30768724874689	1.84379455415178	7.20002349594697
Snap47	7.97189157759246	8.37765248825499	9.24200718127693
Hyal2	6.50447363121838	5.81689164701379	6.34364676347972
Nprl2	5.00415163456524	5.81881805552857	5.73912339866033
Dazl	8.4759945801607	1.96032318095946	1.40248533099273
Phlda2	0	2.7771482626673	7.73056594154032
Zfp296	8.33455915215158	7.94486803651424	5.17454939856707
Amotl1	6.61790018986495	1.94609263708336	7.65436914991749
Ly6g6e	7.54842045117512	6.4893410753635	0
Tvp23b	8.36361997539609	7.07278950400408	8.12512687646986
Surf2	5.45180966548396	7.46428446962622	7.03992545916424
Cers2	8.03910258107857	7.82451758802126	8.11522110136807
Ctsz	7.31850444280725	8.83154667731092	8.4657995882897
