A549	GM12878_B1	H1437	HCT116	IMR90	H1_B1	K562	GM12878_B2	H1_B2
TSPAN6	7.61926708301112	0	5.52078741921382	7.61399785823396	0	8.99542880296469	0	0	9.33327562076724
LAS1L	1.56398389861822	0	6.12851869202313	7.73407774860529	0	6.60421634304699	7.92587142151538	7.86356051131535	7.47321797200834
LAP3	0	3.69325145066472	2.48144745482923	8.17868093489653	0	6.56668116251576	8.02492254983717	9.48994589804265	7.95092950587148
CIAPIN1	3.08357921287767	0	4.89703978561498	8.83700133077383	0	7.37495982647948	7.88298223473831	8.2305073559492	8.67360308436265
GGCT	6.47989714934013	0	6.30661211150846	8.62689871715144	0	9.14077166923716	8.92594997295794	8.51565761482204	9.56851664521917
SYPL1	8.07475398016925	0	4.90286265964881	9.90986691846884	0	8.40578705172059	7.29530255450115	8.76932340953189	9.01112041531649
SS18L2	0	2.77877197357117	7.09332808225125	7.05585530827259	0	8.14165413028845	7.73832472481046	7.71543139189899	8.0918048660594
MGST1	11.9534077207267	0	6.97314830534854	8.46950709876815	9.33020536943471	10.9721416460773	8.20205562863739	6.52330374805923	10.8882968486214
VTA1	2.53430015888252	2.16043689100077	8.54068170764427	9.30517099113538	0	8.53321789773723	8.30798809979353	9.29801457093573	9.3612699349695
UQCRC1	0	0.902514606307739	4.7134656260902	9.87897953908909	5.97316003869029	9.04114530955317	9.29682173169455	9.02100662620317	9.10592014175827
STARD3NL	3.59461325390228	0	3.33032363550909	6.17612436874659	0	5.87888504061752	7.09747201337922	7.83530957712448	7.96203715273952
CD9	0	0	0	9.43437015134164	0	8.32277636563235	0	3.12733515820389	8.64457780577916
TCEB3	0	0	7.10993567885593	9.15490401192294	3.76316531377674	8.05035696039384	7.54383789028769	7.97904413562437	8.41547445814525
ANLN	0	0	5.76599067000778	8.90310702797433	0	7.45590002901151	6.204919380506	3.6530893721855	7.65902941985306
ELOVL5	4.57833081231049	2.37370356967007	4.11617109104358	8.60426944611898	0	8.84330451404613	8.45502603499207	9.69989112915429	9.32583735968458
CYP24A1	13.5285394252561	0	0	7.82803852442173	0	0	0	0	0
CD74	0	13.303902026789	0	0	3.9408490471257	3.4845319674204	0	12.2792322671235	5.59053507170927
ALAS1	0	0	0	7.90263399692877	0	4.94749154142562	0.316914070581706	8.28742744576279	6.40187816736436
DEPDC1	0	0	6.58167809337489	8.77746130671298	0	5.60656939068386	3.17867540018697	2.96771476278998	6.81970840459557
CD44	11.6640610718924	3.68133400510259	0	10.5001957940022	11.6871618384692	0	0	9.01384737279927	0
FAM136A	6.44450174818461	0	6.65566432286931	9.24333757784647	0	9.05465805747819	8.34645013229032	9.10069044428203	9.4165800638882
VCL	4.76785434748062	0	3.54552025308974	7.9306546811818	5.70670082736861	9.32007319034169	8.42733340247236	6.86062514473603	9.96983444146805
DEPDC1B	0	0	2.058810057337	8.0570155746873	0	7.80690929652628	4.68830996844091	6.96156774991311	7.94817364393058
VCAN	10.5442304240491	0	2.09367320212846	0	2.07279620172703	10.6625411369652	0	0	10.1206556123799
RAI14	0	0	4.40308642135481	7.32023486177878	10.0789118103538	8.97722778596906	5.45533652468904	0	8.85978394747816
ZIC2	2.20876000763334	0	8.54061538039545	6.73336957957165	0	10.0444861107926	0	0	10.1738012383438
NOP16	7.82446518361095	0	6.78319253317931	9.74350445225551	0	8.48039248270123	9.38866397978139	9.09871685636673	8.62051662554198
CELF2	0	6.45426322397003	0	0	0	6.00758609276795	3.2180144843207	9.18670530835079	5.77412954854107
MSMO1	1.61959353214827	4.64968478783651	5.09902487726014	7.44352166590897	2.72000811729474	9.80247050578522	8.36808399270256	8.10858601267789	9.62372707367625
CYFIP2	0	3.0523536465613	0	1.78829931807267	0	4.29430929955258	0	9.10884827655724	7.459542047971
RIOK2	0	0	3.3461271487471	7.81140784275254	0	6.641226502497	5.82130353662243	8.11965354920581	7.87131317242027
NDC1	0	0	5.264351087069	8.12210447638054	0	7.7057771553803	7.33303726593008	7.57382600342483	8.42089973558961
SLC2A3	0	0	0	0	0	10.1378873000165	8.02393212034037	1.99626187785649	10.8471151758709
BCAT1	0	4.56042796178496	7.10942210217489	0	10.4964504323668	11.8466879331307	9.30133945663626	10.1244728279796	11.0934010597505
ASUN	1.40150758066655	0	4.5776306816033	8.72744636307782	0	7.53834475790155	7.60624461623059	8.87857313365715	8.37870891873204
GNAI3	4.64411705022311	0	4.76270360215338	9.64579218053587	0	7.61177365342412	8.52267726532815	8.74919227150967	9.116933344739
IPO5	5.50971184569776	1.24164332246753	7.19930685027066	9.97189890491913	0	10.3471138160654	7.37122222673601	9.96694485642777	10.419603983941
