muller	rods	bipolar	amacrine	cones	vascular_endothelium	ganglion	horizontal	pericytes	astrocytes	microglia	fibroblasts
1500015O10Rik	0	0	0	0	0	0	0	0	0	0.416956735455583	0	0
1700016D06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1810009A15Rik	0	1.0843316073458	0	0	1.14809724439056	0	0	0	0	0	0	0
2200002J24Rik	0	0	0	0	0	0	0	0	0	0	0	0
4833427G06Rik	0	0	0	0	0	0	0	0	0	0	0	0
4921509A06Rik	0	0	0	0	0	0	0	0	0	0	0	0
4930401O12Rik	0	0	0	0	0	0	0	0	0	0	0	0
4930503B20Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933408N05Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933413C19Rik	0	0	0	0	0	0	0	0	0	0	0	0
4933421I07Rik	0	0	0	0	0	0	0	0	0	0	0	0
5330439A09Rik	0	0	0	0	0	0	0	0	0	0	0	0
A130023I24Rik	0	0	0	0	0	0	0	0	0	0	0	0
A430035B10Rik	0	0	0	0	0	0	0	0	0	0	0	0
A930003A15Rik	0	0	0	0	1.06608037391114	0	0	0	0	0	0	0
Abca4	0	0	0	0	0	0	0	0	0	0	0	0
Abca8a	1.05276181721391	0	0	0	0	0	0	0	0	0	0	0
Acsl3	3.11537629467098	0	0	0	0	0	0	0	0	0	0	1.04351186624218
Actl10	0	0	0	0	0	0	0	0	0	0	0	0
Adam26b	0	0	0	0	0	0	0	0	0	0	0	0
Adamts1	0	0	0	0	0	0	0	0	0	0	0	0
AI847159	0	0	0	0	0.686636329355667	0	0	0	0	0	0	0
Aif1	0	0	0	0	0	0	0	0	0	0	0.525670886073228	0
Aipl1	0	1.5051419727147	0	0	1.86765233953093	0	0	0	0	0	0	0
Aldh1a1	0	0	0	0	0	0	0	0	0	0	0	0.58632394559428
Ankrd12	0	0	0.814802273258263	0.672474199577168	0.966856757614943	0	0.333815997553269	0.276002597707574	0	0	0	0
Ankrd33b	0	0	0	0	0	0	0	0	0	0	0	0
Ankrd7	0	0	0	0	0	0	0	0	0	0	0	0
Aplp2	0.670519583609053	0	1.92822424013709	1.09938073394632	0.908367097804488	0.979283414652217	1.47438248415311	1.063463495445	0	0.699950217809425	0	1.79788069522558
Apoe	3.64724092960958	0	0	0	0	0	0	0	0	3.78034135764728	4.90061926814154	3.58680295166401
Aqp4	1.24204585618321	0	0	0	0	0	0	0	0	0	0	0
Arr3	0	0	0	0	1.66390688963739	0	0	0	0	0	0	0
Aspn	0	0	0	0	0	0	0	0	1.66708841722321	0	0	0
Atf3	0	0	0	0	0	0	0	0	0	0	0.887347684626434	0
Atp1a2	0	0	0	0	0	0	0	0	1.85949477029348	1.247426633923	0	2.53181365571825
Atp1b1	0	0	0	1.32410173649844	0	0	2.52028973709169	2.50461133035875	0	0	0	0
Atp2b1	0	0	1.7366807729738	0.541217491203135	1.16768752457784	0	0.571676587623241	0.844611944523732	0	0	0	0
Awat1	0	0	0	0	0	0	0	0	0	0	0	0
BC023719	0	0	0	0	0	0	0	0	0	0	0	0
BC030870	0	0	0	0	0	0	0	0	0	0	0	0
BC107364	0	0	0	0	0	0	0	0	0	0	0	0
Bcl2a1b	0	0	0	0	0	0	0	0	0	0	0	0
Bpifb1	0	0	0	0	0	0	0	0	0	0	0	0
C1qa	0	0	0	0	0	0	0	0	0	0	2.59425660257526	0
C1qb	0	0	0	0	0	0	0	0	0	0	2.67573728212282	0
C1qc	0	0	0	0	0	0	0	0	0	0	2.44400947439959	0
Cabp5	0	0	0.834916766250365	0	0	0	0	0	0	0	0	0
Calb1	0	0	0	0	0	0	0	2.6222528172674	0	0	0	0
Calb2	0	0	0	0	0	0	1.94511751284945	0	0	0	0	0
Calm1	1.00404049116153	0	2.77467874439643	2.67839267977635	1.29613759024202	2.54154386349296	3.05165312528443	2.69645797363614	2.08679359083836	1.24486134078315	1.16761003438535	0
Car14	1.79331036664165	0	0	0	0	0	0	0	0	0	0	0
Car2	2.65224718963908	0	0	0	0.357872600676306	0	0	0	0	0	0	0
Car3	0	0	0	0	0	0	0	0	0	0	0	0
Car8	0	0	0	0	0	0	0	0	0	0	0	0
Cartpt	0	0	0	0	0	0	0	0	0	0	0	0
Casz1	0	0	0	0	0.418685581171759	0	0	0	0	0	0	0
Catsperb	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc173	0	0	0	0	0	0	0	0	0	0	0	0
Ccl12	0	0	0	0	0	0	0	0	0	0	0	0
Ccl2	0	0	0	0	0	0	0	0	0	0	0	0
Ccl3	0	0	0	0	0	0	0	0	0	0	1.18739875373355	0
Ccl4	0	0	0	0	0	0	0	0	0	0	0.89070076563172	0
Ccr4	0	0	0	0	0	0	0	0	0	0	0	0
Ccr5	0	0	0	0	0	0	0	0	0	0	0	0
Cd34	0	0	0	0	0	0.982794121169408	0	0	0	0	0	0
Cd52	0	0	0	0	0	0	0	0	0	0	0	0
Cd74	0	0	0	0	0	0	0	0	0	0	0	0
Cd9	1.32844057146381	0	0	0	0	0	0	0	0	1.5188281569115	1.03439445004146	0
Cd93	0	0	0	0	0	1.30385679747433	0	0	0	0	0	0
Cdhr1	0	0	0	0	0.927555994104954	0	0	0	0	0	0	0
Cdr2	0	0	0	0	0	0	0	0	0	0	0	0
