MPP	LTHSC	LMPP	STHSC	Unknown	ESLAM	GMP	MEP	CMP
Hmgcs1	1.99123917632275	1.87870372837215	1.65283658380803	1.68548990881891	1.60639347966316	1.13893207403061	3.31730970290907	1.25783537096436	1.33933334591021
Bhlhb9	2.67008261149069	1.89982814676923	1.97960341728648	2.06274612894488	2.21953138610132	1.64359498338625	1.9268441228654	2.12461562519298	2.38045461259148
9030619P08Rik	6.97742165028246	1.91786222785741	7.48839597751731	5.58408416390549	2.17147099915873	2.15987170344089	1.64183030432061	0.770731033040236	1.59167402698299
Plppr3	6.43896535068757	2.36620238400569	7.13170673940188	6.71753610379369	2.23634010175864	2.3333095511779	7.4163775939184	1.11983821914931	5.60258658897775
Nudt19	4.81924421069155	2.71309191248064	6.52323247205718	3.7529021320721	2.81278646809821	2.54092228394152	6.88329353949032	8.27343585554607	6.47832371102965
Ythdf3	3.18281866923191	2.42254004617648	3.82670186659248	2.71697409654164	2.54449203763214	6.82895283662161	5.52468370419206	4.6633691477735	4.04713519597109
Herc4	1.73084652479541	2.17453953016621	1.89721957136506	2.4677632261932	2.11230961307445	6.59921080885028	2.42240055769908	4.94417616790335	1.46866560212106
Gypc	5.40752407235104	6.63235118461168	6.88564881241883	4.24298809660679	7.97091918887998	7.71069870029305	5.86145363080959	8.04617889987903	6.36654120963899
Tm7sf3	2.52292635531234	2.75644206519869	2.45537761584934	2.41424602468933	2.33365061326262	2.72704241298363	7.10025982809943	7.79217927520744	5.13302356345452
Stard4	3.01715221703498	2.91307793688631	1.69063328653001	2.09846946782472	4.55057163443153	5.15307486538044	2.44841833500612	4.25333169604689	2.71463378819276
ENSMUSG00000043858	5.70308423808062	3.56622516453946	6.29338104524274	4.05154755645622	5.21471466901546	2.28050624588254	7.50161444734833	8.52938543225867	7.65946218149654
Grina	4.58429655594955	6.60917591282742	4.45662848328052	6.55951104632656	7.21901896697077	9.45239647999789	5.12696574126517	6.73955190437026	2.38194888616139
Slc7a4	0.937635970584574	0.827204512593852	1.08520823047063	1.55333137440434	1.87168505149176	1.46029596073662	0.722886770781869	2.84750356432526	0.717608257221104
Specc1l	1.91635082056475	1.89982814676923	1.78724867206525	2.6695442234382	1.3314292742326	5.63798136908618	2.6811690237409	2.86912275645486	1.61022645187626
Prim2	2.3846275700231	2.13849211172478	2.27226923162763	2.11748843532554	1.80500107439615	3.64272132764463	6.48003663580373	7.51720730934648	5.391397978893
Cenpk	2.02299534728819	1.89982814676923	2.06811488344728	2.06815880951841	1.21747683189124	1.21394314695164	5.43681835555413	7.40457627177517	2.90827031567614
E2f8	1.47823007199904	1.29019207279421	1.44350836826505	1.68548990881891	1.27209588622972	1.65710660643287	4.36931791150233	7.25006964104212	2.80226786094016
Rab10os	3.29764222047246	2.93239821557013	3.31463938361694	4.89991942273374	2.8877740793603	3.92769831526303	3.52173317940108	5.29826171600815	4.27382499153568
Cd63-ps	6.97381299319738	6.92639762938893	5.63923725492295	6.9601921122075	7.45186915813824	7.38779691067913	7.23382440223063	1.73055631642014	5.91179471999525
Atl2	1.49147686535587	1.47168060676751	1.21753725073264	1.71676274326977	1.80376805046212	0.87898117084115	1.74698641350723	5.87725009732184	1.75669322835083
1600020E01Rik	1.63064814778417	1.62499868303697	1.53651998011142	1.05554579586807	1.41406692283789	0	1.12243892977227	2.49363038470803	1.17629164172518
Svip	1.6820726902232	1.63187760287332	1.70272658471752	1.7853856249477	1.57650128611097	1.43824629471488	5.63307633350006	4.43328867597921	2.22372600288527
Skiv2l2	3.28108909448443	3.07076947936567	3.12149552194421	2.45827514078272	2.55960555500724	0	4.10757101888079	7.0475680478358	4.65713231587555
Hdac10	1.85476833314825	2.36496516320644	1.80356689256346	2.08184400059151	1.79133759243033	1.263585440971	1.64902077551089	5.40115357209673	1.78456967941033
Smim5	1.47178959375775	1.71664811178215	1.33699852214096	1.64601256227021	1.28891493030167	1.78448150543265	1.27213595094377	6.67881313209487	4.22397697614517
Lonp1	2.56278792383314	2.36958958623652	2.63184016708184	3.64504625447557	2.09458639500837	2.15987170344089	5.37085516150692	7.77967956905391	5.1399157122302
Tcirg1	4.66874593459466	3.23804094443278	5.61372845879579	4.48731569062268	2.98616443862399	7.52653595551436	7.38654038373817	1.91606732343236	6.44305938314619
Pcmtd1	1.70725618780149	2.31107414269018	1.99990444770559	1.94320677470383	2.87902439544296	1.51309926603199	1.67522125275271	1.40196717853425	1.29020696383771
Usp11	1.96787308857689	1.62352454651443	2.43983182251084	2.5985137236706	1.12969413413161	1.263585440971	4.45914854939277	2.42273000950105	3.3114319592191
Prkab1	2.82227210419066	2.54771095367706	3.52538708231874	3.29518899683225	2.53776207836727	1.21394314695164	4.68252389931288	7.96327138509985	3.97785889419931
Zfp397	1.91513604301702	1.63622250766318	2.00962759184431	2.42125254796014	2.37826599087525	1.73483921141329	3.57289535257566	5.35287806920722	2.48014074803652
Cyth4	2.2974567068792	2.34979868174492	4.99330385835202	4.61876406721144	2.76988785014408	7.73207512901282	4.25310297667143	0.466531826305129	1.8820302008808
Gdi1	7.44339875324314	6.96767325449964	7.67490318023655	7.39318239551275	7.31357421800337	8.2063618995915	6.46036482859795	6.58566164192129	7.04931054446514
Wdr55	2.23137338999678	2.40038604192978	1.97887054232472	2.47533908273262	1.95785761618794	2.51834507790633	4.89454190326413	7.66637863625107	3.26544113083538
Tlk1	1.86305930227693	2.26535983666296	1.86909527837368	2.41656932033156	2.09695307853894	2.99993511221271	2.26362607533711	7.07175041877859	2.72954490757663
Zfp639	1.4150512753514	1.28535783173449	1.45026090151772	2.00246987183188	1.29751277368484	2.31617080232936	1.79913286043611	6.27972166731685	1.45788912657666
Rnf2	3.26333874114883	2.81723467283494	3.54471356377738	2.35559634221179	3.43680742385428	4.81712464478666	3.60626571544017	4.62549616757767	4.3253956203618
Ngly1	1.88572743080434	2.43407340425286	1.73857891680807	2.27692452560043	2.79062090954439	8.02823414690187	1.73321303949108	5.66697554441028	2.09076802821481
G6pdx	3.50632977854329	3.71024167185575	3.79970934341214	2.60475033802827	2.63935901709416	1.65710660643287	7.16095905036683	7.50312232606369	5.68848171604902
Rasa3	6.4092493995434	4.62143331644108	6.00226496275992	3.89817011061413	5.00415526609472	3.26930953272888	5.06556206634179	2.44630467267993	5.74603249051372
Cdt1	2.7703318781511	2.21199198520053	3.02420654357776	2.98663472273733	2.09418660894868	2.87638606216913	7.30686263400541	8.24995424650183	6.39497397977526
Psmd9	3.11249748674603	3.21766566989627	3.74944386811765	3.30436661975954	2.35600358380595	4.39279349509638	5.92332273397077	7.78375700830886	4.60778256960009
Nudt4	1.63105864844814	1.88219742705972	1.51455575024037	1.53426334637632	1.22335028751171	2.16016595151944	2.66291434844481	6.22826121417544	1.64780400583951
Lancl2	1.46238568203872	1.71568669425687	1.24782590323354	1.02897633851857	1.29371595019372	1.83197915652059	1.22133880160547	4.00394500458101	1.53264141273017
Tmem173	7.51912567969423	3.81184744147922	8.20818619291548	7.78222374075358	4.62122986364434	5.66071991688496	7.2714694744082	1.38307494154339	6.68662133754038
Arap1	4.20975656088697	3.63496836503073	4.88574262054517	3.29143419188008	3.97576116763301	8.22357597501625	4.53979493388018	1.99951382238481	3.87919119209588
Zfp930	1.442726673558	2.31454320030508	1.3024627218323	2.11037629783224	1.31153148026163	1.46029596073662	1.46579636289583	2.20018562611514	1.25197877077819
Nudt16	1.63041354601235	2.00283904364045	1.76363722288622	2.58386719899742	2.02991588964981	2.07833197030557	1.33188881008256	1.21557330955307	1.26443793834377
Capn7	2.24054442196684	2.34579112216596	2.28103392456253	2.79258418532463	2.71441639466085	4.45726502180682	3.66002508245764	6.1054539622478	2.96959174172352
Ccl4	2.09125315077157	1.55545914830875	4.16802891525755	2.17751165509089	2.014836281275	5.16168890546034	0	0	0
Myo1g	4.293126004831	2.40038604192978	5.24864257207403	3.14803757534632	1.86242387251984	5.14120824038705	6.69936161986485	1.09412953277406	4.56554369547235
Ints6l	2.57783611017966	2.39162970533885	2.09072755383992	2.40450545438024	1.91934829318658	1.83197915652059	2.83006392500116	2.70243307120244	2.50611766463374
Cpq	6.13181584402578	4.67665218711567	5.82834833168068	5.80957069977361	7.25512042163626	8.33047889073626	6.19206921013783	5.55092568813912	5.05947297634235
Slc35b4	2.21673748929644	2.33673000360584	2.63659446026627	2.28098903720787	1.7188067684489	6.60820075618302	4.36971869498818	1.83140689707888	2.09076802821481
Scfd1	3.68664605225635	5.7598613467265	4.21678897934833	2.48357500059377	4.42297273113478	2.29470684119184	5.02276413802721	6.43792459666562	4.22840849848979
