2338	2339	K562	BJ	HL60	hiPSC	Kera	GW21+3	GW21	NPC	GW16
ABRACL	8.48823552165665	8.40994244940016	3.61765099974182	8.34784279363816	8.78556751428672	9.337926668099	8.27082659609487	3.46074256378964	2.25096157353322	7.28290308333826	0
ACAT2	6.64948240036145	7.81576753632741	8.62324993938517	7.14128972420746	5.41166928847306	8.71250652141806	10.489721809594	0	7.56719556140687	8.57844817375714	1.47993143521125
ACTL6A	7.28672242227735	7.87571863911783	8.03595111348917	6.85449441815488	6.30175699467208	7.72260017112402	6.70392979699876	0	0.799087306074004	6.25134038278862	0
ADSL	5.73051804148876	6.98811658476014	8.01964690515799	6.98185265328974	8.39161433187905	8.77114200703869	7.22694059347942	0	0	7.13842540637337	0
AGTRAP	6.41424349873012	0	7.34769965929901	7.02680005934372	3.99257031123636	7.03214160990094	7.23229418855272	0	0	3.66448284036468	0
AIMP2	5.48637360674682	7.63553675191785	7.25644407501892	6.44774448211255	2.06611155847248	6.9641379473842	7.47974431150192	0	6.73701067768181	3.43829285157915	0
AKR1A1	7.12733597359825	7.93969674069176	7.89741239768739	7.83168726708308	5.50707790191539	8.99556348648154	7.47657477026253	5.84624256510951	5.97544676564096	7.9386386584728	1.23260850700155
AKR1B1	0	7.65219964830406	0	7.86486708459311	0	8.52828800807231	7.19863857095643	7.41074812818595	8.28202272727295	7.77932539144874	0
ALG5	5.57314260000023	6.99582367063417	6.18377786874577	7.58044701959866	2.99787566247461	5.90728370302301	7.38286353590879	0	0.464668267003444	2.74631276642546	0
ANAPC13	6.75398729714092	5.03033607837096	7.15135046689135	8.30437413990969	4.15831952475446	5.32594148756207	7.61161503580654	0	7.88386515450979	8.31872355891722	0
ANAPC15	7.77670096007388	4.84096670448742	7.41303507888782	7.268284666521	3.55116004566232	7.44404030776071	8.41533983479528	0	0	2.84398384404833	0
ANXA1	10.1906469847505	0	9.08037360162996	11.1766905312091	0	0	11.3966041154421	0.879705766282288	4.9518675043269	0	0
ANXA2	11.2959251230736	8.9710549091418	9.85708556876003	12.8096837346101	2.23602289859022	8.6082906528077	13.5330041883607	0	4.79233480570669	9.2028829372607	1.68028046521442
ANXA5	8.43703113896774	7.89445401282296	7.36238409441746	11.1299140579952	1.87710704366769	8.80927148504597	10.2727370777992	0.871843648509318	1.74416109557041	6.29627384670672	1.02617316573944
ANXA7	7.68147287226697	7.63481105017172	7.88785794973679	7.63284983011771	3.57629554862587	6.71319481760387	8.17739466358213	7.06619685024969	1.29278174922785	0.722466024471091	0
APOBEC3C	0	7.56384452881757	8.51284480734602	7.57288966842058	0	6.1796586729191	6.96391786398787	0	0	0	0
APRT	9.35919884332072	8.78764141448333	9.06616710140379	7.19485532853859	7.20191201509709	9.27375544401781	7.69025139849142	0	0	7.89172295688508	0
ARHGDIB	9.29827157099119	10.5585737762406	6.71946344551856	0	11.6414947714189	0	8.61770820855582	0	0	0	0
ARL2	5.77241268557183	7.96872438466209	7.14331022971853	6.33574763429973	4.16667765034839	8.12004582458882	5.91431658413292	0	0	6.76354436429392	0
ARPC3	9.74816375419755	9.5901004559184	9.36894820752349	10.0240037890908	8.98969066120188	8.85539429679013	10.0589754790263	8.74651432113846	6.05202456048283	8.18050594379476	1.37405884664278
ATOX1	6.84773685249093	7.52042224852645	8.21367845308301	8.97099741063472	8.45812471517418	7.74710725753054	9.00442319006817	7.70064778415221	7.8414070971946	7.53519760120684	0
ATP5C1	9.15173126078482	9.29675564364768	10.0164719401858	9.65501186785448	5.76682313638224	9.55189057594148	9.74642439493769	9.50817111862435	9.39506279951758	8.81352468929781	3.42354747013028
ATP5G1	8.37832758998553	9.78974555071248	9.61870525113009	9.4920133868738	9.21114451520662	8.87888700899489	9.31173532828303	8.73626661945917	8.0837984135262	7.20886837067295	0
ATP5H	9.21032439629381	8.85143673596167	8.99883151370468	9.70816998870261	8.6570890519089	8.91957505434942	9.18963291152948	8.56555909746317	6.31288295528436	8.36273287432728	1.9455686155097
ATP5I	8.64996681370959	8.99856222428797	10.2736030249062	9.59885274123471	11.0453422990212	9.89863419799662	9.65252886877137	8.84376405743275	8.61135683723691	9.13883494297137	7.69741676498537
ATP5J	9.56336607508779	9.41751500288509	9.92154063561465	9.52575569282949	9.48022803031059	8.99840599887286	8.71198745714173	8.60399717008549	8.42362018735041	8.76042056757804	8.24914964150172
ATP6V0B	8.45605393139278	7.67270819562222	8.7008323354298	8.49533540325038	9.14377405855694	7.77352345923337	8.58828335182728	8.42084447891784	6.07360604057494	4.17312743348066	1.62947048405275
